section,row,seat,price_usd,selection_type,scraped_at
BAL303,14,14,491.4,resale,2026-05-02T22:31:53Z
BAL303,14,13,491.4,resale,2026-05-02T22:31:53Z
BAL303,8,7,491.4,resale,2026-05-02T22:31:53Z
BAL303,8,8,491.4,resale,2026-05-02T22:31:53Z
BAL305,12,3,490.23,resale,2026-05-02T22:31:53Z
BAL305,12,4,490.23,resale,2026-05-02T22:31:53Z
BAL307,10,14,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,15,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,16,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,10,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,11,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,12,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,13,508.95,resale,2026-05-02T22:31:53Z
BAL307,10,9,508.95,resale,2026-05-02T22:31:53Z
BAL308,10,7,360.36,resale,2026-05-02T22:31:53Z
BAL308,10,5,360.36,resale,2026-05-02T22:31:53Z
BAL308,10,6,360.36,resale,2026-05-02T22:31:53Z
BAL308,10,8,360.36,resale,2026-05-02T22:31:53Z
BAL308,13,15,360.36,resale,2026-05-02T22:31:53Z
BAL308,13,16,360.36,resale,2026-05-02T22:31:53Z
BAL308,2,11,360.36,resale,2026-05-02T22:31:53Z
BAL308,2,12,360.36,resale,2026-05-02T22:31:53Z
BAL308,2,13,360.36,resale,2026-05-02T22:31:53Z
BAL308,2,14,360.36,resale,2026-05-02T22:31:53Z
BAL308,2,15,360.36,resale,2026-05-02T22:31:53Z
BAL308,2,16,360.36,resale,2026-05-02T22:31:53Z
BAL308,9,12,360.36,resale,2026-05-02T22:31:53Z
BAL308,9,13,360.36,resale,2026-05-02T22:31:53Z
BAL308,9,14,360.36,resale,2026-05-02T22:31:53Z
BAL308,9,15,360.36,resale,2026-05-02T22:31:53Z
BAL309,12,7,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,10,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,3,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,4,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,5,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,6,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,8,379.08,resale,2026-05-02T22:31:53Z
BAL309,12,9,379.08,resale,2026-05-02T22:31:53Z
BAL309,14,19,379.08,resale,2026-05-02T22:31:53Z
BAL309,14,20,379.08,resale,2026-05-02T22:31:53Z
BAL310,12,7,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,1,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,2,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,3,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,4,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,5,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,6,377.91,resale,2026-05-02T22:31:53Z
BAL310,12,8,377.91,resale,2026-05-02T22:31:53Z
BAL311,12,7,345.15,resale,2026-05-02T22:31:53Z
BAL311,12,10,345.15,resale,2026-05-02T22:31:53Z
BAL311,12,6,345.15,resale,2026-05-02T22:31:53Z
BAL311,12,9,345.15,resale,2026-05-02T22:31:53Z
BAL312,10,14,432.9,resale,2026-05-02T22:31:53Z
BAL312,10,15,432.9,resale,2026-05-02T22:31:53Z
BAL313,15,7,441.09,resale,2026-05-02T22:31:53Z
BAL313,15,5,441.09,resale,2026-05-02T22:31:53Z
BAL313,15,6,441.09,resale,2026-05-02T22:31:53Z
BAL313,15,8,441.09,resale,2026-05-02T22:31:53Z
BAL316,15,20,409.5,resale,2026-05-02T22:31:53Z
BAL316,15,21,409.5,resale,2026-05-02T22:31:53Z
BAL317,11,16,414.18,resale,2026-05-02T22:31:53Z
BAL317,11,17,414.18,resale,2026-05-02T22:31:53Z
BAL317,12,7,414.18,resale,2026-05-02T22:31:53Z
BAL317,12,6,414.18,resale,2026-05-02T22:31:53Z
BAL320,9,3,358.02,resale,2026-05-02T22:31:53Z
BAL320,9,4,358.02,resale,2026-05-02T22:31:53Z
BAL321,4,10,459.81,resale,2026-05-02T22:31:53Z
BAL321,4,9,459.81,resale,2026-05-02T22:31:53Z
BAL321,8,1,459.81,resale,2026-05-02T22:31:53Z
BAL321,8,2,459.81,resale,2026-05-02T22:31:53Z
BAL325,8,10,504.27,resale,2026-05-02T22:31:53Z
BAL325,8,11,504.27,resale,2026-05-02T22:31:53Z
BAL325,8,8,504.27,resale,2026-05-02T22:31:53Z
BAL325,8,9,504.27,resale,2026-05-02T22:31:53Z
BAL327,8,20,409.5,resale,2026-05-02T22:31:53Z
BAL327,8,21,409.5,resale,2026-05-02T22:31:53Z
LOGE10,A,1,629.0,standard,2026-05-02T22:31:53Z
LOGE10,A,2,629.0,standard,2026-05-02T22:31:53Z
LOGE10,A,3,629.0,standard,2026-05-02T22:31:53Z
LOGE10,A,4,629.0,standard,2026-05-02T22:31:53Z
LOGE10,B,12,629.0,standard,2026-05-02T22:31:53Z
LOGE10,B,13,629.0,standard,2026-05-02T22:31:53Z
LOGE13,4,3,1282.0,standard,2026-05-02T22:31:53Z
LOGE13,4,4,1282.0,standard,2026-05-02T22:31:53Z
LOGE15,15,18,697.32,resale,2026-05-02T22:31:53Z
LOGE15,15,19,697.32,resale,2026-05-02T22:31:53Z
LOGE18,5,1,684.45,resale,2026-05-02T22:31:53Z
LOGE18,5,2,684.45,resale,2026-05-02T22:31:53Z
LOGE18,A,10,684.45,resale,2026-05-02T22:31:53Z
LOGE18,A,9,684.45,resale,2026-05-02T22:31:53Z
LOGE19,14,24,608.4,resale,2026-05-02T22:31:53Z
LOGE19,14,25,608.4,resale,2026-05-02T22:31:53Z
LOGE20,2,12,4680.0,resale,2026-05-02T22:31:53Z
LOGE20,2,13,4680.0,resale,2026-05-02T22:31:53Z
