section,row,seat,price_usd,selection_type,scraped_at
CLUB10,17,7,114.95,resale,2026-04-08T01:34:00Z
CLUB10,17,8,114.95,resale,2026-04-08T01:34:00Z
CLUB24,15,5,133.1,resale,2026-04-08T01:34:00Z
CLUB24,15,6,133.1,resale,2026-04-08T01:34:00Z
CLUB26,23,11,90.75,resale,2026-04-08T01:34:00Z
CLUB26,23,12,90.75,resale,2026-04-08T01:34:00Z
CLUB30,6,3,96.8,resale,2026-04-08T01:34:00Z
CLUB30,6,4,96.8,resale,2026-04-08T01:34:00Z
CLUB30,13,12,96.8,resale,2026-04-08T01:34:00Z
CLUB30,13,13,96.8,resale,2026-04-08T01:34:00Z
CLUB30,15,18,96.8,resale,2026-04-08T01:34:00Z
CLUB30,15,19,96.8,resale,2026-04-08T01:34:00Z
CLUB8,18,7,117.37,resale,2026-04-08T01:34:00Z
CLUB8,18,8,117.37,resale,2026-04-08T01:34:00Z
CLUB8,20,9,117.37,resale,2026-04-08T01:34:00Z
CLUB8,20,10,117.37,resale,2026-04-08T01:34:00Z
CLUB8,24,1,117.37,resale,2026-04-08T01:34:00Z
CLUB8,24,2,117.37,resale,2026-04-08T01:34:00Z
FLR24,B,3,406.56,resale,2026-04-08T01:34:00Z
FLR24,B,4,406.56,resale,2026-04-08T01:34:00Z
FLR25,F,5,469.48,resale,2026-04-08T01:34:00Z
FLR25,F,6,469.48,resale,2026-04-08T01:34:00Z
MAIN1,22,5,72.6,resale,2026-04-08T01:34:00Z
MAIN1,22,6,72.6,resale,2026-04-08T01:34:00Z
MAIN12,7,3,64.13,resale,2026-04-08T01:34:00Z
MAIN12,7,4,64.13,resale,2026-04-08T01:34:00Z
MAIN2,5,1,71.39,resale,2026-04-08T01:34:00Z
MAIN2,5,2,71.39,resale,2026-04-08T01:34:00Z
MAIN2,14,20,71.39,resale,2026-04-08T01:34:00Z
MAIN2,14,21,71.39,resale,2026-04-08T01:34:00Z
MAIN2,19,13,71.39,resale,2026-04-08T01:34:00Z
MAIN2,19,14,71.39,resale,2026-04-08T01:34:00Z
MAIN2,21,5,71.39,resale,2026-04-08T01:34:00Z
MAIN2,21,6,71.39,resale,2026-04-08T01:34:00Z
MAIN22,13,2,87.12,resale,2026-04-08T01:34:00Z
MAIN28,18,7,143.99,resale,2026-04-08T01:34:00Z
MAIN28,18,8,143.99,resale,2026-04-08T01:34:00Z
MAIN28,18,9,143.99,resale,2026-04-08T01:34:00Z
MAIN28,18,10,143.99,resale,2026-04-08T01:34:00Z
TERR10,5,9,35.09,resale,2026-04-08T01:34:00Z
