section,row,seat,price_usd,selection_type,scraped_at
CLUB24,9,5,110.7,resale,2026-04-09T01:24:36Z
CLUB24,9,6,110.7,resale,2026-04-09T01:24:36Z
CLUB30,15,3,123.0,resale,2026-04-09T01:24:36Z
CLUB30,15,4,123.0,resale,2026-04-09T01:24:36Z
CLUB4,11,3,140.22,resale,2026-04-09T01:24:36Z
CLUB4,11,4,140.22,resale,2026-04-09T01:24:36Z
CLUB4,14,11,140.22,resale,2026-04-09T01:24:36Z
CLUB4,14,12,140.22,resale,2026-04-09T01:24:36Z
CLUB9,13,7,212.79,resale,2026-04-09T01:24:36Z
CLUB9,13,8,212.79,resale,2026-04-09T01:24:36Z
MAIN1,12,19,92.25,resale,2026-04-09T01:24:36Z
MAIN1,12,20,92.25,resale,2026-04-09T01:24:36Z
MAIN12,7,11,113.16,resale,2026-04-09T01:24:36Z
MAIN12,7,12,113.16,resale,2026-04-09T01:24:36Z
MAIN12,23,17,113.16,resale,2026-04-09T01:24:36Z
MAIN12,23,18,113.16,resale,2026-04-09T01:24:36Z
MAIN22,16,5,108.24,resale,2026-04-09T01:24:36Z
MAIN22,16,6,108.24,resale,2026-04-09T01:24:36Z
MAIN32,19,3,99.63,resale,2026-04-09T01:24:36Z
MAIN32,19,4,99.63,resale,2026-04-09T01:24:36Z
TERR25,9,7,79.95,resale,2026-04-09T01:24:36Z
TERR25,9,8,79.95,resale,2026-04-09T01:24:36Z
