offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVGM,107,2,220.98,standard,2026-04-07T01:15:48Z
GJ6DC7BUHA,114,6,338.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVGE,114,8,241.98,standard,2026-04-07T01:15:48Z
GJ6DC7BUHE,115,6,327.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVGI,115,15,221.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVGA,115,2,277.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVHA,116,4,161.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVGQ,116,4,196.98,standard,2026-04-07T01:15:48Z
GJ6DC7BWGE,116A,9,130.98,standard,2026-04-07T01:15:48Z
GJ6DC7BWGA,118,10,140.98,standard,2026-04-07T01:15:48Z
GJ6DC7BWGI,118,2,129.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVHE,118,4,149.98,standard,2026-04-07T01:15:48Z
GJ6DC7BWG4,217,2,42.02,standard,2026-04-07T01:15:48Z
GJ6DC7BWGM,224,2,87.96,standard,2026-04-07T01:15:48Z
GJ6DCMBUGIYDAMBQGAYDAN34GI2S4MBQPQZS4NZQPR6HYMBOGM3XY7D4,225,2,29.07,standard,2026-04-07T01:15:48Z
GJ6DC7BWGQ,226,12,68.59,standard,2026-04-07T01:15:48Z
GJ6DC7BWGU,231,3,60.59,standard,2026-04-07T01:15:48Z
GJ6DC7BWGY,231,4,42.02,standard,2026-04-07T01:15:48Z
GJ6DC7BVGU,PINN5,1,154.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVG4,PINN6,3,139.98,standard,2026-04-07T01:15:48Z
GJ6DC7BVGY,PINN8,4,146.98,standard,2026-04-07T01:15:48Z
