section,row,seat,price_usd,selection_type,scraped_at
102,C,11,191.88,resale,2026-04-10T22:00:36Z
102,C,12,191.88,resale,2026-04-10T22:00:36Z
103,H,5,191.88,resale,2026-04-10T22:00:36Z
103,H,6,191.88,resale,2026-04-10T22:00:36Z
103,U,9,191.88,resale,2026-04-10T22:00:36Z
103,U,10,191.88,resale,2026-04-10T22:00:36Z
105,P,3,199.26,resale,2026-04-10T22:00:36Z
105,P,4,199.26,resale,2026-04-10T22:00:36Z
106,U,5,228.78,resale,2026-04-10T22:00:36Z
106,U,6,228.78,resale,2026-04-10T22:00:36Z
107,P,13,255.84,resale,2026-04-10T22:00:36Z
107,P,14,255.84,resale,2026-04-10T22:00:36Z
108,HH,7,344.4,resale,2026-04-10T22:00:36Z
108,HH,8,344.4,resale,2026-04-10T22:00:36Z
110,K,9,217.71,resale,2026-04-10T22:00:36Z
110,K,10,217.71,resale,2026-04-10T22:00:36Z
110,T,5,217.71,resale,2026-04-10T22:00:36Z
110,T,6,217.71,resale,2026-04-10T22:00:36Z
110,W,1,217.71,resale,2026-04-10T22:00:36Z
110,W,2,217.71,resale,2026-04-10T22:00:36Z
111,T,1,188.19,resale,2026-04-10T22:00:36Z
111,T,2,188.19,resale,2026-04-10T22:00:36Z
111,V,6,188.19,resale,2026-04-10T22:00:36Z
111,V,7,188.19,resale,2026-04-10T22:00:36Z
114,U,14,221.4,resale,2026-04-10T22:00:36Z
114,U,15,221.4,resale,2026-04-10T22:00:36Z
115,U,3,261.99,resale,2026-04-10T22:00:36Z
115,U,4,261.99,resale,2026-04-10T22:00:36Z
116,S,1,184.5,resale,2026-04-10T22:00:36Z
116,S,2,184.5,resale,2026-04-10T22:00:36Z
121,U,7,253.38,resale,2026-04-10T22:00:36Z
121,U,8,253.38,resale,2026-04-10T22:00:36Z
122,R,11,190.65,resale,2026-04-10T22:00:36Z
122,R,12,190.65,resale,2026-04-10T22:00:36Z
214,F,6,98.4,resale,2026-04-10T22:00:36Z
214,F,7,98.4,resale,2026-04-10T22:00:36Z
226,N,10,63.42,standard,2026-04-10T22:00:36Z
226,N,11,63.42,standard,2026-04-10T22:00:36Z
226,N,12,63.42,standard,2026-04-10T22:00:36Z
226,N,13,63.42,standard,2026-04-10T22:00:36Z
FLOOR4,CCC,7,1445.25,resale,2026-04-10T22:00:36Z
FLOOR4,CCC,8,1445.25,resale,2026-04-10T22:00:36Z
