section,row,seat,price_usd,selection_type,scraped_at
102,H,1,281.51,standard,2026-04-23T23:52:21Z
102,H,2,281.51,standard,2026-04-23T23:52:21Z
108,EE,12,643.5,resale,2026-04-23T23:52:21Z
108,EE,13,643.5,resale,2026-04-23T23:52:21Z
110,M,5,400.02,standard,2026-04-23T23:52:21Z
110,M,6,400.02,standard,2026-04-23T23:52:21Z
202,C,17,134.55,resale,2026-04-23T23:52:21Z
202,C,18,134.55,resale,2026-04-23T23:52:21Z
FLOOR5,BBB,4,1989.0,resale,2026-04-23T23:52:21Z
FLOOR5,BBB,3,1989.0,resale,2026-04-23T23:52:21Z
T13,BX4,7,409.5,resale,2026-04-23T23:52:21Z
T13,BX4,8,409.5,resale,2026-04-23T23:52:21Z
