section,row,seat,price_usd,selection_type,scraped_at
102,H,1,279.63,resale,2026-04-23T22:02:58Z
102,H,2,279.63,resale,2026-04-23T22:02:58Z
108,EE,12,690.3,resale,2026-04-23T22:02:58Z
108,EE,13,690.3,resale,2026-04-23T22:02:58Z
110,M,5,400.02,standard,2026-04-23T22:02:58Z
110,M,6,400.02,standard,2026-04-23T22:02:58Z
FLOOR5,BBB,3,2632.5,resale,2026-04-23T22:02:58Z
FLOOR5,BBB,4,2632.5,resale,2026-04-23T22:02:58Z
T13,BX4,7,678.6,resale,2026-04-23T22:02:58Z
T13,BX4,8,678.6,resale,2026-04-23T22:02:58Z
