section,row,seat,price_usd,selection_type,scraped_at
101,3,16,571.6,standard,2026-04-02T00:22:16Z
101,3,17,571.6,standard,2026-04-02T00:22:16Z
103,16,3,326.7,resale,2026-04-02T00:22:16Z
103,16,4,326.7,resale,2026-04-02T00:22:16Z
103,36,22,326.7,resale,2026-04-02T00:22:16Z
103,36,23,326.7,resale,2026-04-02T00:22:16Z
105,24,11,240.79,resale,2026-04-02T00:22:16Z
105,24,12,240.79,resale,2026-04-02T00:22:16Z
105,25,16,240.79,resale,2026-04-02T00:22:16Z
105,25,17,240.79,resale,2026-04-02T00:22:16Z
105,2,11,240.79,resale,2026-04-02T00:22:16Z
105,2,12,240.79,resale,2026-04-02T00:22:16Z
105,8,5,240.79,resale,2026-04-02T00:22:16Z
105,8,6,240.79,resale,2026-04-02T00:22:16Z
105,9,1,240.79,resale,2026-04-02T00:22:16Z
105,9,2,240.79,resale,2026-04-02T00:22:16Z
106,12,15,347.27,resale,2026-04-02T00:22:16Z
106,12,16,347.27,resale,2026-04-02T00:22:16Z
106,13,7,347.27,resale,2026-04-02T00:22:16Z
106,13,8,347.27,resale,2026-04-02T00:22:16Z
107,16,5,302.5,resale,2026-04-02T00:22:16Z
107,16,6,302.5,resale,2026-04-02T00:22:16Z
107,4,15,302.5,resale,2026-04-02T00:22:16Z
107,4,16,302.5,resale,2026-04-02T00:22:16Z
108,17,11,145.2,resale,2026-04-02T00:22:16Z
108,17,12,145.2,resale,2026-04-02T00:22:16Z
108,12,11,145.2,resale,2026-04-02T00:22:16Z
108,12,12,145.2,resale,2026-04-02T00:22:16Z
108,12,7,145.2,resale,2026-04-02T00:22:16Z
108,12,8,145.2,resale,2026-04-02T00:22:16Z
108,8,19,145.2,resale,2026-04-02T00:22:16Z
108,8,20,145.2,resale,2026-04-02T00:22:16Z
110,26,3,211.75,resale,2026-04-02T00:22:16Z
110,26,4,211.75,resale,2026-04-02T00:22:16Z
112,1,4,423.5,resale,2026-04-02T00:22:16Z
112,1,5,423.5,resale,2026-04-02T00:22:16Z
112,2,13,423.5,resale,2026-04-02T00:22:16Z
112,2,14,423.5,resale,2026-04-02T00:22:16Z
113,1,5,145.2,resale,2026-04-02T00:22:16Z
113,1,6,145.2,resale,2026-04-02T00:22:16Z
113,4,9,145.2,resale,2026-04-02T00:22:16Z
113,4,1,145.2,resale,2026-04-02T00:22:16Z
113,4,10,145.2,resale,2026-04-02T00:22:16Z
113,4,11,145.2,resale,2026-04-02T00:22:16Z
113,4,12,145.2,resale,2026-04-02T00:22:16Z
113,4,2,145.2,resale,2026-04-02T00:22:16Z
116,11,3,176.66,resale,2026-04-02T00:22:16Z
116,11,4,176.66,resale,2026-04-02T00:22:16Z
117,10,7,242.0,resale,2026-04-02T00:22:16Z
117,10,8,242.0,resale,2026-04-02T00:22:16Z
117,18,13,242.0,resale,2026-04-02T00:22:16Z
117,18,14,242.0,resale,2026-04-02T00:22:16Z
117,19,7,242.0,resale,2026-04-02T00:22:16Z
117,19,8,242.0,resale,2026-04-02T00:22:16Z
118,11,11,181.5,resale,2026-04-02T00:22:16Z
118,11,12,181.5,resale,2026-04-02T00:22:16Z
118,4,5,181.5,resale,2026-04-02T00:22:16Z
118,4,6,181.5,resale,2026-04-02T00:22:16Z
119,17,3,242.0,resale,2026-04-02T00:22:16Z
119,17,4,242.0,resale,2026-04-02T00:22:16Z
119,11,1,242.0,resale,2026-04-02T00:22:16Z
119,11,2,242.0,resale,2026-04-02T00:22:16Z
119,16,5,242.0,resale,2026-04-02T00:22:16Z
119,16,6,242.0,resale,2026-04-02T00:22:16Z
120,10,17,263.5,standard,2026-04-02T00:22:16Z
120,10,18,263.5,standard,2026-04-02T00:22:16Z
120,11,19,263.5,standard,2026-04-02T00:22:16Z
120,11,20,263.5,standard,2026-04-02T00:22:16Z
120,15,1,263.5,standard,2026-04-02T00:22:16Z
120,15,2,263.5,standard,2026-04-02T00:22:16Z
120,28,1,263.5,standard,2026-04-02T00:22:16Z
120,28,2,263.5,standard,2026-04-02T00:22:16Z
120,7,9,263.5,standard,2026-04-02T00:22:16Z
120,7,10,263.5,standard,2026-04-02T00:22:16Z
121,11,1,302.5,resale,2026-04-02T00:22:16Z
121,11,2,302.5,resale,2026-04-02T00:22:16Z
124,1,19,206.9,standard,2026-04-02T00:22:16Z
124,1,20,206.9,standard,2026-04-02T00:22:16Z
303,3,10,82.85,standard,2026-04-02T00:22:16Z
303,3,11,82.85,standard,2026-04-02T00:22:16Z
317,1,1,104.06,resale,2026-04-02T00:22:16Z
317,1,2,104.06,resale,2026-04-02T00:22:16Z
324,1,14,240.79,resale,2026-04-02T00:22:16Z
324,1,15,240.79,resale,2026-04-02T00:22:16Z
NORTH,4,13,1566.95,resale,2026-04-02T00:22:16Z
NORTH,4,14,1566.95,resale,2026-04-02T00:22:16Z
NORTH,4,15,1566.95,resale,2026-04-02T00:22:16Z
NORTH,4,16,1566.95,resale,2026-04-02T00:22:16Z
SOUTH,4,7,712.69,resale,2026-04-02T00:22:16Z
SOUTH,4,8,712.69,resale,2026-04-02T00:22:16Z
SOUTH,2,15,712.69,resale,2026-04-02T00:22:16Z
SOUTH,2,16,712.69,resale,2026-04-02T00:22:16Z
