section,row,seat,price_usd,selection_type,scraped_at
101,A,7,124.66,resale,2026-04-02T23:52:23Z
101,A,8,124.66,resale,2026-04-02T23:52:23Z
101,I,4,124.66,resale,2026-04-02T23:52:23Z
101,I,3,124.66,resale,2026-04-02T23:52:23Z
101,L,13,124.66,resale,2026-04-02T23:52:23Z
101,L,14,124.66,resale,2026-04-02T23:52:23Z
101,X,5,124.66,resale,2026-04-02T23:52:23Z
101,X,6,124.66,resale,2026-04-02T23:52:23Z
101,Y,5,124.66,resale,2026-04-02T23:52:23Z
101,Y,6,124.66,resale,2026-04-02T23:52:23Z
102,P,1,116.5,resale,2026-04-02T23:52:23Z
102,P,16,116.5,resale,2026-04-02T23:52:23Z
102,P,17,116.5,resale,2026-04-02T23:52:23Z
102,P,2,116.5,resale,2026-04-02T23:52:23Z
102,R,1,116.5,resale,2026-04-02T23:52:23Z
102,R,2,116.5,resale,2026-04-02T23:52:23Z
102,X,1,116.5,resale,2026-04-02T23:52:23Z
102,X,2,116.5,resale,2026-04-02T23:52:23Z
103,A,1,111.25,resale,2026-04-02T23:52:23Z
103,A,2,111.25,resale,2026-04-02T23:52:23Z
103,BB,11,111.25,resale,2026-04-02T23:52:23Z
103,BB,12,111.25,resale,2026-04-02T23:52:23Z
103,V,4,111.25,resale,2026-04-02T23:52:23Z
103,V,5,111.25,resale,2026-04-02T23:52:23Z
103,W,27,111.25,resale,2026-04-02T23:52:23Z
103,W,28,111.25,resale,2026-04-02T23:52:23Z
104,N,11,151.93,standard,2026-04-02T23:52:23Z
104,N,12,151.93,standard,2026-04-02T23:52:23Z
105,A1,16,217.12,standard,2026-04-02T23:52:23Z
105,A1,17,217.12,standard,2026-04-02T23:52:23Z
105,E,7,217.12,standard,2026-04-02T23:52:23Z
105,E,8,217.12,standard,2026-04-02T23:52:23Z
105,F,11,217.12,standard,2026-04-02T23:52:23Z
105,F,12,217.12,standard,2026-04-02T23:52:23Z
106,M,1,151.93,standard,2026-04-02T23:52:23Z
106,M,2,151.93,standard,2026-04-02T23:52:23Z
107,G,9,109.16,standard,2026-04-02T23:52:23Z
107,G,10,109.16,standard,2026-04-02T23:52:23Z
107,M,4,109.16,standard,2026-04-02T23:52:23Z
107,M,3,109.16,standard,2026-04-02T23:52:23Z
107,Q,4,109.16,standard,2026-04-02T23:52:23Z
107,Q,3,109.16,standard,2026-04-02T23:52:23Z
107,U,4,109.16,standard,2026-04-02T23:52:23Z
107,U,3,109.16,standard,2026-04-02T23:52:23Z
107,W,4,109.16,standard,2026-04-02T23:52:23Z
107,W,3,109.16,standard,2026-04-02T23:52:23Z
109,A3,1,109.51,resale,2026-04-02T23:52:23Z
109,A3,2,109.51,resale,2026-04-02T23:52:23Z
109,H,4,109.51,resale,2026-04-02T23:52:23Z
109,H,12,109.51,resale,2026-04-02T23:52:23Z
109,H,13,109.51,resale,2026-04-02T23:52:23Z
109,H,3,109.51,resale,2026-04-02T23:52:23Z
109,J,6,109.51,resale,2026-04-02T23:52:23Z
109,J,7,109.51,resale,2026-04-02T23:52:23Z
110,B,7,139.07,standard,2026-04-02T23:52:23Z
110,B,8,139.07,standard,2026-04-02T23:52:23Z
110,CS3,5,139.07,standard,2026-04-02T23:52:23Z
110,CS3,6,139.07,standard,2026-04-02T23:52:23Z
110,L,12,139.07,standard,2026-04-02T23:52:23Z
110,L,13,139.07,standard,2026-04-02T23:52:23Z
112,X,4,97.86,resale,2026-04-02T23:52:23Z
112,X,3,97.86,resale,2026-04-02T23:52:23Z
113,K,11,182.14,standard,2026-04-02T23:52:23Z
113,K,12,182.14,standard,2026-04-02T23:52:23Z
114,D,15,181.74,resale,2026-04-02T23:52:23Z
114,D,16,181.74,resale,2026-04-02T23:52:23Z
114,I,19,181.74,resale,2026-04-02T23:52:23Z
114,I,20,181.74,resale,2026-04-02T23:52:23Z
114,K,19,181.74,resale,2026-04-02T23:52:23Z
114,K,20,181.74,resale,2026-04-02T23:52:23Z
114,R,5,181.74,resale,2026-04-02T23:52:23Z
114,R,6,181.74,resale,2026-04-02T23:52:23Z
115,CS4,1,151.93,standard,2026-04-02T23:52:23Z
115,CS4,2,151.93,standard,2026-04-02T23:52:23Z
115,R,5,151.93,standard,2026-04-02T23:52:23Z
115,R,6,151.93,standard,2026-04-02T23:52:23Z
115,V,12,151.93,standard,2026-04-02T23:52:23Z
115,V,13,151.93,standard,2026-04-02T23:52:23Z
116,AA,4,116.5,resale,2026-04-02T23:52:23Z
116,AA,5,116.5,resale,2026-04-02T23:52:23Z
116,T,22,116.5,resale,2026-04-02T23:52:23Z
116,T,23,116.5,resale,2026-04-02T23:52:23Z
118,M,5,126.99,resale,2026-04-02T23:52:23Z
118,M,6,126.99,resale,2026-04-02T23:52:23Z
118,W,9,126.99,resale,2026-04-02T23:52:23Z
118,W,1,126.99,resale,2026-04-02T23:52:23Z
118,W,10,126.99,resale,2026-04-02T23:52:23Z
118,W,2,126.99,resale,2026-04-02T23:52:23Z
208,C,9,145.63,resale,2026-04-02T23:52:23Z
208,C,10,145.63,resale,2026-04-02T23:52:23Z
216,A2,1,58.25,resale,2026-04-02T23:52:23Z
216,A2,2,58.25,resale,2026-04-02T23:52:23Z
216,C,11,58.25,resale,2026-04-02T23:52:23Z
216,C,12,58.25,resale,2026-04-02T23:52:23Z
226,T,19,43.11,resale,2026-04-02T23:52:23Z
226,T,20,43.11,resale,2026-04-02T23:52:23Z
227,G,11,72.23,resale,2026-04-02T23:52:23Z
227,G,12,72.23,resale,2026-04-02T23:52:23Z
