section,row,seat,price_usd,selection_type,scraped_at
101,AA,10,110.21,standard,2026-04-03T22:00:00Z
101,AA,9,110.21,standard,2026-04-03T22:00:00Z
101,L,9,110.21,standard,2026-04-03T22:00:00Z
101,L,10,110.21,standard,2026-04-03T22:00:00Z
101,L,13,110.21,standard,2026-04-03T22:00:00Z
101,L,14,110.21,standard,2026-04-03T22:00:00Z
102,O,15,151.45,resale,2026-04-03T22:00:00Z
102,O,16,151.45,resale,2026-04-03T22:00:00Z
102,U,7,151.45,resale,2026-04-03T22:00:00Z
102,U,8,151.45,resale,2026-04-03T22:00:00Z
103,M,13,96.7,resale,2026-04-03T22:00:00Z
103,M,14,96.7,resale,2026-04-03T22:00:00Z
103,N,4,96.7,resale,2026-04-03T22:00:00Z
103,N,3,96.7,resale,2026-04-03T22:00:00Z
103,O,15,96.7,resale,2026-04-03T22:00:00Z
103,O,16,96.7,resale,2026-04-03T22:00:00Z
103,O,29,96.7,resale,2026-04-03T22:00:00Z
103,O,30,96.7,resale,2026-04-03T22:00:00Z
103,R,35,96.7,resale,2026-04-03T22:00:00Z
103,R,36,96.7,resale,2026-04-03T22:00:00Z
103,W,15,96.7,resale,2026-04-03T22:00:00Z
103,W,16,96.7,resale,2026-04-03T22:00:00Z
103,X,28,96.7,resale,2026-04-03T22:00:00Z
103,X,29,96.7,resale,2026-04-03T22:00:00Z
103,Y,4,96.7,resale,2026-04-03T22:00:00Z
103,Y,5,96.7,resale,2026-04-03T22:00:00Z
104,B,13,175.62,standard,2026-04-03T22:00:00Z
104,B,14,175.62,standard,2026-04-03T22:00:00Z
104,G,4,175.62,standard,2026-04-03T22:00:00Z
104,G,8,175.62,standard,2026-04-03T22:00:00Z
104,G,9,175.62,standard,2026-04-03T22:00:00Z
104,G,3,175.62,standard,2026-04-03T22:00:00Z
104,I,17,175.62,standard,2026-04-03T22:00:00Z
104,I,18,175.62,standard,2026-04-03T22:00:00Z
104,L,7,175.62,standard,2026-04-03T22:00:00Z
104,L,8,175.62,standard,2026-04-03T22:00:00Z
104,L,9,175.62,standard,2026-04-03T22:00:00Z
104,L,10,175.62,standard,2026-04-03T22:00:00Z
105,D,1,281.93,resale,2026-04-03T22:00:00Z
105,D,2,281.93,resale,2026-04-03T22:00:00Z
105,E,7,281.93,resale,2026-04-03T22:00:00Z
105,E,8,281.93,resale,2026-04-03T22:00:00Z
105,I,7,281.93,resale,2026-04-03T22:00:00Z
105,I,8,281.93,resale,2026-04-03T22:00:00Z
105,O,21,281.93,resale,2026-04-03T22:00:00Z
105,O,22,281.93,resale,2026-04-03T22:00:00Z
106,A1,11,202.71,resale,2026-04-03T22:00:00Z
106,A1,12,202.71,resale,2026-04-03T22:00:00Z
106,F,13,202.71,resale,2026-04-03T22:00:00Z
106,F,14,202.71,resale,2026-04-03T22:00:00Z
106,M,4,202.71,resale,2026-04-03T22:00:00Z
106,M,3,202.71,resale,2026-04-03T22:00:00Z
106,P,9,202.71,resale,2026-04-03T22:00:00Z
106,P,1,202.71,resale,2026-04-03T22:00:00Z
106,P,10,202.71,resale,2026-04-03T22:00:00Z
106,P,11,202.71,resale,2026-04-03T22:00:00Z
106,P,12,202.71,resale,2026-04-03T22:00:00Z
106,P,13,202.71,resale,2026-04-03T22:00:00Z
106,P,14,202.71,resale,2026-04-03T22:00:00Z
106,P,15,202.71,resale,2026-04-03T22:00:00Z
106,P,16,202.71,resale,2026-04-03T22:00:00Z
106,P,2,202.71,resale,2026-04-03T22:00:00Z
107,AA,5,115.64,standard,2026-04-03T22:00:00Z
107,AA,6,115.64,standard,2026-04-03T22:00:00Z
107,M,1,115.64,standard,2026-04-03T22:00:00Z
107,M,13,115.64,standard,2026-04-03T22:00:00Z
107,M,14,115.64,standard,2026-04-03T22:00:00Z
107,M,2,115.64,standard,2026-04-03T22:00:00Z
107,M,27,115.64,standard,2026-04-03T22:00:00Z
107,M,28,115.64,standard,2026-04-03T22:00:00Z
107,P,1,115.64,standard,2026-04-03T22:00:00Z
107,P,11,115.64,standard,2026-04-03T22:00:00Z
107,P,12,115.64,standard,2026-04-03T22:00:00Z
107,P,2,115.64,standard,2026-04-03T22:00:00Z
107,Q,4,115.64,standard,2026-04-03T22:00:00Z
107,Q,3,115.64,standard,2026-04-03T22:00:00Z
107,Y,8,115.64,standard,2026-04-03T22:00:00Z
107,Y,9,115.64,standard,2026-04-03T22:00:00Z
108,L,4,96.05,standard,2026-04-03T22:00:00Z
108,L,3,96.05,standard,2026-04-03T22:00:00Z
109,C,4,110.21,standard,2026-04-03T22:00:00Z
109,C,9,110.21,standard,2026-04-03T22:00:00Z
109,C,10,110.21,standard,2026-04-03T22:00:00Z
109,C,3,110.21,standard,2026-04-03T22:00:00Z
109,J,6,110.21,standard,2026-04-03T22:00:00Z
109,J,7,110.21,standard,2026-04-03T22:00:00Z
109,K,4,110.21,standard,2026-04-03T22:00:00Z
109,K,3,110.21,standard,2026-04-03T22:00:00Z
109,M,9,110.21,standard,2026-04-03T22:00:00Z
109,M,10,110.21,standard,2026-04-03T22:00:00Z
110,G,14,120.0,resale,2026-04-03T22:00:00Z
110,G,15,120.0,resale,2026-04-03T22:00:00Z
110,H,4,120.0,resale,2026-04-03T22:00:00Z
110,H,3,120.0,resale,2026-04-03T22:00:00Z
111,Z,24,111.2,resale,2026-04-03T22:00:00Z
111,Z,25,111.2,resale,2026-04-03T22:00:00Z
112,F,12,115.64,standard,2026-04-03T22:00:00Z
112,F,13,115.64,standard,2026-04-03T22:00:00Z
112,G,13,115.64,standard,2026-04-03T22:00:00Z
112,G,14,115.64,standard,2026-04-03T22:00:00Z
112,Q,27,115.64,standard,2026-04-03T22:00:00Z
112,Q,28,115.64,standard,2026-04-03T22:00:00Z
112,R,6,115.64,standard,2026-04-03T22:00:00Z
112,R,7,115.64,standard,2026-04-03T22:00:00Z
113,CS2,7,175.62,standard,2026-04-03T22:00:00Z
113,CS2,8,175.62,standard,2026-04-03T22:00:00Z
113,H,13,175.62,standard,2026-04-03T22:00:00Z
113,H,14,175.62,standard,2026-04-03T22:00:00Z
113,K,13,175.62,standard,2026-04-03T22:00:00Z
113,K,14,175.62,standard,2026-04-03T22:00:00Z
113,K,15,175.62,standard,2026-04-03T22:00:00Z
113,K,16,175.62,standard,2026-04-03T22:00:00Z
113,S,9,175.62,standard,2026-04-03T22:00:00Z
113,S,10,175.62,standard,2026-04-03T22:00:00Z
114,B,21,226.01,resale,2026-04-03T22:00:00Z
114,B,22,226.01,resale,2026-04-03T22:00:00Z
114,CS3,1,226.01,resale,2026-04-03T22:00:00Z
114,CS3,2,226.01,resale,2026-04-03T22:00:00Z
114,F,15,226.01,resale,2026-04-03T22:00:00Z
114,F,16,226.01,resale,2026-04-03T22:00:00Z
114,G,17,226.01,resale,2026-04-03T22:00:00Z
114,G,18,226.01,resale,2026-04-03T22:00:00Z
114,I,19,226.01,resale,2026-04-03T22:00:00Z
114,I,20,226.01,resale,2026-04-03T22:00:00Z
114,I,21,226.01,resale,2026-04-03T22:00:00Z
114,I,22,226.01,resale,2026-04-03T22:00:00Z
114,J,8,226.01,resale,2026-04-03T22:00:00Z
114,J,9,226.01,resale,2026-04-03T22:00:00Z
114,P,5,226.01,resale,2026-04-03T22:00:00Z
114,P,6,226.01,resale,2026-04-03T22:00:00Z
114,P,7,226.01,resale,2026-04-03T22:00:00Z
114,P,8,226.01,resale,2026-04-03T22:00:00Z
114,P,9,226.01,resale,2026-04-03T22:00:00Z
114,P,10,226.01,resale,2026-04-03T22:00:00Z
115,G,15,192.23,resale,2026-04-03T22:00:00Z
115,G,16,192.23,resale,2026-04-03T22:00:00Z
115,L,1,192.23,resale,2026-04-03T22:00:00Z
115,L,17,192.23,resale,2026-04-03T22:00:00Z
115,L,18,192.23,resale,2026-04-03T22:00:00Z
115,L,2,192.23,resale,2026-04-03T22:00:00Z
115,R,5,192.23,resale,2026-04-03T22:00:00Z
115,R,6,192.23,resale,2026-04-03T22:00:00Z
115,U,2,192.23,resale,2026-04-03T22:00:00Z
115,U,3,192.23,resale,2026-04-03T22:00:00Z
116,C,6,96.05,standard,2026-04-03T22:00:00Z
116,C,7,96.05,standard,2026-04-03T22:00:00Z
116,H,1,96.05,standard,2026-04-03T22:00:00Z
116,H,2,96.05,standard,2026-04-03T22:00:00Z
116,T,22,96.05,standard,2026-04-03T22:00:00Z
116,T,23,96.05,standard,2026-04-03T22:00:00Z
116,T,27,96.05,standard,2026-04-03T22:00:00Z
116,T,28,96.05,standard,2026-04-03T22:00:00Z
116,W,22,96.05,standard,2026-04-03T22:00:00Z
116,W,23,96.05,standard,2026-04-03T22:00:00Z
117,W,17,110.21,standard,2026-04-03T22:00:00Z
117,W,18,110.21,standard,2026-04-03T22:00:00Z
118,AA,1,111.2,resale,2026-04-03T22:00:00Z
118,AA,2,111.2,resale,2026-04-03T22:00:00Z
118,D,5,111.2,resale,2026-04-03T22:00:00Z
