section,row,seat,price_usd,selection_type,scraped_at
101,FF,7,61.5,resale,2026-04-04T02:52:22Z
101,FF,8,61.5,resale,2026-04-04T02:52:22Z
101,M,1,61.5,resale,2026-04-04T02:52:22Z
101,M,2,61.5,resale,2026-04-04T02:52:22Z
101,S,1,61.5,resale,2026-04-04T02:52:22Z
101,S,2,61.5,resale,2026-04-04T02:52:22Z
104,A,4,61.5,resale,2026-04-04T02:52:22Z
104,A,3,61.5,resale,2026-04-04T02:52:22Z
104,DD,1,61.5,resale,2026-04-04T02:52:22Z
104,DD,2,61.5,resale,2026-04-04T02:52:22Z
104,DD,3,61.5,resale,2026-04-04T02:52:22Z
104,DD,4,61.5,resale,2026-04-04T02:52:22Z
104,EE,1,61.5,resale,2026-04-04T02:52:22Z
104,EE,2,61.5,resale,2026-04-04T02:52:22Z
104,H,12,61.5,resale,2026-04-04T02:52:22Z
104,H,13,61.5,resale,2026-04-04T02:52:22Z
104,T,4,61.5,resale,2026-04-04T02:52:22Z
104,T,3,61.5,resale,2026-04-04T02:52:22Z
106,K,1,104.55,resale,2026-04-04T02:52:22Z
106,K,2,104.55,resale,2026-04-04T02:52:22Z
107,H,15,179.95,standard,2026-04-04T02:52:22Z
107,H,16,179.95,standard,2026-04-04T02:52:22Z
108,S,1,92.25,resale,2026-04-04T02:52:22Z
108,S,2,92.25,resale,2026-04-04T02:52:22Z
109,G,5,119.55,standard,2026-04-04T02:52:22Z
109,G,6,119.55,standard,2026-04-04T02:52:22Z
110,W,21,56.58,resale,2026-04-04T02:52:22Z
110,W,22,56.58,resale,2026-04-04T02:52:22Z
110,X,11,56.58,resale,2026-04-04T02:52:22Z
110,X,12,56.58,resale,2026-04-04T02:52:22Z
112,U,5,49.2,resale,2026-04-04T02:52:22Z
112,U,6,49.2,resale,2026-04-04T02:52:22Z
113,F,1,73.8,resale,2026-04-04T02:52:22Z
113,F,2,73.8,resale,2026-04-04T02:52:22Z
113,J,9,73.8,resale,2026-04-04T02:52:22Z
113,J,10,73.8,resale,2026-04-04T02:52:22Z
113,N,12,73.8,resale,2026-04-04T02:52:22Z
113,N,13,73.8,resale,2026-04-04T02:52:22Z
114,BB,5,49.2,resale,2026-04-04T02:52:22Z
114,BB,6,49.2,resale,2026-04-04T02:52:22Z
114,K,10,49.2,resale,2026-04-04T02:52:22Z
114,K,11,49.2,resale,2026-04-04T02:52:22Z
114,L,7,49.2,resale,2026-04-04T02:52:22Z
114,L,8,49.2,resale,2026-04-04T02:52:22Z
115,S,7,43.05,resale,2026-04-04T02:52:22Z
115,S,8,43.05,resale,2026-04-04T02:52:22Z
115,U,9,43.05,resale,2026-04-04T02:52:22Z
115,U,10,43.05,resale,2026-04-04T02:52:22Z
116,A,1,52.89,resale,2026-04-04T02:52:22Z
116,A,2,52.89,resale,2026-04-04T02:52:22Z
116,J,7,52.89,resale,2026-04-04T02:52:22Z
116,J,8,52.89,resale,2026-04-04T02:52:22Z
117,DD,1,61.5,resale,2026-04-04T02:52:22Z
117,DD,2,61.5,resale,2026-04-04T02:52:22Z
117,V,20,61.5,resale,2026-04-04T02:52:22Z
117,V,21,61.5,resale,2026-04-04T02:52:22Z
118,R,15,67.65,resale,2026-04-04T02:52:22Z
118,R,16,67.65,resale,2026-04-04T02:52:22Z
119,J,9,92.25,resale,2026-04-04T02:52:22Z
119,J,10,92.25,resale,2026-04-04T02:52:22Z
119,M,1,92.25,resale,2026-04-04T02:52:22Z
119,M,2,92.25,resale,2026-04-04T02:52:22Z
119,V,1,92.25,resale,2026-04-04T02:52:22Z
119,V,2,92.25,resale,2026-04-04T02:52:22Z
120,BB,13,98.4,resale,2026-04-04T02:52:22Z
120,BB,14,98.4,resale,2026-04-04T02:52:22Z
120,C,7,98.4,resale,2026-04-04T02:52:22Z
120,C,8,98.4,resale,2026-04-04T02:52:22Z
120,C,9,98.4,resale,2026-04-04T02:52:22Z
120,C,10,98.4,resale,2026-04-04T02:52:22Z
120,CC,15,98.4,resale,2026-04-04T02:52:22Z
120,CC,16,98.4,resale,2026-04-04T02:52:22Z
120,DD,11,98.4,resale,2026-04-04T02:52:22Z
120,DD,12,98.4,resale,2026-04-04T02:52:22Z
120,K,15,98.4,resale,2026-04-04T02:52:22Z
120,K,16,98.4,resale,2026-04-04T02:52:22Z
120,L,5,98.4,resale,2026-04-04T02:52:22Z
120,L,6,98.4,resale,2026-04-04T02:52:22Z
121,C,1,88.56,resale,2026-04-04T02:52:22Z
121,C,2,88.56,resale,2026-04-04T02:52:22Z
121,D,13,88.56,resale,2026-04-04T02:52:22Z
121,D,14,88.56,resale,2026-04-04T02:52:22Z
121,E,1,88.56,resale,2026-04-04T02:52:22Z
121,E,2,88.56,resale,2026-04-04T02:52:22Z
121,H,5,88.56,resale,2026-04-04T02:52:22Z
121,H,6,88.56,resale,2026-04-04T02:52:22Z
121,H,13,88.56,resale,2026-04-04T02:52:22Z
121,H,14,88.56,resale,2026-04-04T02:52:22Z
121,L,5,88.56,resale,2026-04-04T02:52:22Z
121,L,6,88.56,resale,2026-04-04T02:52:22Z
122,N,5,60.27,resale,2026-04-04T02:52:22Z
122,N,6,60.27,resale,2026-04-04T02:52:22Z
122,R,11,60.27,resale,2026-04-04T02:52:22Z
122,R,12,60.27,resale,2026-04-04T02:52:22Z
122,W,10,60.27,resale,2026-04-04T02:52:22Z
122,W,11,60.27,resale,2026-04-04T02:52:22Z
123,D,5,30.75,resale,2026-04-04T02:52:22Z
123,D,6,30.75,resale,2026-04-04T02:52:22Z
123,V,4,30.75,resale,2026-04-04T02:52:22Z
123,V,3,30.75,resale,2026-04-04T02:52:22Z
124,J,11,49.2,resale,2026-04-04T02:52:22Z
124,J,12,49.2,resale,2026-04-04T02:52:22Z
124,U,11,49.2,resale,2026-04-04T02:52:22Z
124,U,12,49.2,resale,2026-04-04T02:52:22Z
125,Q,8,45.51,resale,2026-04-04T02:52:22Z
125,Q,9,45.51,resale,2026-04-04T02:52:22Z
125,Q,10,45.51,resale,2026-04-04T02:52:22Z
125,Q,11,45.51,resale,2026-04-04T02:52:22Z
126,BBB,1,36.9,resale,2026-04-04T02:52:22Z
126,BBB,11,36.9,resale,2026-04-04T02:52:22Z
126,BBB,12,36.9,resale,2026-04-04T02:52:22Z
126,BBB,2,36.9,resale,2026-04-04T02:52:22Z
126,G,11,36.9,resale,2026-04-04T02:52:22Z
126,G,12,36.9,resale,2026-04-04T02:52:22Z
126,K,4,36.9,resale,2026-04-04T02:52:22Z
