section,row,seat,price_usd,selection_type,scraped_at
101,BB,16,52.5,resale,2026-04-04T01:00:00Z
101,BB,17,52.5,resale,2026-04-04T01:00:00Z
101,BBB,10,52.5,resale,2026-04-04T01:00:00Z
101,BBB,11,52.5,resale,2026-04-04T01:00:00Z
101,C,15,52.5,resale,2026-04-04T01:00:00Z
101,C,16,52.5,resale,2026-04-04T01:00:00Z
101,CCC,15,52.5,resale,2026-04-04T01:00:00Z
101,CCC,16,52.5,resale,2026-04-04T01:00:00Z
101,FF,7,52.5,resale,2026-04-04T01:00:00Z
101,FF,8,52.5,resale,2026-04-04T01:00:00Z
101,L,13,52.5,resale,2026-04-04T01:00:00Z
101,L,14,52.5,resale,2026-04-04T01:00:00Z
101,M,9,52.5,resale,2026-04-04T01:00:00Z
101,M,1,52.5,resale,2026-04-04T01:00:00Z
101,M,10,52.5,resale,2026-04-04T01:00:00Z
101,M,2,52.5,resale,2026-04-04T01:00:00Z
101,S,1,52.5,resale,2026-04-04T01:00:00Z
101,S,2,52.5,resale,2026-04-04T01:00:00Z
103,D,7,75.0,resale,2026-04-04T01:00:00Z
103,D,8,75.0,resale,2026-04-04T01:00:00Z
103,H,4,75.0,resale,2026-04-04T01:00:00Z
103,H,3,75.0,resale,2026-04-04T01:00:00Z
103,J,11,75.0,resale,2026-04-04T01:00:00Z
103,J,12,75.0,resale,2026-04-04T01:00:00Z
104,A,4,87.1,standard,2026-04-04T01:00:00Z
104,A,3,87.1,standard,2026-04-04T01:00:00Z
104,DD,1,87.1,standard,2026-04-04T01:00:00Z
104,DD,2,87.1,standard,2026-04-04T01:00:00Z
104,DD,3,87.1,standard,2026-04-04T01:00:00Z
104,DD,4,87.1,standard,2026-04-04T01:00:00Z
104,EE,1,87.1,standard,2026-04-04T01:00:00Z
104,EE,2,87.1,standard,2026-04-04T01:00:00Z
104,T,5,87.1,standard,2026-04-04T01:00:00Z
104,T,6,87.1,standard,2026-04-04T01:00:00Z
105,DD,3,105.0,resale,2026-04-04T01:00:00Z
105,DD,4,105.0,resale,2026-04-04T01:00:00Z
106,E,7,100.0,resale,2026-04-04T01:00:00Z
106,E,8,100.0,resale,2026-04-04T01:00:00Z
106,E,9,100.0,resale,2026-04-04T01:00:00Z
106,E,10,100.0,resale,2026-04-04T01:00:00Z
106,FF,11,100.0,resale,2026-04-04T01:00:00Z
106,FF,12,100.0,resale,2026-04-04T01:00:00Z
106,K,1,100.0,resale,2026-04-04T01:00:00Z
106,K,2,100.0,resale,2026-04-04T01:00:00Z
106,M,11,100.0,resale,2026-04-04T01:00:00Z
106,M,12,100.0,resale,2026-04-04T01:00:00Z
107,H,15,108.75,resale,2026-04-04T01:00:00Z
107,H,16,108.75,resale,2026-04-04T01:00:00Z
107,M,9,108.75,resale,2026-04-04T01:00:00Z
107,M,10,108.75,resale,2026-04-04T01:00:00Z
107,S,17,108.75,resale,2026-04-04T01:00:00Z
107,S,18,108.75,resale,2026-04-04T01:00:00Z
108,M,7,75.0,resale,2026-04-04T01:00:00Z
108,M,8,75.0,resale,2026-04-04T01:00:00Z
108,M,11,75.0,resale,2026-04-04T01:00:00Z
108,M,12,75.0,resale,2026-04-04T01:00:00Z
108,S,1,75.0,resale,2026-04-04T01:00:00Z
108,S,2,75.0,resale,2026-04-04T01:00:00Z
108,V,4,75.0,resale,2026-04-04T01:00:00Z
108,V,5,75.0,resale,2026-04-04T01:00:00Z
108,V,6,75.0,resale,2026-04-04T01:00:00Z
108,V,1,75.0,resale,2026-04-04T01:00:00Z
108,V,2,75.0,resale,2026-04-04T01:00:00Z
108,V,3,75.0,resale,2026-04-04T01:00:00Z
109,G,5,67.5,resale,2026-04-04T01:00:00Z
109,G,6,67.5,resale,2026-04-04T01:00:00Z
109,H,5,67.5,resale,2026-04-04T01:00:00Z
109,H,6,67.5,resale,2026-04-04T01:00:00Z
109,R,9,67.5,resale,2026-04-04T01:00:00Z
109,R,10,67.5,resale,2026-04-04T01:00:00Z
110,V,19,57.5,resale,2026-04-04T01:00:00Z
110,V,20,57.5,resale,2026-04-04T01:00:00Z
110,W,21,57.5,resale,2026-04-04T01:00:00Z
110,W,22,57.5,resale,2026-04-04T01:00:00Z
110,X,11,57.5,resale,2026-04-04T01:00:00Z
110,X,12,57.5,resale,2026-04-04T01:00:00Z
111,C,8,73.75,resale,2026-04-04T01:00:00Z
111,C,9,73.75,resale,2026-04-04T01:00:00Z
112,U,5,50.0,resale,2026-04-04T01:00:00Z
112,U,6,50.0,resale,2026-04-04T01:00:00Z
113,C,11,50.0,resale,2026-04-04T01:00:00Z
113,C,12,50.0,resale,2026-04-04T01:00:00Z
113,F,1,50.0,resale,2026-04-04T01:00:00Z
113,F,2,50.0,resale,2026-04-04T01:00:00Z
113,J,9,50.0,resale,2026-04-04T01:00:00Z
113,J,10,50.0,resale,2026-04-04T01:00:00Z
113,K,1,50.0,resale,2026-04-04T01:00:00Z
113,K,2,50.0,resale,2026-04-04T01:00:00Z
113,N,10,50.0,resale,2026-04-04T01:00:00Z
113,N,11,50.0,resale,2026-04-04T01:00:00Z
113,N,12,50.0,resale,2026-04-04T01:00:00Z
