section,row,seat,price_usd,selection_type,scraped_at
103,J,11,256.25,resale,2026-04-11T01:02:16Z
103,J,12,256.25,resale,2026-04-11T01:02:16Z
103,J,13,256.25,resale,2026-04-11T01:02:16Z
103,J,14,256.25,resale,2026-04-11T01:02:16Z
104,FF,6,375.35,standard,2026-04-11T01:02:16Z
104,FF,7,375.35,standard,2026-04-11T01:02:16Z
104,K,1,375.35,standard,2026-04-11T01:02:16Z
104,K,2,375.35,standard,2026-04-11T01:02:16Z
106,J,4,281.25,resale,2026-04-11T01:02:16Z
106,J,3,281.25,resale,2026-04-11T01:02:16Z
106,R,1,281.25,resale,2026-04-11T01:02:16Z
106,R,2,281.25,resale,2026-04-11T01:02:16Z
107,AA,13,424.45,standard,2026-04-11T01:02:16Z
107,AA,14,424.45,standard,2026-04-11T01:02:16Z
107,D,1,424.45,standard,2026-04-11T01:02:16Z
107,D,2,424.45,standard,2026-04-11T01:02:16Z
107,E,5,424.45,standard,2026-04-11T01:02:16Z
107,E,6,424.45,standard,2026-04-11T01:02:16Z
107,FF,15,424.45,standard,2026-04-11T01:02:16Z
107,FF,16,424.45,standard,2026-04-11T01:02:16Z
108,G,1,322.0,standard,2026-04-11T01:02:16Z
108,G,2,322.0,standard,2026-04-11T01:02:16Z
109,R,7,250.0,resale,2026-04-11T01:02:16Z
109,R,8,250.0,resale,2026-04-11T01:02:16Z
110,T,11,236.25,resale,2026-04-11T01:02:16Z
110,T,12,236.25,resale,2026-04-11T01:02:16Z
111,D,9,231.25,resale,2026-04-11T01:02:16Z
111,D,10,231.25,resale,2026-04-11T01:02:16Z
112,Q,5,400.0,resale,2026-04-11T01:02:16Z
112,Q,6,400.0,resale,2026-04-11T01:02:16Z
113,CC,15,225.0,resale,2026-04-11T01:02:16Z
113,CC,16,225.0,resale,2026-04-11T01:02:16Z
113,R,1,225.0,resale,2026-04-11T01:02:16Z
113,R,2,225.0,resale,2026-04-11T01:02:16Z
114,AAA,5,156.25,resale,2026-04-11T01:02:16Z
114,AAA,6,156.25,resale,2026-04-11T01:02:16Z
114,BBB,8,156.25,resale,2026-04-11T01:02:16Z
114,BBB,9,156.25,resale,2026-04-11T01:02:16Z
115,L,1,295.0,resale,2026-04-11T01:02:16Z
115,L,2,295.0,resale,2026-04-11T01:02:16Z
116,H,1,226.88,resale,2026-04-11T01:02:16Z
116,H,2,226.88,resale,2026-04-11T01:02:16Z
117,DD,1,343.75,resale,2026-04-11T01:02:16Z
117,DD,2,343.75,resale,2026-04-11T01:02:16Z
117,V,18,343.75,resale,2026-04-11T01:02:16Z
117,V,19,343.75,resale,2026-04-11T01:02:16Z
118,T,16,203.75,resale,2026-04-11T01:02:16Z
118,T,17,203.75,resale,2026-04-11T01:02:16Z
118,X,7,203.75,resale,2026-04-11T01:02:16Z
118,X,8,203.75,resale,2026-04-11T01:02:16Z
119,CC,11,292.5,resale,2026-04-11T01:02:16Z
119,CC,12,292.5,resale,2026-04-11T01:02:16Z
119,D,13,292.5,resale,2026-04-11T01:02:16Z
119,D,14,292.5,resale,2026-04-11T01:02:16Z
119,G,17,292.5,resale,2026-04-11T01:02:16Z
119,G,18,292.5,resale,2026-04-11T01:02:16Z
119,J,9,292.5,resale,2026-04-11T01:02:16Z
119,J,10,292.5,resale,2026-04-11T01:02:16Z
119,V,4,292.5,resale,2026-04-11T01:02:16Z
119,V,3,292.5,resale,2026-04-11T01:02:16Z
120,BB,1,356.25,resale,2026-04-11T01:02:16Z
120,BB,2,356.25,resale,2026-04-11T01:02:16Z
120,E,1,356.25,resale,2026-04-11T01:02:16Z
120,E,2,356.25,resale,2026-04-11T01:02:16Z
120,F,4,356.25,resale,2026-04-11T01:02:16Z
120,F,3,356.25,resale,2026-04-11T01:02:16Z
120,J,4,356.25,resale,2026-04-11T01:02:16Z
120,J,3,356.25,resale,2026-04-11T01:02:16Z
120,K,15,356.25,resale,2026-04-11T01:02:16Z
120,K,16,356.25,resale,2026-04-11T01:02:16Z
120,P,7,356.25,resale,2026-04-11T01:02:16Z
120,P,8,356.25,resale,2026-04-11T01:02:16Z
121,C,1,322.0,standard,2026-04-11T01:02:16Z
121,C,2,322.0,standard,2026-04-11T01:02:16Z
121,DD,5,322.0,standard,2026-04-11T01:02:16Z
121,DD,6,322.0,standard,2026-04-11T01:02:16Z
122,G,1,187.5,resale,2026-04-11T01:02:16Z
122,G,2,187.5,resale,2026-04-11T01:02:16Z
122,W,4,187.5,resale,2026-04-11T01:02:16Z
122,W,3,187.5,resale,2026-04-11T01:02:16Z
123,A,5,240.8,standard,2026-04-11T01:02:16Z
123,A,6,240.8,standard,2026-04-11T01:02:16Z
123,E,4,240.8,standard,2026-04-11T01:02:16Z
123,E,3,240.8,standard,2026-04-11T01:02:16Z
123,P,16,240.8,standard,2026-04-11T01:02:16Z
123,P,17,240.8,standard,2026-04-11T01:02:16Z
124,F,4,240.8,standard,2026-04-11T01:02:16Z
124,F,3,240.8,standard,2026-04-11T01:02:16Z
125,T,16,179.95,standard,2026-04-11T01:02:16Z
125,T,17,179.95,standard,2026-04-11T01:02:16Z
126,BBB,1,293.75,resale,2026-04-11T01:02:16Z
126,BBB,2,293.75,resale,2026-04-11T01:02:16Z
2,2,1,2500.0,resale,2026-04-11T01:02:16Z
2,2,2,2500.0,resale,2026-04-11T01:02:16Z
2,3,5,2500.0,resale,2026-04-11T01:02:16Z
2,3,6,2500.0,resale,2026-04-11T01:02:16Z
