section,row,seat,price_usd,selection_type,scraped_at
102,13,1,321.75,resale,2026-04-04T00:22:23Z
102,13,2,321.75,resale,2026-04-04T00:22:23Z
106,17,11,760.5,resale,2026-04-04T00:22:23Z
106,17,12,760.5,resale,2026-04-04T00:22:23Z
106,6,9,760.5,resale,2026-04-04T00:22:23Z
106,6,10,760.5,resale,2026-04-04T00:22:23Z
106,6,11,760.5,resale,2026-04-04T00:22:23Z
106,6,12,760.5,resale,2026-04-04T00:22:23Z
106,6,13,760.5,resale,2026-04-04T00:22:23Z
106,6,14,760.5,resale,2026-04-04T00:22:23Z
107,5,7,936.0,resale,2026-04-04T00:22:23Z
107,5,8,936.0,resale,2026-04-04T00:22:23Z
107D,11,7,1404.0,resale,2026-04-04T00:22:23Z
107D,11,8,1404.0,resale,2026-04-04T00:22:23Z
108,8,9,526.5,resale,2026-04-04T00:22:23Z
108,8,10,526.5,resale,2026-04-04T00:22:23Z
109,10,11,351.0,resale,2026-04-04T00:22:23Z
109,10,12,351.0,resale,2026-04-04T00:22:23Z
109,11,13,351.0,resale,2026-04-04T00:22:23Z
109,11,14,351.0,resale,2026-04-04T00:22:23Z
113,22,13,352.17,resale,2026-04-04T00:22:23Z
113,22,14,352.17,resale,2026-04-04T00:22:23Z
114,10,7,444.6,resale,2026-04-04T00:22:23Z
114,10,8,444.6,resale,2026-04-04T00:22:23Z
114,11,12,444.6,resale,2026-04-04T00:22:23Z
114,11,13,444.6,resale,2026-04-04T00:22:23Z
115,19,1,526.5,resale,2026-04-04T00:22:23Z
115,19,2,526.5,resale,2026-04-04T00:22:23Z
115,3,4,526.5,resale,2026-04-04T00:22:23Z
115,3,3,526.5,resale,2026-04-04T00:22:23Z
115,7,4,526.5,resale,2026-04-04T00:22:23Z
115,7,1,526.5,resale,2026-04-04T00:22:23Z
115,7,2,526.5,resale,2026-04-04T00:22:23Z
115,7,3,526.5,resale,2026-04-04T00:22:23Z
116,20,3,585.0,resale,2026-04-04T00:22:23Z
116,20,4,585.0,resale,2026-04-04T00:22:23Z
116,21,15,585.0,resale,2026-04-04T00:22:23Z
116,21,16,585.0,resale,2026-04-04T00:22:23Z
117,10,10,390.78,resale,2026-04-04T00:22:23Z
117,10,9,390.78,resale,2026-04-04T00:22:23Z
117,12,17,390.78,resale,2026-04-04T00:22:23Z
117,12,18,390.78,resale,2026-04-04T00:22:23Z
117,14,14,390.78,resale,2026-04-04T00:22:23Z
117,14,15,390.78,resale,2026-04-04T00:22:23Z
117,6,13,390.78,resale,2026-04-04T00:22:23Z
117,6,14,390.78,resale,2026-04-04T00:22:23Z
117,9,4,390.78,resale,2026-04-04T00:22:23Z
117,9,3,390.78,resale,2026-04-04T00:22:23Z
118,22,21,327.6,resale,2026-04-04T00:22:23Z
118,22,22,327.6,resale,2026-04-04T00:22:23Z
118,7,17,327.6,resale,2026-04-04T00:22:23Z
118,7,18,327.6,resale,2026-04-04T00:22:23Z
118,7,19,327.6,resale,2026-04-04T00:22:23Z
118,7,20,327.6,resale,2026-04-04T00:22:23Z
120,4,1,404.82,resale,2026-04-04T00:22:23Z
120,4,2,404.82,resale,2026-04-04T00:22:23Z
120,6,7,404.82,resale,2026-04-04T00:22:23Z
120,6,8,404.82,resale,2026-04-04T00:22:23Z
2,5,10,760.5,resale,2026-04-04T00:22:23Z
2,5,9,760.5,resale,2026-04-04T00:22:23Z
210,20,7,351.0,resale,2026-04-04T00:22:23Z
210,20,8,351.0,resale,2026-04-04T00:22:23Z
222,19,12,352.17,resale,2026-04-04T00:22:23Z
222,19,13,352.17,resale,2026-04-04T00:22:23Z
223,12,21,349.83,resale,2026-04-04T00:22:23Z
223,12,22,349.83,resale,2026-04-04T00:22:23Z
223,19,1,349.83,resale,2026-04-04T00:22:23Z
223,19,2,349.83,resale,2026-04-04T00:22:23Z
223,4,8,349.83,resale,2026-04-04T00:22:23Z
223,4,9,349.83,resale,2026-04-04T00:22:23Z
224,15,4,292.5,resale,2026-04-04T00:22:23Z
224,15,5,292.5,resale,2026-04-04T00:22:23Z
224,5,12,292.5,resale,2026-04-04T00:22:23Z
224,5,13,292.5,resale,2026-04-04T00:22:23Z
225,16,1,321.75,resale,2026-04-04T00:22:23Z
225,16,2,321.75,resale,2026-04-04T00:22:23Z
227,5,1,339.3,resale,2026-04-04T00:22:23Z
227,5,11,339.3,resale,2026-04-04T00:22:23Z
227,5,12,339.3,resale,2026-04-04T00:22:23Z
227,5,2,339.3,resale,2026-04-04T00:22:23Z
4D,A,10,634.14,resale,2026-04-04T00:22:23Z
4D,A,2,634.14,resale,2026-04-04T00:22:23Z
4D,A,9,634.14,resale,2026-04-04T00:22:23Z
8,3,7,477.36,resale,2026-04-04T00:22:23Z
8,3,8,477.36,resale,2026-04-04T00:22:23Z
MC61,2,3,583.83,resale,2026-04-04T00:22:23Z
MC61,2,4,583.83,resale,2026-04-04T00:22:23Z
MC62,1,1,585.0,resale,2026-04-04T00:22:23Z
MC62,1,2,585.0,resale,2026-04-04T00:22:23Z
