section,row,seat,price_usd,selection_type,scraped_at
108,12,15,817.96,resale,2026-04-29T00:52:07Z
108,12,16,817.96,resale,2026-04-29T00:52:07Z
108,12,17,817.96,resale,2026-04-29T00:52:07Z
108,12,18,817.96,resale,2026-04-29T00:52:07Z
108,19,12,817.96,resale,2026-04-29T00:52:07Z
108,19,13,817.96,resale,2026-04-29T00:52:07Z
115,19,1,1219.68,resale,2026-04-29T00:52:07Z
115,19,2,1219.68,resale,2026-04-29T00:52:07Z
11D,3,15,8470.0,resale,2026-04-29T00:52:07Z
11D,3,16,8470.0,resale,2026-04-29T00:52:07Z
120,17,1,1001.88,resale,2026-04-29T00:52:07Z
120,17,2,1001.88,resale,2026-04-29T00:52:07Z
213,11,1,741.73,resale,2026-04-29T00:52:07Z
213,11,2,741.73,resale,2026-04-29T00:52:07Z
215,14,4,689.7,resale,2026-04-29T00:52:07Z
215,14,5,689.7,resale,2026-04-29T00:52:07Z
221,1,4,847.0,resale,2026-04-29T00:52:07Z
221,1,3,847.0,resale,2026-04-29T00:52:07Z
