section,row,seat,price_usd,selection_type,scraped_at
1,12,3,1700.01,resale,2026-04-28T23:03:41Z
1,12,4,1700.01,resale,2026-04-28T23:03:41Z
101,15,12,1157.13,resale,2026-04-28T23:03:41Z
101,15,13,1157.13,resale,2026-04-28T23:03:41Z
102,9,9,1164.15,resale,2026-04-28T23:03:41Z
102,9,10,1164.15,resale,2026-04-28T23:03:41Z
104,14,5,1053.0,resale,2026-04-28T23:03:41Z
104,14,6,1053.0,resale,2026-04-28T23:03:41Z
106,14,11,2047.5,resale,2026-04-28T23:03:41Z
106,14,12,2047.5,resale,2026-04-28T23:03:41Z
106,14,13,2047.5,resale,2026-04-28T23:03:41Z
106,14,14,2047.5,resale,2026-04-28T23:03:41Z
106,14,15,2047.5,resale,2026-04-28T23:03:41Z
106,14,16,2047.5,resale,2026-04-28T23:03:41Z
106,6,7,2047.5,resale,2026-04-28T23:03:41Z
106,6,8,2047.5,resale,2026-04-28T23:03:41Z
107,17,10,1703.52,resale,2026-04-28T23:03:41Z
107,17,9,1703.52,resale,2026-04-28T23:03:41Z
107,13,15,1703.52,resale,2026-04-28T23:03:41Z
107,13,16,1703.52,resale,2026-04-28T23:03:41Z
108,12,15,1580.67,resale,2026-04-28T23:03:41Z
108,12,16,1580.67,resale,2026-04-28T23:03:41Z
108,12,17,1580.67,resale,2026-04-28T23:03:41Z
108,12,18,1580.67,resale,2026-04-28T23:03:41Z
108,15,11,1580.67,resale,2026-04-28T23:03:41Z
108,15,12,1580.67,resale,2026-04-28T23:03:41Z
108,19,12,1580.67,resale,2026-04-28T23:03:41Z
108,19,13,1580.67,resale,2026-04-28T23:03:41Z
108,19,14,1580.67,resale,2026-04-28T23:03:41Z
108,19,15,1580.67,resale,2026-04-28T23:03:41Z
108,19,16,1580.67,resale,2026-04-28T23:03:41Z
108,19,17,1580.67,resale,2026-04-28T23:03:41Z
108,4,17,1580.67,resale,2026-04-28T23:03:41Z
108,4,18,1580.67,resale,2026-04-28T23:03:41Z
109,11,13,1374.75,resale,2026-04-28T23:03:41Z
109,11,14,1374.75,resale,2026-04-28T23:03:41Z
110,18,10,1111.5,resale,2026-04-28T23:03:41Z
110,18,9,1111.5,resale,2026-04-28T23:03:41Z
115,11,17,1168.83,resale,2026-04-28T23:03:41Z
115,11,18,1168.83,resale,2026-04-28T23:03:41Z
115,19,1,1168.83,resale,2026-04-28T23:03:41Z
115,19,2,1168.83,resale,2026-04-28T23:03:41Z
117,12,3,1404.0,resale,2026-04-28T23:03:41Z
117,12,4,1404.0,resale,2026-04-28T23:03:41Z
117,16,13,1404.0,resale,2026-04-28T23:03:41Z
117,16,14,1404.0,resale,2026-04-28T23:03:41Z
118,17,11,1170.0,resale,2026-04-28T23:03:41Z
118,17,12,1170.0,resale,2026-04-28T23:03:41Z
118,12,5,1170.0,resale,2026-04-28T23:03:41Z
118,12,6,1170.0,resale,2026-04-28T23:03:41Z
119,13,1,1696.5,resale,2026-04-28T23:03:41Z
119,13,2,1696.5,resale,2026-04-28T23:03:41Z
11D,3,15,8190.0,resale,2026-04-28T23:03:41Z
11D,3,16,8190.0,resale,2026-04-28T23:03:41Z
120,17,1,1155.96,resale,2026-04-28T23:03:41Z
120,17,2,1155.96,resale,2026-04-28T23:03:41Z
2,17,11,1053.0,resale,2026-04-28T23:03:41Z
2,17,12,1053.0,resale,2026-04-28T23:03:41Z
2,4,17,1053.0,resale,2026-04-28T23:03:41Z
2,4,18,1053.0,resale,2026-04-28T23:03:41Z
201,4,4,497.25,resale,2026-04-28T23:03:41Z
201,4,3,497.25,resale,2026-04-28T23:03:41Z
202,1,4,813.15,resale,2026-04-28T23:03:41Z
202,1,3,813.15,resale,2026-04-28T23:03:41Z
209,21,23,491.4,resale,2026-04-28T23:03:41Z
209,21,24,491.4,resale,2026-04-28T23:03:41Z
210,14,15,526.5,resale,2026-04-28T23:03:41Z
210,14,16,526.5,resale,2026-04-28T23:03:41Z
210,5,21,526.5,resale,2026-04-28T23:03:41Z
210,5,22,526.5,resale,2026-04-28T23:03:41Z
211,10,6,507.78,resale,2026-04-28T23:03:41Z
211,10,7,507.78,resale,2026-04-28T23:03:41Z
211,11,10,507.78,resale,2026-04-28T23:03:41Z
211,11,11,507.78,resale,2026-04-28T23:03:41Z
211,7,7,507.78,resale,2026-04-28T23:03:41Z
211,7,8,507.78,resale,2026-04-28T23:03:41Z
212,10,7,409.5,resale,2026-04-28T23:03:41Z
212,10,8,409.5,resale,2026-04-28T23:03:41Z
212,18,21,409.5,resale,2026-04-28T23:03:41Z
212,18,22,409.5,resale,2026-04-28T23:03:41Z
213,20,23,526.5,resale,2026-04-28T23:03:41Z
213,20,24,526.5,resale,2026-04-28T23:03:41Z
