section,row,seat,price_usd,selection_type,scraped_at
104,14,1,1089.0,resale,2026-05-06T22:14:59Z
104,14,2,1089.0,resale,2026-05-06T22:14:59Z
108,15,13,1573.0,resale,2026-05-06T22:14:59Z
108,15,14,1573.0,resale,2026-05-06T22:14:59Z
111,12,1,907.5,resale,2026-05-06T22:14:59Z
111,12,2,907.5,resale,2026-05-06T22:14:59Z
2,12,19,1270.5,resale,2026-05-06T22:14:59Z
2,12,20,1270.5,resale,2026-05-06T22:14:59Z
210,24,5,506.99,resale,2026-05-06T22:14:59Z
210,24,6,506.99,resale,2026-05-06T22:14:59Z
211,12,19,810.7,resale,2026-05-06T22:14:59Z
211,12,20,810.7,resale,2026-05-06T22:14:59Z
224,12,10,516.67,resale,2026-05-06T22:14:59Z
224,12,11,516.67,resale,2026-05-06T22:14:59Z
310,1,5,840.95,resale,2026-05-06T22:14:59Z
310,1,6,840.95,resale,2026-05-06T22:14:59Z
MC62,3,3,1452.0,resale,2026-05-06T22:14:59Z
MC62,3,4,1452.0,resale,2026-05-06T22:14:59Z
