section,row,seat,price_usd,selection_type,scraped_at
101,8,13,68.59,resale,2026-03-31T22:00:00Z
101,8,14,68.59,resale,2026-03-31T22:00:00Z
101,9,11,68.59,resale,2026-03-31T22:00:00Z
101,9,12,68.59,resale,2026-03-31T22:00:00Z
101,WCC,5,68.59,resale,2026-03-31T22:00:00Z
101,WCC,6,68.59,resale,2026-03-31T22:00:00Z
102,11,15,69.75,resale,2026-03-31T22:00:00Z
102,11,16,69.75,resale,2026-03-31T22:00:00Z
102,19,21,69.75,resale,2026-03-31T22:00:00Z
102,19,22,69.75,resale,2026-03-31T22:00:00Z
102,30,11,69.75,resale,2026-03-31T22:00:00Z
102,30,12,69.75,resale,2026-03-31T22:00:00Z
103,5,4,69.75,resale,2026-03-31T22:00:00Z
103,5,5,69.75,resale,2026-03-31T22:00:00Z
103,22,26,69.75,resale,2026-03-31T22:00:00Z
103,22,27,69.75,resale,2026-03-31T22:00:00Z
105,5,13,174.38,resale,2026-03-31T22:00:00Z
105,5,14,174.38,resale,2026-03-31T22:00:00Z
105,7,1,174.38,resale,2026-03-31T22:00:00Z
105,7,2,174.38,resale,2026-03-31T22:00:00Z
105,16,19,174.38,resale,2026-03-31T22:00:00Z
105,16,20,174.38,resale,2026-03-31T22:00:00Z
106,7,11,203.44,resale,2026-03-31T22:00:00Z
106,7,12,203.44,resale,2026-03-31T22:00:00Z
107,WCC,9,93.0,resale,2026-03-31T22:00:00Z
107,WCC,10,93.0,resale,2026-03-31T22:00:00Z
108,12,5,121.06,standard,2026-03-31T22:00:00Z
108,12,6,121.06,standard,2026-03-31T22:00:00Z
109,9,1,75.56,resale,2026-03-31T22:00:00Z
109,9,2,75.56,resale,2026-03-31T22:00:00Z
109,18,22,75.56,resale,2026-03-31T22:00:00Z
109,18,23,75.56,resale,2026-03-31T22:00:00Z
109A,23,19,80.21,resale,2026-03-31T22:00:00Z
109A,23,20,80.21,resale,2026-03-31T22:00:00Z
110,15,19,81.71,standard,2026-03-31T22:00:00Z
110,15,20,81.71,standard,2026-03-31T22:00:00Z
110,C,7,81.71,standard,2026-03-31T22:00:00Z
110,C,8,81.71,standard,2026-03-31T22:00:00Z
110A,24,17,63.94,resale,2026-03-31T22:00:00Z
110A,24,18,63.94,resale,2026-03-31T22:00:00Z
110A,30,1,63.94,resale,2026-03-31T22:00:00Z
110A,30,2,63.94,resale,2026-03-31T22:00:00Z
111,11,15,89.51,resale,2026-03-31T22:00:00Z
111,11,16,89.51,resale,2026-03-31T22:00:00Z
111A,24,8,62.78,resale,2026-03-31T22:00:00Z
111A,24,9,62.78,resale,2026-03-31T22:00:00Z
111A,28,1,62.78,resale,2026-03-31T22:00:00Z
111A,28,2,62.78,resale,2026-03-31T22:00:00Z
111A,28,17,62.78,resale,2026-03-31T22:00:00Z
111A,28,18,62.78,resale,2026-03-31T22:00:00Z
111A,28,38,62.78,resale,2026-03-31T22:00:00Z
111A,28,39,62.78,resale,2026-03-31T22:00:00Z
112,16,1,116.25,resale,2026-03-31T22:00:00Z
112,16,2,116.25,resale,2026-03-31T22:00:00Z
112,17,16,116.25,resale,2026-03-31T22:00:00Z
112,17,17,116.25,resale,2026-03-31T22:00:00Z
113,13,20,127.88,resale,2026-03-31T22:00:00Z
113,13,21,127.88,resale,2026-03-31T22:00:00Z
114,8,19,145.31,resale,2026-03-31T22:00:00Z
114,8,20,145.31,resale,2026-03-31T22:00:00Z
115,11,1,182.51,resale,2026-03-31T22:00:00Z
115,11,2,182.51,resale,2026-03-31T22:00:00Z
115,12,5,182.51,resale,2026-03-31T22:00:00Z
115,12,6,182.51,resale,2026-03-31T22:00:00Z
115,13,19,182.51,resale,2026-03-31T22:00:00Z
115,13,20,182.51,resale,2026-03-31T22:00:00Z
116,4,5,174.38,resale,2026-03-31T22:00:00Z
116,4,6,174.38,resale,2026-03-31T22:00:00Z
116,7,14,174.38,resale,2026-03-31T22:00:00Z
116,7,15,174.38,resale,2026-03-31T22:00:00Z
116,11,1,174.38,resale,2026-03-31T22:00:00Z
116,11,2,174.38,resale,2026-03-31T22:00:00Z
116,12,5,174.38,resale,2026-03-31T22:00:00Z
116,12,6,174.38,resale,2026-03-31T22:00:00Z
117,21,17,110.44,resale,2026-03-31T22:00:00Z
117,21,18,110.44,resale,2026-03-31T22:00:00Z
118,6,4,81.71,standard,2026-03-31T22:00:00Z
118,6,5,81.71,standard,2026-03-31T22:00:00Z
118,7,1,81.71,standard,2026-03-31T22:00:00Z
118,7,2,81.71,standard,2026-03-31T22:00:00Z
118,12,5,81.71,standard,2026-03-31T22:00:00Z
118,12,6,81.71,standard,2026-03-31T22:00:00Z
118,23,3,81.71,standard,2026-03-31T22:00:00Z
118,23,4,81.71,standard,2026-03-31T22:00:00Z
201,1,3,39.53,resale,2026-03-31T22:00:00Z
201,1,4,39.53,resale,2026-03-31T22:00:00Z
205,1,4,34.24,standard,2026-03-31T22:00:00Z
205,1,5,34.24,standard,2026-03-31T22:00:00Z
207,11,3,34.0,resale,2026-03-31T22:00:00Z
207,11,4,34.0,resale,2026-03-31T22:00:00Z
207,WCC,1,34.0,resale,2026-03-31T22:00:00Z
207,WCC,2,34.0,resale,2026-03-31T22:00:00Z
208,6,5,40.69,resale,2026-03-31T22:00:00Z
208,6,6,40.69,resale,2026-03-31T22:00:00Z
209,WCC,7,44.85,standard,2026-03-31T22:00:00Z
209,WCC,8,44.85,standard,2026-03-31T22:00:00Z
210,2,1,44.85,standard,2026-03-31T22:00:00Z
210,2,2,44.85,standard,2026-03-31T22:00:00Z
210,2,12,44.85,standard,2026-03-31T22:00:00Z
210,2,13,44.85,standard,2026-03-31T22:00:00Z
218,8,1,34.0,resale,2026-03-31T22:00:00Z
218,8,2,34.0,resale,2026-03-31T22:00:00Z
222,1,1,39.25,standard,2026-03-31T22:00:00Z
222,1,2,39.25,standard,2026-03-31T22:00:00Z
222,2,5,39.25,standard,2026-03-31T22:00:00Z
222,2,6,39.25,standard,2026-03-31T22:00:00Z
224,3,14,44.85,standard,2026-03-31T22:00:00Z
224,3,15,44.85,standard,2026-03-31T22:00:00Z
225,16,1,46.5,resale,2026-03-31T22:00:00Z
225,16,2,46.5,resale,2026-03-31T22:00:00Z
C-F,1,7,122.06,resale,2026-03-31T22:00:00Z
C-F,1,8,122.06,resale,2026-03-31T22:00:00Z
FLOORE,2,19,523.13,resale,2026-03-31T22:00:00Z
FLOORE,2,20,523.13,resale,2026-03-31T22:00:00Z
FLOORN,2,7,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,2,8,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,3,5,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,3,6,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,3,7,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,3,8,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,3,9,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,3,10,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,4,21,1047.41,resale,2026-03-31T22:00:00Z
FLOORN,4,22,1047.41,resale,2026-03-31T22:00:00Z
FLOORS,3,27,465.0,resale,2026-03-31T22:00:00Z
FLOORS,3,28,465.0,resale,2026-03-31T22:00:00Z
FLOORW,3,5,668.44,resale,2026-03-31T22:00:00Z
FLOORW,3,6,668.44,resale,2026-03-31T22:00:00Z
FLOORW,3,21,668.44,resale,2026-03-31T22:00:00Z
FLOORW,3,22,668.44,resale,2026-03-31T22:00:00Z
FLOORW,3,23,668.44,resale,2026-03-31T22:00:00Z
FLOORW,3,24,668.44,resale,2026-03-31T22:00:00Z
FLOORW,VP2,19,668.44,resale,2026-03-31T22:00:00Z
FLOORW,VP2,20,668.44,resale,2026-03-31T22:00:00Z
LGNDA,J,1,174.38,resale,2026-03-31T22:00:00Z
LGNDA,J,2,174.38,resale,2026-03-31T22:00:00Z
LGNDB,F,7,168.56,resale,2026-03-31T22:00:00Z
LGNDB,F,8,168.56,resale,2026-03-31T22:00:00Z
