section,row,seat,price_usd,selection_type,scraped_at
101,14,19,68.59,resale,2026-03-31T22:00:00Z
101,14,20,68.59,resale,2026-03-31T22:00:00Z
101,8,13,68.59,resale,2026-03-31T22:00:00Z
101,8,14,68.59,resale,2026-03-31T22:00:00Z
101,9,11,68.59,resale,2026-03-31T22:00:00Z
101,9,12,68.59,resale,2026-03-31T22:00:00Z
101,9,13,68.59,resale,2026-03-31T22:00:00Z
101,9,14,68.59,resale,2026-03-31T22:00:00Z
101,C,1,68.59,resale,2026-03-31T22:00:00Z
101,C,2,68.59,resale,2026-03-31T22:00:00Z
101,WCC,5,68.59,resale,2026-03-31T22:00:00Z
101,WCC,6,68.59,resale,2026-03-31T22:00:00Z
102,11,15,69.75,resale,2026-03-31T22:00:00Z
102,11,16,69.75,resale,2026-03-31T22:00:00Z
102,19,21,69.75,resale,2026-03-31T22:00:00Z
102,19,22,69.75,resale,2026-03-31T22:00:00Z
102,30,11,69.75,resale,2026-03-31T22:00:00Z
102,30,12,69.75,resale,2026-03-31T22:00:00Z
102,6,9,69.75,resale,2026-03-31T22:00:00Z
102,6,10,69.75,resale,2026-03-31T22:00:00Z
103,13,8,69.75,resale,2026-03-31T22:00:00Z
103,13,9,69.75,resale,2026-03-31T22:00:00Z
103,22,26,69.75,resale,2026-03-31T22:00:00Z
103,22,27,69.75,resale,2026-03-31T22:00:00Z
103,5,4,69.75,resale,2026-03-31T22:00:00Z
103,5,5,69.75,resale,2026-03-31T22:00:00Z
103,7,6,69.75,resale,2026-03-31T22:00:00Z
103,7,7,69.75,resale,2026-03-31T22:00:00Z
104,13,1,108.11,resale,2026-03-31T22:00:00Z
104,13,2,108.11,resale,2026-03-31T22:00:00Z
104,13,3,108.11,resale,2026-03-31T22:00:00Z
104,13,4,108.11,resale,2026-03-31T22:00:00Z
104,6,9,108.11,resale,2026-03-31T22:00:00Z
104,6,10,108.11,resale,2026-03-31T22:00:00Z
104,6,11,108.11,resale,2026-03-31T22:00:00Z
104,6,12,108.11,resale,2026-03-31T22:00:00Z
