section,row,seat,price_usd,selection_type,scraped_at
102,13,17,249.94,resale,2026-05-01T22:02:01Z
102,13,18,249.94,resale,2026-05-01T22:02:01Z
102,26,25,249.94,resale,2026-05-01T22:02:01Z
102,26,26,249.94,resale,2026-05-01T22:02:01Z
106,6,16,581.25,resale,2026-05-01T22:02:01Z
106,6,17,581.25,resale,2026-05-01T22:02:01Z
106,WCC,9,581.25,resale,2026-05-01T22:02:01Z
106,WCC,10,581.25,resale,2026-05-01T22:02:01Z
110,4,3,296.44,resale,2026-05-01T22:02:01Z
110,4,4,296.44,resale,2026-05-01T22:02:01Z
110,5,7,296.44,resale,2026-05-01T22:02:01Z
110,5,8,296.44,resale,2026-05-01T22:02:01Z
114,13,19,639.38,resale,2026-05-01T22:02:01Z
114,13,20,639.38,resale,2026-05-01T22:02:01Z
118,31,26,255.75,resale,2026-05-01T22:02:01Z
118,31,27,255.75,resale,2026-05-01T22:02:01Z
201,1,12,122.06,resale,2026-05-01T22:02:01Z
201,1,13,122.06,resale,2026-05-01T22:02:01Z
201,3,17,122.06,resale,2026-05-01T22:02:01Z
201,3,18,122.06,resale,2026-05-01T22:02:01Z
202,1,15,133.69,resale,2026-05-01T22:02:01Z
202,1,16,133.69,resale,2026-05-01T22:02:01Z
203,2,16,95.33,resale,2026-05-01T22:02:01Z
203,2,17,95.33,resale,2026-05-01T22:02:01Z
205,2,10,133.69,resale,2026-05-01T22:02:01Z
205,2,11,133.69,resale,2026-05-01T22:02:01Z
209,13,15,191.81,resale,2026-05-01T22:02:01Z
209,13,16,191.81,resale,2026-05-01T22:02:01Z
209,14,1,191.81,resale,2026-05-01T22:02:01Z
209,14,2,191.81,resale,2026-05-01T22:02:01Z
213,1,16,116.25,resale,2026-05-01T22:02:01Z
213,1,17,116.25,resale,2026-05-01T22:02:01Z
213,13,2,116.25,resale,2026-05-01T22:02:01Z
213,13,3,116.25,resale,2026-05-01T22:02:01Z
214,16,6,89.51,resale,2026-05-01T22:02:01Z
214,16,7,89.51,resale,2026-05-01T22:02:01Z
215,14,2,95.33,resale,2026-05-01T22:02:01Z
215,14,11,95.33,resale,2026-05-01T22:02:01Z
215,14,12,95.33,resale,2026-05-01T22:02:01Z
216,13,13,95.33,resale,2026-05-01T22:02:01Z
216,13,14,95.33,resale,2026-05-01T22:02:01Z
216,13,15,95.33,resale,2026-05-01T22:02:01Z
216,13,16,95.33,resale,2026-05-01T22:02:01Z
216,15,4,95.33,resale,2026-05-01T22:02:01Z
216,15,5,95.33,resale,2026-05-01T22:02:01Z
216,15,6,95.33,resale,2026-05-01T22:02:01Z
216,15,7,95.33,resale,2026-05-01T22:02:01Z
216,15,10,95.33,resale,2026-05-01T22:02:01Z
216,15,11,95.33,resale,2026-05-01T22:02:01Z
216,15,12,95.33,resale,2026-05-01T22:02:01Z
216,15,13,95.33,resale,2026-05-01T22:02:01Z
217,13,10,95.33,resale,2026-05-01T22:02:01Z
217,13,11,95.33,resale,2026-05-01T22:02:01Z
217,14,5,95.33,resale,2026-05-01T22:02:01Z
217,14,6,95.33,resale,2026-05-01T22:02:01Z
218,15,7,95.33,resale,2026-05-01T22:02:01Z
218,15,8,95.33,resale,2026-05-01T22:02:01Z
218,15,9,95.33,resale,2026-05-01T22:02:01Z
218,15,10,95.33,resale,2026-05-01T22:02:01Z
222,5,15,161.59,resale,2026-05-01T22:02:01Z
222,5,16,161.59,resale,2026-05-01T22:02:01Z
222,5,17,161.59,resale,2026-05-01T22:02:01Z
222,5,18,161.59,resale,2026-05-01T22:02:01Z
222,5,19,161.59,resale,2026-05-01T22:02:01Z
222,5,20,161.59,resale,2026-05-01T22:02:01Z
223,16,6,123.23,resale,2026-05-01T22:02:01Z
223,16,7,123.23,resale,2026-05-01T22:02:01Z
224,14,18,159.26,resale,2026-05-01T22:02:01Z
224,14,19,159.26,resale,2026-05-01T22:02:01Z
224,15,12,159.26,resale,2026-05-01T22:02:01Z
224,15,13,159.26,resale,2026-05-01T22:02:01Z
225,10,5,203.44,resale,2026-05-01T22:02:01Z
225,10,6,203.44,resale,2026-05-01T22:02:01Z
225,10,7,203.44,resale,2026-05-01T22:02:01Z
225,10,8,203.44,resale,2026-05-01T22:02:01Z
225,14,19,203.44,resale,2026-05-01T22:02:01Z
225,14,20,203.44,resale,2026-05-01T22:02:01Z
226,8,13,244.13,resale,2026-05-01T22:02:01Z
226,8,14,244.13,resale,2026-05-01T22:02:01Z
227,WCC,7,308.06,resale,2026-05-01T22:02:01Z
227,WCC,8,308.06,resale,2026-05-01T22:02:01Z
232,13,7,95.33,resale,2026-05-01T22:02:01Z
232,13,8,95.33,resale,2026-05-01T22:02:01Z
C-D,2,16,467.33,resale,2026-05-01T22:02:01Z
C-D,2,17,467.33,resale,2026-05-01T22:02:01Z
C-D,WCC,5,467.33,resale,2026-05-01T22:02:01Z
C-D,WCC,6,467.33,resale,2026-05-01T22:02:01Z
FLOORW,3,67,2325.0,resale,2026-05-01T22:02:01Z
FLOORW,3,68,2325.0,resale,2026-05-01T22:02:01Z
LGNDB,A,9,319.69,resale,2026-05-01T22:02:01Z
LGNDB,A,10,319.69,resale,2026-05-01T22:02:01Z
LGNDB,E,11,319.69,resale,2026-05-01T22:02:01Z
LGNDB,E,12,319.69,resale,2026-05-01T22:02:01Z
