section,row,seat,price_usd,selection_type,scraped_at
101,AA,7,91.02,resale,2026-04-04T01:22:22Z
101,AA,8,91.02,resale,2026-04-04T01:22:22Z
101,G,16,91.02,resale,2026-04-04T01:22:22Z
101,G,17,91.02,resale,2026-04-04T01:22:22Z
101,R,22,91.02,resale,2026-04-04T01:22:22Z
101,R,23,91.02,resale,2026-04-04T01:22:22Z
101,S,21,91.02,resale,2026-04-04T01:22:22Z
101,S,22,91.02,resale,2026-04-04T01:22:22Z
101,T,7,91.02,resale,2026-04-04T01:22:22Z
101,T,8,91.02,resale,2026-04-04T01:22:22Z
101,V,5,91.02,resale,2026-04-04T01:22:22Z
101,V,6,91.02,resale,2026-04-04T01:22:22Z
102,DD,4,73.8,resale,2026-04-04T01:22:22Z
102,DD,5,73.8,resale,2026-04-04T01:22:22Z
102,F,5,73.8,resale,2026-04-04T01:22:22Z
102,F,6,73.8,resale,2026-04-04T01:22:22Z
102,S,7,73.8,resale,2026-04-04T01:22:22Z
102,S,8,73.8,resale,2026-04-04T01:22:22Z
102,S,17,73.8,resale,2026-04-04T01:22:22Z
102,S,18,73.8,resale,2026-04-04T01:22:22Z
102,U,16,73.8,resale,2026-04-04T01:22:22Z
102,U,17,73.8,resale,2026-04-04T01:22:22Z
103,G,4,141.45,resale,2026-04-04T01:22:22Z
103,G,3,141.45,resale,2026-04-04T01:22:22Z
104,H,9,98.4,resale,2026-04-04T01:22:22Z
104,H,10,98.4,resale,2026-04-04T01:22:22Z
104,S,11,98.4,resale,2026-04-04T01:22:22Z
104,S,12,98.4,resale,2026-04-04T01:22:22Z
104,V,15,98.4,resale,2026-04-04T01:22:22Z
104,V,16,98.4,resale,2026-04-04T01:22:22Z
105,A,7,120.54,resale,2026-04-04T01:22:22Z
105,A,8,120.54,resale,2026-04-04T01:22:22Z
105,CC,8,120.54,resale,2026-04-04T01:22:22Z
105,CC,9,120.54,resale,2026-04-04T01:22:22Z
105,F,1,120.54,resale,2026-04-04T01:22:22Z
105,F,2,120.54,resale,2026-04-04T01:22:22Z
105,G,13,120.54,resale,2026-04-04T01:22:22Z
105,G,14,120.54,resale,2026-04-04T01:22:22Z
105,M,15,120.54,resale,2026-04-04T01:22:22Z
105,M,16,120.54,resale,2026-04-04T01:22:22Z
105,N,1,120.54,resale,2026-04-04T01:22:22Z
105,N,2,120.54,resale,2026-04-04T01:22:22Z
105,U,15,120.54,resale,2026-04-04T01:22:22Z
105,U,16,120.54,resale,2026-04-04T01:22:22Z
106,D,15,130.38,resale,2026-04-04T01:22:22Z
106,D,16,130.38,resale,2026-04-04T01:22:22Z
106,DD,12,130.38,resale,2026-04-04T01:22:22Z
106,DD,13,130.38,resale,2026-04-04T01:22:22Z
106,L,15,130.38,resale,2026-04-04T01:22:22Z
106,L,16,130.38,resale,2026-04-04T01:22:22Z
106,N,13,130.38,resale,2026-04-04T01:22:22Z
106,N,14,130.38,resale,2026-04-04T01:22:22Z
106,R,13,130.38,resale,2026-04-04T01:22:22Z
106,R,14,130.38,resale,2026-04-04T01:22:22Z
107,O,11,130.38,resale,2026-04-04T01:22:22Z
107,O,12,130.38,resale,2026-04-04T01:22:22Z
107,O,13,130.38,resale,2026-04-04T01:22:22Z
107,O,14,130.38,resale,2026-04-04T01:22:22Z
108,BB,3,123.0,resale,2026-04-04T01:22:22Z
108,BB,4,123.0,resale,2026-04-04T01:22:22Z
108,BB,5,123.0,resale,2026-04-04T01:22:22Z
108,BB,6,123.0,resale,2026-04-04T01:22:22Z
108,D,11,123.0,resale,2026-04-04T01:22:22Z
108,D,12,123.0,resale,2026-04-04T01:22:22Z
108,F,5,123.0,resale,2026-04-04T01:22:22Z
108,F,6,123.0,resale,2026-04-04T01:22:22Z
108,F,7,123.0,resale,2026-04-04T01:22:22Z
108,F,8,123.0,resale,2026-04-04T01:22:22Z
108,F,9,123.0,resale,2026-04-04T01:22:22Z
108,F,10,123.0,resale,2026-04-04T01:22:22Z
108,F,11,123.0,resale,2026-04-04T01:22:22Z
108,F,12,123.0,resale,2026-04-04T01:22:22Z
108,H,17,123.0,resale,2026-04-04T01:22:22Z
108,H,18,123.0,resale,2026-04-04T01:22:22Z
108,T,15,123.0,resale,2026-04-04T01:22:22Z
108,T,16,123.0,resale,2026-04-04T01:22:22Z
108,X,4,123.0,resale,2026-04-04T01:22:22Z
108,X,5,123.0,resale,2026-04-04T01:22:22Z
109,L,4,98.4,resale,2026-04-04T01:22:22Z
109,L,3,98.4,resale,2026-04-04T01:22:22Z
109,S,13,98.4,resale,2026-04-04T01:22:22Z
109,S,14,98.4,resale,2026-04-04T01:22:22Z
109,T,11,98.4,resale,2026-04-04T01:22:22Z
109,T,12,98.4,resale,2026-04-04T01:22:22Z
109,U,1,98.4,resale,2026-04-04T01:22:22Z
109,U,2,98.4,resale,2026-04-04T01:22:22Z
109,V,15,98.4,resale,2026-04-04T01:22:22Z
109,V,16,98.4,resale,2026-04-04T01:22:22Z
109,W,4,98.4,resale,2026-04-04T01:22:22Z
109,W,5,98.4,resale,2026-04-04T01:22:22Z
109,X,19,98.4,resale,2026-04-04T01:22:22Z
109,X,20,98.4,resale,2026-04-04T01:22:22Z
110,L,5,121.77,resale,2026-04-04T01:22:22Z
110,L,6,121.77,resale,2026-04-04T01:22:22Z
110,L,7,121.77,resale,2026-04-04T01:22:22Z
110,L,8,121.77,resale,2026-04-04T01:22:22Z
110,P,13,121.77,resale,2026-04-04T01:22:22Z
110,P,14,121.77,resale,2026-04-04T01:22:22Z
112,FF,3,109.47,resale,2026-04-04T01:22:22Z
112,FF,4,109.47,resale,2026-04-04T01:22:22Z
112,FF,5,109.47,resale,2026-04-04T01:22:22Z
112,FF,6,109.47,resale,2026-04-04T01:22:22Z
112,FF,7,109.47,resale,2026-04-04T01:22:22Z
112,FF,8,109.47,resale,2026-04-04T01:22:22Z
112,JJ,7,109.47,resale,2026-04-04T01:22:22Z
112,JJ,8,109.47,resale,2026-04-04T01:22:22Z
113,A,11,91.02,resale,2026-04-04T01:22:22Z
113,A,12,91.02,resale,2026-04-04T01:22:22Z
113,E,1,91.02,resale,2026-04-04T01:22:22Z
113,E,2,91.02,resale,2026-04-04T01:22:22Z
113,GG,5,91.02,resale,2026-04-04T01:22:22Z
113,GG,6,91.02,resale,2026-04-04T01:22:22Z
113,J,1,91.02,resale,2026-04-04T01:22:22Z
113,J,2,91.02,resale,2026-04-04T01:22:22Z
113,O,21,91.02,resale,2026-04-04T01:22:22Z
113,O,22,91.02,resale,2026-04-04T01:22:22Z
114,L,1,123.0,resale,2026-04-04T01:22:22Z
114,L,2,123.0,resale,2026-04-04T01:22:22Z
114,R,13,123.0,resale,2026-04-04T01:22:22Z
114,R,14,123.0,resale,2026-04-04T01:22:22Z
116,S,11,113.16,resale,2026-04-04T01:22:22Z
116,S,12,113.16,resale,2026-04-04T01:22:22Z
116,S,13,113.16,resale,2026-04-04T01:22:22Z
116,S,14,113.16,resale,2026-04-04T01:22:22Z
116,T,14,113.16,resale,2026-04-04T01:22:22Z
116,T,15,113.16,resale,2026-04-04T01:22:22Z
116,X,7,113.16,resale,2026-04-04T01:22:22Z
116,X,8,113.16,resale,2026-04-04T01:22:22Z
117,A,4,196.8,resale,2026-04-04T01:22:22Z
117,A,1,196.8,resale,2026-04-04T01:22:22Z
117,A,2,196.8,resale,2026-04-04T01:22:22Z
117,A,3,196.8,resale,2026-04-04T01:22:22Z
117,B,10,196.8,resale,2026-04-04T01:22:22Z
117,B,11,196.8,resale,2026-04-04T01:22:22Z
117,H,17,196.8,resale,2026-04-04T01:22:22Z
117,H,18,196.8,resale,2026-04-04T01:22:22Z
118,F,5,159.9,resale,2026-04-04T01:22:22Z
