section,row,seat,price_usd,selection_type,scraped_at
101,AA,7,87.75,resale,2026-04-03T23:30:00Z
101,AA,8,87.75,resale,2026-04-03T23:30:00Z
101,G,16,87.75,resale,2026-04-03T23:30:00Z
101,G,17,87.75,resale,2026-04-03T23:30:00Z
101,R,22,87.75,resale,2026-04-03T23:30:00Z
101,R,23,87.75,resale,2026-04-03T23:30:00Z
101,S,21,87.75,resale,2026-04-03T23:30:00Z
101,S,22,87.75,resale,2026-04-03T23:30:00Z
101,V,5,87.75,resale,2026-04-03T23:30:00Z
101,V,6,87.75,resale,2026-04-03T23:30:00Z
102,DD,4,85.41,resale,2026-04-03T23:30:00Z
102,DD,5,85.41,resale,2026-04-03T23:30:00Z
102,F,5,85.41,resale,2026-04-03T23:30:00Z
102,F,6,85.41,resale,2026-04-03T23:30:00Z
102,S,7,85.41,resale,2026-04-03T23:30:00Z
102,S,8,85.41,resale,2026-04-03T23:30:00Z
102,S,17,85.41,resale,2026-04-03T23:30:00Z
102,S,18,85.41,resale,2026-04-03T23:30:00Z
102,U,16,85.41,resale,2026-04-03T23:30:00Z
102,U,17,85.41,resale,2026-04-03T23:30:00Z
103,G,3,134.55,resale,2026-04-03T23:30:00Z
103,G,4,134.55,resale,2026-04-03T23:30:00Z
104,H,9,93.6,resale,2026-04-03T23:30:00Z
104,H,10,93.6,resale,2026-04-03T23:30:00Z
104,S,11,93.6,resale,2026-04-03T23:30:00Z
104,S,12,93.6,resale,2026-04-03T23:30:00Z
104,V,15,93.6,resale,2026-04-03T23:30:00Z
104,V,16,93.6,resale,2026-04-03T23:30:00Z
105,A,7,140.4,resale,2026-04-03T23:30:00Z
105,A,8,140.4,resale,2026-04-03T23:30:00Z
105,CC,8,140.4,resale,2026-04-03T23:30:00Z
105,CC,9,140.4,resale,2026-04-03T23:30:00Z
105,F,1,140.4,resale,2026-04-03T23:30:00Z
105,F,2,140.4,resale,2026-04-03T23:30:00Z
105,G,13,140.4,resale,2026-04-03T23:30:00Z
105,G,14,140.4,resale,2026-04-03T23:30:00Z
105,M,15,140.4,resale,2026-04-03T23:30:00Z
105,M,16,140.4,resale,2026-04-03T23:30:00Z
105,N,1,140.4,resale,2026-04-03T23:30:00Z
105,N,2,140.4,resale,2026-04-03T23:30:00Z
105,U,15,140.4,resale,2026-04-03T23:30:00Z
105,U,16,140.4,resale,2026-04-03T23:30:00Z
106,D,15,124.02,resale,2026-04-03T23:30:00Z
106,D,16,124.02,resale,2026-04-03T23:30:00Z
106,DD,12,124.02,resale,2026-04-03T23:30:00Z
106,DD,13,124.02,resale,2026-04-03T23:30:00Z
106,L,15,124.02,resale,2026-04-03T23:30:00Z
106,L,16,124.02,resale,2026-04-03T23:30:00Z
106,N,13,124.02,resale,2026-04-03T23:30:00Z
106,N,14,124.02,resale,2026-04-03T23:30:00Z
106,R,13,124.02,resale,2026-04-03T23:30:00Z
106,R,14,124.02,resale,2026-04-03T23:30:00Z
107,O,11,124.02,resale,2026-04-03T23:30:00Z
107,O,12,124.02,resale,2026-04-03T23:30:00Z
107,O,13,124.02,resale,2026-04-03T23:30:00Z
107,O,14,124.02,resale,2026-04-03T23:30:00Z
108,BB,3,117.0,resale,2026-04-03T23:30:00Z
108,BB,4,117.0,resale,2026-04-03T23:30:00Z
108,BB,5,117.0,resale,2026-04-03T23:30:00Z
108,BB,6,117.0,resale,2026-04-03T23:30:00Z
108,D,11,117.0,resale,2026-04-03T23:30:00Z
108,D,12,117.0,resale,2026-04-03T23:30:00Z
108,F,5,117.0,resale,2026-04-03T23:30:00Z
108,F,6,117.0,resale,2026-04-03T23:30:00Z
108,F,7,117.0,resale,2026-04-03T23:30:00Z
108,F,8,117.0,resale,2026-04-03T23:30:00Z
108,F,9,117.0,resale,2026-04-03T23:30:00Z
108,F,10,117.0,resale,2026-04-03T23:30:00Z
108,F,11,117.0,resale,2026-04-03T23:30:00Z
108,F,12,117.0,resale,2026-04-03T23:30:00Z
108,H,17,117.0,resale,2026-04-03T23:30:00Z
108,H,18,117.0,resale,2026-04-03T23:30:00Z
108,T,15,117.0,resale,2026-04-03T23:30:00Z
108,T,16,117.0,resale,2026-04-03T23:30:00Z
108,X,4,117.0,resale,2026-04-03T23:30:00Z
108,X,5,117.0,resale,2026-04-03T23:30:00Z
109,L,3,93.6,resale,2026-04-03T23:30:00Z
109,L,4,93.6,resale,2026-04-03T23:30:00Z
109,S,13,93.6,resale,2026-04-03T23:30:00Z
109,S,14,93.6,resale,2026-04-03T23:30:00Z
109,T,11,93.6,resale,2026-04-03T23:30:00Z
109,T,12,93.6,resale,2026-04-03T23:30:00Z
109,U,1,93.6,resale,2026-04-03T23:30:00Z
109,U,2,93.6,resale,2026-04-03T23:30:00Z
109,V,15,93.6,resale,2026-04-03T23:30:00Z
109,V,16,93.6,resale,2026-04-03T23:30:00Z
109,W,4,93.6,resale,2026-04-03T23:30:00Z
109,W,5,93.6,resale,2026-04-03T23:30:00Z
109,X,19,93.6,resale,2026-04-03T23:30:00Z
109,X,20,93.6,resale,2026-04-03T23:30:00Z
110,L,5,115.83,resale,2026-04-03T23:30:00Z
110,L,6,115.83,resale,2026-04-03T23:30:00Z
110,L,7,115.83,resale,2026-04-03T23:30:00Z
110,L,8,115.83,resale,2026-04-03T23:30:00Z
110,P,13,115.83,resale,2026-04-03T23:30:00Z
110,P,14,115.83,resale,2026-04-03T23:30:00Z
112,FF,3,104.13,resale,2026-04-03T23:30:00Z
112,FF,4,104.13,resale,2026-04-03T23:30:00Z
112,FF,5,104.13,resale,2026-04-03T23:30:00Z
112,FF,6,104.13,resale,2026-04-03T23:30:00Z
112,FF,7,104.13,resale,2026-04-03T23:30:00Z
112,FF,8,104.13,resale,2026-04-03T23:30:00Z
112,JJ,7,104.13,resale,2026-04-03T23:30:00Z
112,JJ,8,104.13,resale,2026-04-03T23:30:00Z
113,A,11,93.6,resale,2026-04-03T23:30:00Z
113,A,12,93.6,resale,2026-04-03T23:30:00Z
113,GG,5,93.6,resale,2026-04-03T23:30:00Z
113,GG,6,93.6,resale,2026-04-03T23:30:00Z
113,J,1,93.6,resale,2026-04-03T23:30:00Z
113,J,2,93.6,resale,2026-04-03T23:30:00Z
113,O,21,93.6,resale,2026-04-03T23:30:00Z
113,O,22,93.6,resale,2026-04-03T23:30:00Z
114,L,1,105.3,resale,2026-04-03T23:30:00Z
114,L,2,105.3,resale,2026-04-03T23:30:00Z
114,R,13,105.3,resale,2026-04-03T23:30:00Z
114,R,14,105.3,resale,2026-04-03T23:30:00Z
116,S,11,107.64,resale,2026-04-03T23:30:00Z
116,S,12,107.64,resale,2026-04-03T23:30:00Z
116,S,13,107.64,resale,2026-04-03T23:30:00Z
116,S,14,107.64,resale,2026-04-03T23:30:00Z
116,T,14,107.64,resale,2026-04-03T23:30:00Z
116,T,15,107.64,resale,2026-04-03T23:30:00Z
116,X,7,107.64,resale,2026-04-03T23:30:00Z
116,X,8,107.64,resale,2026-04-03T23:30:00Z
117,A,1,124.02,resale,2026-04-03T23:30:00Z
117,A,2,124.02,resale,2026-04-03T23:30:00Z
117,A,3,124.02,resale,2026-04-03T23:30:00Z
117,A,4,124.02,resale,2026-04-03T23:30:00Z
117,B,10,124.02,resale,2026-04-03T23:30:00Z
117,B,11,124.02,resale,2026-04-03T23:30:00Z
117,H,17,124.02,resale,2026-04-03T23:30:00Z
117,H,18,124.02,resale,2026-04-03T23:30:00Z
118,F,5,124.02,resale,2026-04-03T23:30:00Z
118,F,6,124.02,resale,2026-04-03T23:30:00Z
118,K,1,124.02,resale,2026-04-03T23:30:00Z
118,K,2,124.02,resale,2026-04-03T23:30:00Z
118,L,9,124.02,resale,2026-04-03T23:30:00Z
118,L,10,124.02,resale,2026-04-03T23:30:00Z
118,M,15,124.02,resale,2026-04-03T23:30:00Z
118,M,16,124.02,resale,2026-04-03T23:30:00Z
118,N,5,124.02,resale,2026-04-03T23:30:00Z
118,N,6,124.02,resale,2026-04-03T23:30:00Z
118,P,7,124.02,resale,2026-04-03T23:30:00Z
118,P,8,124.02,resale,2026-04-03T23:30:00Z
118,T,5,124.02,resale,2026-04-03T23:30:00Z
118,T,6,124.02,resale,2026-04-03T23:30:00Z
119,BB,19,204.75,resale,2026-04-03T23:30:00Z
119,BB,20,204.75,resale,2026-04-03T23:30:00Z
119,D,11,204.75,resale,2026-04-03T23:30:00Z
119,D,12,204.75,resale,2026-04-03T23:30:00Z
119,F,9,204.75,resale,2026-04-03T23:30:00Z
119,F,10,204.75,resale,2026-04-03T23:30:00Z
119,G,9,204.75,resale,2026-04-03T23:30:00Z
