section,row,seat,price_usd,selection_type,scraped_at
102,H,3,267.43,standard,2026-04-05T22:30:00Z
102,H,4,267.43,standard,2026-04-05T22:30:00Z
104,L,10,307.5,resale,2026-04-05T22:30:00Z
104,L,11,307.5,resale,2026-04-05T22:30:00Z
105,A,7,319.8,resale,2026-04-05T22:30:00Z
105,A,8,319.8,resale,2026-04-05T22:30:00Z
106,G,7,477.24,resale,2026-04-05T22:30:00Z
106,G,8,477.24,resale,2026-04-05T22:30:00Z
106,L,1,477.24,resale,2026-04-05T22:30:00Z
106,L,2,477.24,resale,2026-04-05T22:30:00Z
108,BB,3,344.4,resale,2026-04-05T22:30:00Z
108,BB,4,344.4,resale,2026-04-05T22:30:00Z
109,O,3,338.25,resale,2026-04-05T22:30:00Z
109,O,4,338.25,resale,2026-04-05T22:30:00Z
109,V,10,338.25,resale,2026-04-05T22:30:00Z
109,V,11,338.25,resale,2026-04-05T22:30:00Z
111,G,7,215.25,resale,2026-04-05T22:30:00Z
111,G,8,215.25,resale,2026-04-05T22:30:00Z
111,N,5,215.25,resale,2026-04-05T22:30:00Z
111,N,6,215.25,resale,2026-04-05T22:30:00Z
111,S,11,215.25,resale,2026-04-05T22:30:00Z
111,S,12,215.25,resale,2026-04-05T22:30:00Z
112,N,5,227.55,resale,2026-04-05T22:30:00Z
112,N,6,227.55,resale,2026-04-05T22:30:00Z
112,N,20,227.55,resale,2026-04-05T22:30:00Z
112,N,21,227.55,resale,2026-04-05T22:30:00Z
113,E,12,221.4,resale,2026-04-05T22:30:00Z
113,E,13,221.4,resale,2026-04-05T22:30:00Z
113,R,1,221.4,resale,2026-04-05T22:30:00Z
113,R,2,221.4,resale,2026-04-05T22:30:00Z
114,S,4,267.43,standard,2026-04-05T22:30:00Z
114,S,5,267.43,standard,2026-04-05T22:30:00Z
114,X,18,267.43,standard,2026-04-05T22:30:00Z
114,X,19,267.43,standard,2026-04-05T22:30:00Z
115,U,15,290.79,standard,2026-04-05T22:30:00Z
115,U,16,290.79,standard,2026-04-05T22:30:00Z
116,G,6,360.86,standard,2026-04-05T22:30:00Z
116,G,7,360.86,standard,2026-04-05T22:30:00Z
117,B,10,369.0,resale,2026-04-05T22:30:00Z
117,B,11,369.0,resale,2026-04-05T22:30:00Z
117,P,1,369.0,resale,2026-04-05T22:30:00Z
117,P,2,369.0,resale,2026-04-05T22:30:00Z
117,T,17,369.0,resale,2026-04-05T22:30:00Z
