section,row,seat,price_usd,selection_type,scraped_at
101,KK,1,244.08,standard,2026-04-05T22:30:00Z
101,KK,2,244.08,standard,2026-04-05T22:30:00Z
101,M,17,244.08,standard,2026-04-05T22:30:00Z
101,M,18,244.08,standard,2026-04-05T22:30:00Z
101,R,13,244.08,standard,2026-04-05T22:30:00Z
101,R,14,244.08,standard,2026-04-05T22:30:00Z
102,E,6,267.43,standard,2026-04-05T22:30:00Z
102,E,7,267.43,standard,2026-04-05T22:30:00Z
102,H,4,267.43,standard,2026-04-05T22:30:00Z
102,H,3,267.43,standard,2026-04-05T22:30:00Z
102,N,1,267.43,standard,2026-04-05T22:30:00Z
102,N,2,267.43,standard,2026-04-05T22:30:00Z
103,E,1,290.79,standard,2026-04-05T22:30:00Z
103,E,2,290.79,standard,2026-04-05T22:30:00Z
103,G,1,290.79,standard,2026-04-05T22:30:00Z
103,G,2,290.79,standard,2026-04-05T22:30:00Z
103,V,12,290.79,standard,2026-04-05T22:30:00Z
103,V,13,290.79,standard,2026-04-05T22:30:00Z
104,L,10,307.5,resale,2026-04-05T22:30:00Z
104,L,11,307.5,resale,2026-04-05T22:30:00Z
104,U,14,307.5,resale,2026-04-05T22:30:00Z
104,U,15,307.5,resale,2026-04-05T22:30:00Z
104,V,5,307.5,resale,2026-04-05T22:30:00Z
104,V,6,307.5,resale,2026-04-05T22:30:00Z
104,W,8,307.5,resale,2026-04-05T22:30:00Z
104,W,9,307.5,resale,2026-04-05T22:30:00Z
105,A,7,319.8,resale,2026-04-05T22:30:00Z
105,A,8,319.8,resale,2026-04-05T22:30:00Z
105,A,15,319.8,resale,2026-04-05T22:30:00Z
105,A,16,319.8,resale,2026-04-05T22:30:00Z
105,L,7,319.8,resale,2026-04-05T22:30:00Z
105,L,8,319.8,resale,2026-04-05T22:30:00Z
105,L,15,319.8,resale,2026-04-05T22:30:00Z
105,L,16,319.8,resale,2026-04-05T22:30:00Z
105,S,17,319.8,resale,2026-04-05T22:30:00Z
105,S,18,319.8,resale,2026-04-05T22:30:00Z
106,CC,3,477.24,resale,2026-04-05T22:30:00Z
106,CC,4,477.24,resale,2026-04-05T22:30:00Z
106,DD,16,477.24,resale,2026-04-05T22:30:00Z
106,DD,17,477.24,resale,2026-04-05T22:30:00Z
106,DD,5,477.24,resale,2026-04-05T22:30:00Z
