section,row,seat,price_usd,selection_type,scraped_at
C317,C,5,,,2026-07-06T00:34:54Z
C317,C,6,,,2026-07-06T00:34:54Z
C333,F,4,,,2026-07-06T00:34:54Z
C333,F,5,,,2026-07-06T00:34:54Z
F105,H,5,,,2026-07-06T00:34:54Z
F105,H,6,,,2026-07-06T00:34:54Z
F105,H,7,,,2026-07-06T00:34:54Z
F105,H,8,,,2026-07-06T00:34:54Z
F105,H,9,,,2026-07-06T00:34:54Z
F105,K,2,,,2026-07-06T00:34:54Z
F131,E,7,,,2026-07-06T00:34:54Z
F131,E,8,,,2026-07-06T00:34:54Z
F131,G,8,,,2026-07-06T00:34:54Z
F131,G,9,,,2026-07-06T00:34:54Z
F131,G,10,,,2026-07-06T00:34:54Z
F131,G,11,,,2026-07-06T00:34:54Z
F131,K,5,,,2026-07-06T00:34:54Z
F131,K,6,,,2026-07-06T00:34:54Z
F135,BB,6,,,2026-07-06T00:34:54Z
F135,BB,7,,,2026-07-06T00:34:54Z
P244,L,9,,,2026-07-06T00:34:54Z
P244,L,10,,,2026-07-06T00:34:54Z
P244,L,11,,,2026-07-06T00:34:54Z
P244,L,12,,,2026-07-06T00:34:54Z
P244,L,13,,,2026-07-06T00:34:54Z
T223,G,19,,,2026-07-06T00:34:54Z
T223,G,20,,,2026-07-06T00:34:54Z
T225,A,13,,,2026-07-06T00:34:54Z
T225,A,14,,,2026-07-06T00:34:54Z
V421,A,2,,,2026-07-06T00:34:54Z
V421,A,3,,,2026-07-06T00:34:54Z
V424,C,3,,,2026-07-06T00:34:54Z
V424,C,4,,,2026-07-06T00:34:54Z
V424,C,5,,,2026-07-06T00:34:54Z
V424,C,6,,,2026-07-06T00:34:54Z
V501,A,1,,,2026-07-06T00:34:54Z
V501,A,2,,,2026-07-06T00:34:54Z
V501,A,3,,,2026-07-06T00:34:54Z
V501,A,4,,,2026-07-06T00:34:54Z
V501,A,5,,,2026-07-06T00:34:54Z
V501,A,6,,,2026-07-06T00:34:54Z
V501,A,7,,,2026-07-06T00:34:54Z
V507,A,1,,,2026-07-06T00:34:54Z
V507,A,2,,,2026-07-06T00:34:54Z
V534,A,6,,,2026-07-06T00:34:54Z
V534,A,7,,,2026-07-06T00:34:54Z
V537,A,9,,,2026-07-06T00:34:54Z
V537,A,10,,,2026-07-06T00:34:54Z
V539,A,12,,,2026-07-06T00:34:54Z
V539,A,13,,,2026-07-06T00:34:54Z
V540,A,1,,,2026-07-06T00:34:54Z
V540,A,2,,,2026-07-06T00:34:54Z
V540,A,3,,,2026-07-06T00:34:54Z
V540,A,4,,,2026-07-06T00:34:54Z
