section,row,seat,price_usd,selection_type,scraped_at
F129,A,7,,,2026-07-28T00:41:32Z
F129,A,8,,,2026-07-28T00:41:32Z
F107,A,7,,,2026-07-28T00:41:32Z
F107,A,8,,,2026-07-28T00:41:32Z
C338,A,1,,,2026-07-28T00:41:32Z
C338,A,2,,,2026-07-28T00:41:32Z
F104,C,8,,,2026-07-28T00:41:32Z
F104,C,9,,,2026-07-28T00:41:32Z
V427,A,13,,,2026-07-28T00:41:32Z
V427,A,14,,,2026-07-28T00:41:32Z
P259,J,16,,,2026-07-28T00:41:32Z
P259,J,17,,,2026-07-28T00:41:32Z
P259,J,18,,,2026-07-28T00:41:32Z
P259,J,19,,,2026-07-28T00:41:32Z
P259,J,20,,,2026-07-28T00:41:32Z
P259,J,21,,,2026-07-28T00:41:32Z
P259,J,22,,,2026-07-28T00:41:32Z
P259,J,23,,,2026-07-28T00:41:32Z
P259,H,3,,,2026-07-28T00:41:32Z
P259,H,4,,,2026-07-28T00:41:32Z
T205,F,3,,,2026-07-28T00:41:32Z
T205,F,4,,,2026-07-28T00:41:32Z
T205,F,5,,,2026-07-28T00:41:32Z
T205,F,6,,,2026-07-28T00:41:32Z
T205,C,15,,,2026-07-28T00:41:32Z
T205,C,16,,,2026-07-28T00:41:32Z
P260,J,5,,,2026-07-28T00:41:32Z
P260,J,6,,,2026-07-28T00:41:32Z
P260,J,7,,,2026-07-28T00:41:32Z
P260,J,8,,,2026-07-28T00:41:32Z
V410,C,18,,,2026-07-28T00:41:32Z
V410,C,19,,,2026-07-28T00:41:32Z
P239,E,24,,,2026-07-28T00:41:32Z
P239,E,25,,,2026-07-28T00:41:32Z
P258,H,13,,,2026-07-28T00:41:32Z
P258,H,14,,,2026-07-28T00:41:32Z
P258,H,15,,,2026-07-28T00:41:32Z
P258,H,16,,,2026-07-28T00:41:32Z
P258,H,17,,,2026-07-28T00:41:32Z
P258,H,18,,,2026-07-28T00:41:32Z
P258,J,20,,,2026-07-28T00:41:32Z
P258,J,21,,,2026-07-28T00:41:32Z
P247,B,14,,,2026-07-28T00:41:32Z
P247,B,15,,,2026-07-28T00:41:32Z
P247,B,16,,,2026-07-28T00:41:32Z
P247,B,17,,,2026-07-28T00:41:32Z
P248,B,3,,,2026-07-28T00:41:32Z
P248,B,4,,,2026-07-28T00:41:32Z
P248,B,5,,,2026-07-28T00:41:32Z
P248,B,6,,,2026-07-28T00:41:32Z
P248,C,5,,,2026-07-28T00:41:32Z
P248,C,6,,,2026-07-28T00:41:32Z
P248,C,7,,,2026-07-28T00:41:32Z
P248,C,8,,,2026-07-28T00:41:32Z
P248,C,9,,,2026-07-28T00:41:32Z
P248,C,10,,,2026-07-28T00:41:32Z
P248,C,11,,,2026-07-28T00:41:32Z
P248,C,12,,,2026-07-28T00:41:32Z
P248,C,13,,,2026-07-28T00:41:32Z
P248,C,14,,,2026-07-28T00:41:32Z
P248,C,15,,,2026-07-28T00:41:32Z
P248,C,16,,,2026-07-28T00:41:32Z
P246,B,13,,,2026-07-28T00:41:32Z
P246,B,14,,,2026-07-28T00:41:32Z
P246,B,15,,,2026-07-28T00:41:32Z
P246,B,16,,,2026-07-28T00:41:32Z
P244,B,7,,,2026-07-28T00:41:32Z
P244,B,8,,,2026-07-28T00:41:32Z
P245,B,5,,,2026-07-28T00:41:32Z
P245,B,6,,,2026-07-28T00:41:32Z
P245,B,7,,,2026-07-28T00:41:32Z
P245,B,8,,,2026-07-28T00:41:32Z
P245,B,9,,,2026-07-28T00:41:32Z
P245,B,10,,,2026-07-28T00:41:32Z
T204,B,15,,,2026-07-28T00:41:32Z
T204,B,16,,,2026-07-28T00:41:32Z
T204,A,16,,,2026-07-28T00:41:32Z
T204,A,17,,,2026-07-28T00:41:32Z
T210,B,14,,,2026-07-28T00:41:32Z
T210,B,15,,,2026-07-28T00:41:32Z
T210,B,16,,,2026-07-28T00:41:32Z
T210,B,17,,,2026-07-28T00:41:32Z
F125,G,8,,,2026-07-28T00:41:32Z
F125,G,9,,,2026-07-28T00:41:32Z
F125,M,5,,,2026-07-28T00:41:32Z
F125,M,6,,,2026-07-28T00:41:32Z
F125,K,5,,,2026-07-28T00:41:32Z
F125,K,6,,,2026-07-28T00:41:32Z
F125,K,7,,,2026-07-28T00:41:32Z
F125,K,8,,,2026-07-28T00:41:32Z
V426,A,1,,,2026-07-28T00:41:32Z
V426,A,2,,,2026-07-28T00:41:32Z
V426,A,3,,,2026-07-28T00:41:32Z
V426,A,4,,,2026-07-28T00:41:32Z
F109,D,3,,,2026-07-28T00:41:32Z
F109,D,4,,,2026-07-28T00:41:32Z
T222,B,5,,,2026-07-28T00:41:32Z
T222,B,6,,,2026-07-28T00:41:32Z
V425,A,5,,,2026-07-28T00:41:32Z
V425,A,6,,,2026-07-28T00:41:32Z
V425,A,7,,,2026-07-28T00:41:32Z
V425,A,8,,,2026-07-28T00:41:32Z
F124,D,11,,,2026-07-28T00:41:32Z
F124,D,12,,,2026-07-28T00:41:32Z
F124,L,1,,,2026-07-28T00:41:32Z
F124,L,2,,,2026-07-28T00:41:32Z
V421,A,6,,,2026-07-28T00:41:32Z
V421,A,7,,,2026-07-28T00:41:32Z
F112,D,9,,,2026-07-28T00:41:32Z
F112,D,10,,,2026-07-28T00:41:32Z
T211,B,5,,,2026-07-28T00:41:32Z
T211,B,6,,,2026-07-28T00:41:32Z
C339,B,5,,,2026-07-28T00:41:32Z
C339,B,6,,,2026-07-28T00:41:32Z
F128,C,10,,,2026-07-28T00:41:32Z
F128,C,11,,,2026-07-28T00:41:32Z
F128,C,12,,,2026-07-28T00:41:32Z
F128,C,13,,,2026-07-28T00:41:32Z
T229,C,19,,,2026-07-28T00:41:32Z
T229,C,20,,,2026-07-28T00:41:32Z
P238,J,9,,,2026-07-28T00:41:32Z
P238,J,10,,,2026-07-28T00:41:32Z
P238,D,3,,,2026-07-28T00:41:32Z
P238,D,4,,,2026-07-28T00:41:32Z
