section,row,seat,price_usd,selection_type,scraped_at
109,3,9,9.61,standard,2026-07-20T22:22:43Z
109,3,10,9.61,standard,2026-07-20T22:22:43Z
110,11,9,9.61,standard,2026-07-20T22:22:43Z
110,11,10,9.61,standard,2026-07-20T22:22:43Z
110,11,11,9.61,standard,2026-07-20T22:22:43Z
110,11,12,9.61,standard,2026-07-20T22:22:43Z
110,12,5,9.61,standard,2026-07-20T22:22:43Z
110,12,6,9.61,standard,2026-07-20T22:22:43Z
110,13,9,9.61,standard,2026-07-20T22:22:43Z
110,16,5,9.61,standard,2026-07-20T22:22:43Z
110,16,6,9.61,standard,2026-07-20T22:22:43Z
110,16,7,9.61,standard,2026-07-20T22:22:43Z
110,16,8,9.61,standard,2026-07-20T22:22:43Z
110,16,11,9.61,standard,2026-07-20T22:22:43Z
110,16,12,9.61,standard,2026-07-20T22:22:43Z
110,17,9,9.61,standard,2026-07-20T22:22:43Z
110,17,10,9.61,standard,2026-07-20T22:22:43Z
111,12,11,9.61,standard,2026-07-20T22:22:43Z
111,12,12,9.61,standard,2026-07-20T22:22:43Z
111,12,13,9.61,standard,2026-07-20T22:22:43Z
111,14,5,9.61,standard,2026-07-20T22:22:43Z
111,14,6,9.61,standard,2026-07-20T22:22:43Z
111,15,9,9.61,standard,2026-07-20T22:22:43Z
111,15,10,9.61,standard,2026-07-20T22:22:43Z
111,15,11,9.61,standard,2026-07-20T22:22:43Z
111,16,5,9.61,standard,2026-07-20T22:22:43Z
111,16,6,9.61,standard,2026-07-20T22:22:43Z
111,16,7,9.61,standard,2026-07-20T22:22:43Z
111,16,8,9.61,standard,2026-07-20T22:22:43Z
111,17,5,9.61,standard,2026-07-20T22:22:43Z
111,17,6,9.61,standard,2026-07-20T22:22:43Z
111,17,7,9.61,standard,2026-07-20T22:22:43Z
111,17,18,9.61,standard,2026-07-20T22:22:43Z
111,17,19,9.61,standard,2026-07-20T22:22:43Z
111,WC,11,9.61,standard,2026-07-20T22:22:43Z
111,WC,12,9.61,standard,2026-07-20T22:22:43Z
111,WC,13,9.61,standard,2026-07-20T22:22:43Z
111,WC,14,9.61,standard,2026-07-20T22:22:43Z
112,8,17,9.61,standard,2026-07-20T22:22:43Z
112,8,18,9.61,standard,2026-07-20T22:22:43Z
112,9,14,9.61,standard,2026-07-20T22:22:43Z
112,9,15,9.61,standard,2026-07-20T22:22:43Z
112,12,11,9.61,standard,2026-07-20T22:22:43Z
112,12,12,9.61,standard,2026-07-20T22:22:43Z
112,13,21,9.61,standard,2026-07-20T22:22:43Z
112,13,22,9.61,standard,2026-07-20T22:22:43Z
112,16,5,9.61,standard,2026-07-20T22:22:43Z
112,16,6,9.61,standard,2026-07-20T22:22:43Z
112,16,7,9.61,standard,2026-07-20T22:22:43Z
112,16,8,9.61,standard,2026-07-20T22:22:43Z
112,17,8,9.61,standard,2026-07-20T22:22:43Z
112,17,9,9.61,standard,2026-07-20T22:22:43Z
112,18,17,9.61,standard,2026-07-20T22:22:43Z
112,18,18,9.61,standard,2026-07-20T22:22:43Z
112,18,19,9.61,standard,2026-07-20T22:22:43Z
112,19,7,9.61,standard,2026-07-20T22:22:43Z
112,19,8,9.61,standard,2026-07-20T22:22:43Z
112,19,9,9.61,standard,2026-07-20T22:22:43Z
112,19,10,9.61,standard,2026-07-20T22:22:43Z
112,19,22,9.61,standard,2026-07-20T22:22:43Z
112,19,23,9.61,standard,2026-07-20T22:22:43Z
112,19,24,9.61,standard,2026-07-20T22:22:43Z
112,19,25,9.61,standard,2026-07-20T22:22:43Z
113,8,3,9.61,standard,2026-07-20T22:22:43Z
113,8,4,9.61,standard,2026-07-20T22:22:43Z
113,12,22,9.61,standard,2026-07-20T22:22:43Z
113,14,7,9.61,standard,2026-07-20T22:22:43Z
113,14,8,9.61,standard,2026-07-20T22:22:43Z
113,17,3,9.61,standard,2026-07-20T22:22:43Z
113,17,4,9.61,standard,2026-07-20T22:22:43Z
113,WC,13,9.61,standard,2026-07-20T22:22:43Z
113,WC,14,9.61,standard,2026-07-20T22:22:43Z
13,11,12,9.61,standard,2026-07-20T22:22:43Z
13,12,11,9.61,standard,2026-07-20T22:22:43Z
13,12,12,9.61,standard,2026-07-20T22:22:43Z
131,15,17,9.61,standard,2026-07-20T22:22:43Z
131,17,11,9.61,standard,2026-07-20T22:22:43Z
131,17,12,9.61,standard,2026-07-20T22:22:43Z
131,18,6,9.61,standard,2026-07-20T22:22:43Z
131,18,7,9.61,standard,2026-07-20T22:22:43Z
131,18,8,9.61,standard,2026-07-20T22:22:43Z
131,18,9,9.61,standard,2026-07-20T22:22:43Z
131,18,10,9.61,standard,2026-07-20T22:22:43Z
