section,row,seat,price_usd,selection_type,scraped_at
110,13,7,18.4,standard,2026-07-30T22:23:13Z
110,13,8,18.4,standard,2026-07-30T22:23:13Z
110,14,7,18.4,standard,2026-07-30T22:23:13Z
110,14,8,18.4,standard,2026-07-30T22:23:13Z
113,11,11,18.4,standard,2026-07-30T22:23:13Z
113,11,12,18.4,standard,2026-07-30T22:23:13Z
113,11,21,18.4,standard,2026-07-30T22:23:13Z
113,14,7,18.4,standard,2026-07-30T22:23:13Z
113,14,8,18.4,standard,2026-07-30T22:23:13Z
113,16,19,18.4,standard,2026-07-30T22:23:13Z
113,16,20,18.4,standard,2026-07-30T22:23:13Z
113,16,21,18.4,standard,2026-07-30T22:23:13Z
113,16,22,18.4,standard,2026-07-30T22:23:13Z
113,16,23,18.4,standard,2026-07-30T22:23:13Z
113,16,24,18.4,standard,2026-07-30T22:23:13Z
113,WC,7,18.4,standard,2026-07-30T22:23:13Z
113,WC,8,18.4,standard,2026-07-30T22:23:13Z
120,19,13,18.4,standard,2026-07-30T22:23:13Z
120,19,14,18.4,standard,2026-07-30T22:23:13Z
13,10,13,18.4,standard,2026-07-30T22:23:13Z
13,10,14,18.4,standard,2026-07-30T22:23:13Z
131,17,10,18.4,standard,2026-07-30T22:23:13Z
131,17,11,18.4,standard,2026-07-30T22:23:13Z
131,17,14,18.4,standard,2026-07-30T22:23:13Z
131,17,15,18.4,standard,2026-07-30T22:23:13Z
131,17,2,18.4,standard,2026-07-30T22:23:13Z
131,18,10,18.4,standard,2026-07-30T22:23:13Z
131,18,11,18.4,standard,2026-07-30T22:23:13Z
131,18,12,18.4,standard,2026-07-30T22:23:13Z
131,18,13,18.4,standard,2026-07-30T22:23:13Z
131,18,14,18.4,standard,2026-07-30T22:23:13Z
131,18,15,18.4,standard,2026-07-30T22:23:13Z
131,18,16,18.4,standard,2026-07-30T22:23:13Z
131,18,17,18.4,standard,2026-07-30T22:23:13Z
131,18,18,18.4,standard,2026-07-30T22:23:13Z
131,18,4,18.4,standard,2026-07-30T22:23:13Z
131,18,5,18.4,standard,2026-07-30T22:23:13Z
131,18,6,18.4,standard,2026-07-30T22:23:13Z
131,18,7,18.4,standard,2026-07-30T22:23:13Z
131,18,8,18.4,standard,2026-07-30T22:23:13Z
131,18,9,18.4,standard,2026-07-30T22:23:13Z
131,19,14,18.4,standard,2026-07-30T22:23:13Z
131,19,15,18.4,standard,2026-07-30T22:23:13Z
131,19,16,18.4,standard,2026-07-30T22:23:13Z
131,19,17,18.4,standard,2026-07-30T22:23:13Z
131,19,18,18.4,standard,2026-07-30T22:23:13Z
131,19,5,18.4,standard,2026-07-30T22:23:13Z
131,19,6,18.4,standard,2026-07-30T22:23:13Z
131,19,7,18.4,standard,2026-07-30T22:23:13Z
131,19,8,18.4,standard,2026-07-30T22:23:13Z
131,20,3,18.4,standard,2026-07-30T22:23:13Z
131,20,4,18.4,standard,2026-07-30T22:23:13Z
131,20,5,18.4,standard,2026-07-30T22:23:13Z
131,20,6,18.4,standard,2026-07-30T22:23:13Z
131,20,7,18.4,standard,2026-07-30T22:23:13Z
131,20,8,18.4,standard,2026-07-30T22:23:13Z
135,14,11,18.4,standard,2026-07-30T22:23:13Z
135,14,12,18.4,standard,2026-07-30T22:23:13Z
135,14,13,18.4,standard,2026-07-30T22:23:13Z
135,16,11,18.4,standard,2026-07-30T22:23:13Z
138,10,14,18.4,standard,2026-07-30T22:23:13Z
138,10,15,18.4,standard,2026-07-30T22:23:13Z
138,10,16,18.4,standard,2026-07-30T22:23:13Z
138,10,17,18.4,standard,2026-07-30T22:23:13Z
138,10,18,18.4,standard,2026-07-30T22:23:13Z
138,11,10,18.4,standard,2026-07-30T22:23:13Z
138,11,11,18.4,standard,2026-07-30T22:23:13Z
138,11,12,18.4,standard,2026-07-30T22:23:13Z
138,11,9,18.4,standard,2026-07-30T22:23:13Z
138,13,10,18.4,standard,2026-07-30T22:23:13Z
138,13,3,18.4,standard,2026-07-30T22:23:13Z
138,13,4,18.4,standard,2026-07-30T22:23:13Z
138,13,9,18.4,standard,2026-07-30T22:23:13Z
138,14,11,18.4,standard,2026-07-30T22:23:13Z
138,14,12,18.4,standard,2026-07-30T22:23:13Z
138,14,13,18.4,standard,2026-07-30T22:23:13Z
138,14,18,18.4,standard,2026-07-30T22:23:13Z
138,14,19,18.4,standard,2026-07-30T22:23:13Z
138,15,3,18.4,standard,2026-07-30T22:23:13Z
138,15,4,18.4,standard,2026-07-30T22:23:13Z
138,WC,11,18.4,standard,2026-07-30T22:23:13Z
138,WC,15,18.4,standard,2026-07-30T22:23:13Z
138,WC,16,18.4,standard,2026-07-30T22:23:13Z
140,17,17,18.4,standard,2026-07-30T22:23:13Z
140,17,18,18.4,standard,2026-07-30T22:23:13Z
140,17,19,18.4,standard,2026-07-30T22:23:13Z
140,17,20,18.4,standard,2026-07-30T22:23:13Z
140,17,21,18.4,standard,2026-07-30T22:23:13Z
140,15,24,18.4,standard,2026-07-30T22:23:13Z
140,15,25,18.4,standard,2026-07-30T22:23:13Z
140,16,10,18.4,standard,2026-07-30T22:23:13Z
140,16,11,18.4,standard,2026-07-30T22:23:13Z
140,16,12,18.4,standard,2026-07-30T22:23:13Z
140,16,13,18.4,standard,2026-07-30T22:23:13Z
140,18,18,18.4,standard,2026-07-30T22:23:13Z
140,18,19,18.4,standard,2026-07-30T22:23:13Z
140,18,20,18.4,standard,2026-07-30T22:23:13Z
140,18,21,18.4,standard,2026-07-30T22:23:13Z
141,14,8,18.4,standard,2026-07-30T22:23:13Z
141,16,25,18.4,standard,2026-07-30T22:23:13Z
141,16,26,18.4,standard,2026-07-30T22:23:13Z
142,17,10,18.4,standard,2026-07-30T22:23:13Z
142,17,11,18.4,standard,2026-07-30T22:23:13Z
142,17,12,18.4,standard,2026-07-30T22:23:13Z
142,17,5,18.4,standard,2026-07-30T22:23:13Z
142,17,6,18.4,standard,2026-07-30T22:23:13Z
142,17,7,18.4,standard,2026-07-30T22:23:13Z
142,17,8,18.4,standard,2026-07-30T22:23:13Z
142,17,9,18.4,standard,2026-07-30T22:23:13Z
142,10,10,18.4,standard,2026-07-30T22:23:13Z
142,10,15,18.4,standard,2026-07-30T22:23:13Z
142,10,16,18.4,standard,2026-07-30T22:23:13Z
142,10,17,18.4,standard,2026-07-30T22:23:13Z
142,10,8,18.4,standard,2026-07-30T22:23:13Z
142,10,9,18.4,standard,2026-07-30T22:23:13Z
142,11,19,18.4,standard,2026-07-30T22:23:13Z
142,11,20,18.4,standard,2026-07-30T22:23:13Z
142,12,19,18.4,standard,2026-07-30T22:23:13Z
142,12,20,18.4,standard,2026-07-30T22:23:13Z
142,13,12,18.4,standard,2026-07-30T22:23:13Z
142,13,13,18.4,standard,2026-07-30T22:23:13Z
142,13,14,18.4,standard,2026-07-30T22:23:13Z
142,13,15,18.4,standard,2026-07-30T22:23:13Z
142,13,16,18.4,standard,2026-07-30T22:23:13Z
142,13,21,18.4,standard,2026-07-30T22:23:13Z
142,13,22,18.4,standard,2026-07-30T22:23:13Z
142,15,18,18.4,standard,2026-07-30T22:23:13Z
142,15,19,18.4,standard,2026-07-30T22:23:13Z
142,15,20,18.4,standard,2026-07-30T22:23:13Z
142,15,21,18.4,standard,2026-07-30T22:23:13Z
142,15,22,18.4,standard,2026-07-30T22:23:13Z
142,16,19,18.4,standard,2026-07-30T22:23:13Z
142,16,20,18.4,standard,2026-07-30T22:23:13Z
142,16,21,18.4,standard,2026-07-30T22:23:13Z
142,8,16,18.4,standard,2026-07-30T22:23:13Z
142,8,17,18.4,standard,2026-07-30T22:23:13Z
142,8,18,18.4,standard,2026-07-30T22:23:13Z
143,17,13,18.4,standard,2026-07-30T22:23:13Z
143,17,14,18.4,standard,2026-07-30T22:23:13Z
143,17,15,18.4,standard,2026-07-30T22:23:13Z
143,17,16,18.4,standard,2026-07-30T22:23:13Z
143,10,13,18.4,standard,2026-07-30T22:23:13Z
143,10,14,18.4,standard,2026-07-30T22:23:13Z
143,11,14,18.4,standard,2026-07-30T22:23:13Z
143,11,15,18.4,standard,2026-07-30T22:23:13Z
143,12,14,18.4,standard,2026-07-30T22:23:13Z
143,12,15,18.4,standard,2026-07-30T22:23:13Z
143,13,12,18.4,standard,2026-07-30T22:23:13Z
143,13,13,18.4,standard,2026-07-30T22:23:13Z
143,13,14,18.4,standard,2026-07-30T22:23:13Z
143,13,15,18.4,standard,2026-07-30T22:23:13Z
143,13,16,18.4,standard,2026-07-30T22:23:13Z
143,13,17,18.4,standard,2026-07-30T22:23:13Z
143,13,18,18.4,standard,2026-07-30T22:23:13Z
143,13,19,18.4,standard,2026-07-30T22:23:13Z
143,15,15,18.4,standard,2026-07-30T22:23:13Z
143,15,16,18.4,standard,2026-07-30T22:23:13Z
143,16,10,18.4,standard,2026-07-30T22:23:13Z
143,16,11,18.4,standard,2026-07-30T22:23:13Z
143,16,12,18.4,standard,2026-07-30T22:23:13Z
143,16,13,18.4,standard,2026-07-30T22:23:13Z
143,16,14,18.4,standard,2026-07-30T22:23:13Z
143,16,15,18.4,standard,2026-07-30T22:23:13Z
143,16,16,18.4,standard,2026-07-30T22:23:13Z
143,16,2,18.4,standard,2026-07-30T22:23:13Z
143,16,3,18.4,standard,2026-07-30T22:23:13Z
143,16,4,18.4,standard,2026-07-30T22:23:13Z
143,16,5,18.4,standard,2026-07-30T22:23:13Z
143,16,6,18.4,standard,2026-07-30T22:23:13Z
143,16,7,18.4,standard,2026-07-30T22:23:13Z
143,16,8,18.4,standard,2026-07-30T22:23:13Z
143,16,9,18.4,standard,2026-07-30T22:23:13Z
143,9,12,18.4,standard,2026-07-30T22:23:13Z
143,9,13,18.4,standard,2026-07-30T22:23:13Z
145,14,13,18.4,standard,2026-07-30T22:23:13Z
145,14,14,18.4,standard,2026-07-30T22:23:13Z
145,21,14,18.4,standard,2026-07-30T22:23:13Z
145,21,15,18.4,standard,2026-07-30T22:23:13Z
145,23,16,18.4,standard,2026-07-30T22:23:13Z
145,23,17,18.4,standard,2026-07-30T22:23:13Z
145,24,17,18.4,standard,2026-07-30T22:23:13Z
145,24,18,18.4,standard,2026-07-30T22:23:13Z
145,25,16,18.4,standard,2026-07-30T22:23:13Z
145,25,17,18.4,standard,2026-07-30T22:23:13Z
145,26,10,18.4,standard,2026-07-30T22:23:13Z
145,26,11,18.4,standard,2026-07-30T22:23:13Z
145,26,12,18.4,standard,2026-07-30T22:23:13Z
145,26,13,18.4,standard,2026-07-30T22:23:13Z
146,18,10,18.4,standard,2026-07-30T22:23:13Z
146,18,9,18.4,standard,2026-07-30T22:23:13Z
146,24,15,18.4,standard,2026-07-30T22:23:13Z
146,24,16,18.4,standard,2026-07-30T22:23:13Z
146,24,5,18.4,standard,2026-07-30T22:23:13Z
146,24,6,18.4,standard,2026-07-30T22:23:13Z
147,16,17,18.4,standard,2026-07-30T22:23:13Z
147,16,18,18.4,standard,2026-07-30T22:23:13Z
147,29,12,18.4,standard,2026-07-30T22:23:13Z
147,29,13,18.4,standard,2026-07-30T22:23:13Z
147,29,14,18.4,standard,2026-07-30T22:23:13Z
147,29,15,18.4,standard,2026-07-30T22:23:13Z
147,29,16,18.4,standard,2026-07-30T22:23:13Z
147,29,17,18.4,standard,2026-07-30T22:23:13Z
147,29,18,18.4,standard,2026-07-30T22:23:13Z
147,9,7,18.4,standard,2026-07-30T22:23:13Z
147,9,8,18.4,standard,2026-07-30T22:23:13Z
147,9,14,18.4,standard,2026-07-30T22:23:13Z
147,9,15,18.4,standard,2026-07-30T22:23:13Z
148,27,11,18.4,standard,2026-07-30T22:23:13Z
148,27,12,18.4,standard,2026-07-30T22:23:13Z
148,27,13,18.4,standard,2026-07-30T22:23:13Z
148,27,14,18.4,standard,2026-07-30T22:23:13Z
148,27,15,18.4,standard,2026-07-30T22:23:13Z
148,27,16,18.4,standard,2026-07-30T22:23:13Z
148,27,17,18.4,standard,2026-07-30T22:23:13Z
148,27,18,18.4,standard,2026-07-30T22:23:13Z
148,27,19,18.4,standard,2026-07-30T22:23:13Z
148,27,20,18.4,standard,2026-07-30T22:23:13Z
148,27,21,18.4,standard,2026-07-30T22:23:13Z
