section,row,seat,price_usd,selection_type,scraped_at
100AW,1,10,48.35,standard,2026-07-04T00:44:58Z
100AW,1,42,48.35,standard,2026-07-04T00:44:58Z
100AW,1,7,48.35,standard,2026-07-04T00:44:58Z
100AW,1,17,48.35,standard,2026-07-04T00:44:58Z
100AW,1,18,48.35,standard,2026-07-04T00:44:58Z
100AW,1,20,48.35,standard,2026-07-04T00:44:58Z
100AW,1,21,48.35,standard,2026-07-04T00:44:58Z
100AW,1,4,48.35,standard,2026-07-04T00:44:58Z
101,27,13,62.35,standard,2026-07-04T00:44:58Z
101,27,14,62.35,standard,2026-07-04T00:44:58Z
101,27,15,62.35,standard,2026-07-04T00:44:58Z
101,27,16,62.35,standard,2026-07-04T00:44:58Z
101,27,17,62.35,standard,2026-07-04T00:44:58Z
101,27,18,62.35,standard,2026-07-04T00:44:58Z
101,27,19,62.35,standard,2026-07-04T00:44:58Z
101,27,20,62.35,standard,2026-07-04T00:44:58Z
101,27,21,62.35,standard,2026-07-04T00:44:58Z
101,27,22,62.35,standard,2026-07-04T00:44:58Z
101,23,10,62.35,standard,2026-07-04T00:44:58Z
101,23,15,62.35,standard,2026-07-04T00:44:58Z
101,23,16,62.35,standard,2026-07-04T00:44:58Z
101,23,9,62.35,standard,2026-07-04T00:44:58Z
101,24,10,62.35,standard,2026-07-04T00:44:58Z
101,24,11,62.35,standard,2026-07-04T00:44:58Z
101,24,12,62.35,standard,2026-07-04T00:44:58Z
101,24,13,62.35,standard,2026-07-04T00:44:58Z
101,24,9,62.35,standard,2026-07-04T00:44:58Z
101,26,11,62.35,standard,2026-07-04T00:44:58Z
101,26,12,62.35,standard,2026-07-04T00:44:58Z
101,26,13,62.35,standard,2026-07-04T00:44:58Z
101,26,14,62.35,standard,2026-07-04T00:44:58Z
101,26,15,62.35,standard,2026-07-04T00:44:58Z
101,26,16,62.35,standard,2026-07-04T00:44:58Z
101,26,17,62.35,standard,2026-07-04T00:44:58Z
101,26,18,62.35,standard,2026-07-04T00:44:58Z
101,26,19,62.35,standard,2026-07-04T00:44:58Z
101,26,20,62.35,standard,2026-07-04T00:44:58Z
101,26,21,62.35,standard,2026-07-04T00:44:58Z
101,26,22,62.35,standard,2026-07-04T00:44:58Z
101,28,15,62.35,standard,2026-07-04T00:44:58Z
101,28,16,62.35,standard,2026-07-04T00:44:58Z
101,28,17,62.35,standard,2026-07-04T00:44:58Z
101,28,18,62.35,standard,2026-07-04T00:44:58Z
101,28,19,62.35,standard,2026-07-04T00:44:58Z
101,28,20,62.35,standard,2026-07-04T00:44:58Z
101,28,21,62.35,standard,2026-07-04T00:44:58Z
101,28,22,62.35,standard,2026-07-04T00:44:58Z
101,29,17,62.35,standard,2026-07-04T00:44:58Z
101,29,18,62.35,standard,2026-07-04T00:44:58Z
101,29,19,62.35,standard,2026-07-04T00:44:58Z
101,29,20,62.35,standard,2026-07-04T00:44:58Z
101,29,21,62.35,standard,2026-07-04T00:44:58Z
101,29,22,62.35,standard,2026-07-04T00:44:58Z
101,30,19,62.35,standard,2026-07-04T00:44:58Z
101,30,20,62.35,standard,2026-07-04T00:44:58Z
102,17,10,62.35,standard,2026-07-04T00:44:58Z
102,17,11,62.35,standard,2026-07-04T00:44:58Z
102,17,12,62.35,standard,2026-07-04T00:44:58Z
102,17,3,62.35,standard,2026-07-04T00:44:58Z
102,17,4,62.35,standard,2026-07-04T00:44:58Z
102,17,9,62.35,standard,2026-07-04T00:44:58Z
102,19,10,62.35,standard,2026-07-04T00:44:58Z
102,19,6,62.35,standard,2026-07-04T00:44:58Z
102,19,7,62.35,standard,2026-07-04T00:44:58Z
102,19,8,62.35,standard,2026-07-04T00:44:58Z
102,19,9,62.35,standard,2026-07-04T00:44:58Z
102,20,13,62.35,standard,2026-07-04T00:44:58Z
102,20,14,62.35,standard,2026-07-04T00:44:58Z
102,20,15,62.35,standard,2026-07-04T00:44:58Z
102,20,16,62.35,standard,2026-07-04T00:44:58Z
102,20,3,62.35,standard,2026-07-04T00:44:58Z
102,20,4,62.35,standard,2026-07-04T00:44:58Z
102,20,5,62.35,standard,2026-07-04T00:44:58Z
102,20,6,62.35,standard,2026-07-04T00:44:58Z
102,20,7,62.35,standard,2026-07-04T00:44:58Z
102,20,8,62.35,standard,2026-07-04T00:44:58Z
102,21,11,62.35,standard,2026-07-04T00:44:58Z
102,21,12,62.35,standard,2026-07-04T00:44:58Z
102,21,13,62.35,standard,2026-07-04T00:44:58Z
102,21,14,62.35,standard,2026-07-04T00:44:58Z
102,21,15,62.35,standard,2026-07-04T00:44:58Z
102,21,16,62.35,standard,2026-07-04T00:44:58Z
102,21,3,62.35,standard,2026-07-04T00:44:58Z
102,21,4,62.35,standard,2026-07-04T00:44:58Z
102,21,5,62.35,standard,2026-07-04T00:44:58Z
102,21,6,62.35,standard,2026-07-04T00:44:58Z
102,21,7,62.35,standard,2026-07-04T00:44:58Z
102,21,8,62.35,standard,2026-07-04T00:44:58Z
102,22,10,62.35,standard,2026-07-04T00:44:58Z
102,22,11,62.35,standard,2026-07-04T00:44:58Z
102,22,12,62.35,standard,2026-07-04T00:44:58Z
102,22,13,62.35,standard,2026-07-04T00:44:58Z
102,22,14,62.35,standard,2026-07-04T00:44:58Z
102,22,5,62.35,standard,2026-07-04T00:44:58Z
102,22,6,62.35,standard,2026-07-04T00:44:58Z
102,22,7,62.35,standard,2026-07-04T00:44:58Z
102,22,8,62.35,standard,2026-07-04T00:44:58Z
102,22,9,62.35,standard,2026-07-04T00:44:58Z
102,23,10,62.35,standard,2026-07-04T00:44:58Z
102,23,11,62.35,standard,2026-07-04T00:44:58Z
102,23,12,62.35,standard,2026-07-04T00:44:58Z
102,23,13,62.35,standard,2026-07-04T00:44:58Z
102,23,14,62.35,standard,2026-07-04T00:44:58Z
102,23,15,62.35,standard,2026-07-04T00:44:58Z
102,23,3,62.35,standard,2026-07-04T00:44:58Z
102,23,4,62.35,standard,2026-07-04T00:44:58Z
102,23,6,62.35,standard,2026-07-04T00:44:58Z
102,23,7,62.35,standard,2026-07-04T00:44:58Z
102,23,8,62.35,standard,2026-07-04T00:44:58Z
102,23,9,62.35,standard,2026-07-04T00:44:58Z
102,24,10,62.35,standard,2026-07-04T00:44:58Z
102,24,11,62.35,standard,2026-07-04T00:44:58Z
