section,row,seat,price_usd,selection_type,scraped_at
101,27,13,46.3,standard,2026-07-19T20:40:15Z
101,27,14,46.3,standard,2026-07-19T20:40:15Z
101,27,15,46.3,standard,2026-07-19T20:40:15Z
101,23,7,46.3,standard,2026-07-19T20:40:15Z
101,23,8,46.3,standard,2026-07-19T20:40:15Z
101,23,9,46.3,standard,2026-07-19T20:40:15Z
101,24,20,46.3,standard,2026-07-19T20:40:15Z
101,24,21,46.3,standard,2026-07-19T20:40:15Z
101,24,22,46.3,standard,2026-07-19T20:40:15Z
101,24,7,46.3,standard,2026-07-19T20:40:15Z
101,24,8,46.3,standard,2026-07-19T20:40:15Z
101,26,11,46.3,standard,2026-07-19T20:40:15Z
101,26,12,46.3,standard,2026-07-19T20:40:15Z
101,26,13,46.3,standard,2026-07-19T20:40:15Z
101,26,14,46.3,standard,2026-07-19T20:40:15Z
101,26,15,46.3,standard,2026-07-19T20:40:15Z
101,26,16,46.3,standard,2026-07-19T20:40:15Z
101,26,17,46.3,standard,2026-07-19T20:40:15Z
101,26,18,46.3,standard,2026-07-19T20:40:15Z
101,26,19,46.3,standard,2026-07-19T20:40:15Z
101,26,20,46.3,standard,2026-07-19T20:40:15Z
101,26,21,46.3,standard,2026-07-19T20:40:15Z
101,26,22,46.3,standard,2026-07-19T20:40:15Z
101,30,20,46.3,standard,2026-07-19T20:40:15Z
101,30,21,46.3,standard,2026-07-19T20:40:15Z
101,30,22,46.3,standard,2026-07-19T20:40:15Z
102,16,3,46.3,standard,2026-07-19T20:40:15Z
102,27,10,46.3,standard,2026-07-19T20:40:15Z
102,27,11,46.3,standard,2026-07-19T20:40:15Z
102,27,12,46.3,standard,2026-07-19T20:40:15Z
102,27,13,46.3,standard,2026-07-19T20:40:15Z
102,27,14,46.3,standard,2026-07-19T20:40:15Z
102,27,15,46.3,standard,2026-07-19T20:40:15Z
102,27,16,46.3,standard,2026-07-19T20:40:15Z
102,27,17,46.3,standard,2026-07-19T20:40:15Z
102,27,18,46.3,standard,2026-07-19T20:40:15Z
102,27,19,46.3,standard,2026-07-19T20:40:15Z
102,27,20,46.3,standard,2026-07-19T20:40:15Z
102,27,3,46.3,standard,2026-07-19T20:40:15Z
102,27,4,46.3,standard,2026-07-19T20:40:15Z
102,27,5,46.3,standard,2026-07-19T20:40:15Z
102,27,6,46.3,standard,2026-07-19T20:40:15Z
102,27,7,46.3,standard,2026-07-19T20:40:15Z
102,27,8,46.3,standard,2026-07-19T20:40:15Z
102,27,9,46.3,standard,2026-07-19T20:40:15Z
102,20,16,46.3,standard,2026-07-19T20:40:15Z
102,20,2,46.3,standard,2026-07-19T20:40:15Z
102,20,3,46.3,standard,2026-07-19T20:40:15Z
102,20,4,46.3,standard,2026-07-19T20:40:15Z
102,21,12,46.3,standard,2026-07-19T20:40:15Z
102,21,13,46.3,standard,2026-07-19T20:40:15Z
102,21,14,46.3,standard,2026-07-19T20:40:15Z
102,22,13,46.3,standard,2026-07-19T20:40:15Z
102,22,14,46.3,standard,2026-07-19T20:40:15Z
102,22,15,46.3,standard,2026-07-19T20:40:15Z
102,22,16,46.3,standard,2026-07-19T20:40:15Z
102,22,17,46.3,standard,2026-07-19T20:40:15Z
102,22,18,46.3,standard,2026-07-19T20:40:15Z
102,22,19,46.3,standard,2026-07-19T20:40:15Z
102,22,20,46.3,standard,2026-07-19T20:40:15Z
102,22,3,46.3,standard,2026-07-19T20:40:15Z
102,22,4,46.3,standard,2026-07-19T20:40:15Z
102,22,5,46.3,standard,2026-07-19T20:40:15Z
102,23,10,46.3,standard,2026-07-19T20:40:15Z
102,23,11,46.3,standard,2026-07-19T20:40:15Z
102,23,12,46.3,standard,2026-07-19T20:40:15Z
102,23,13,46.3,standard,2026-07-19T20:40:15Z
102,23,14,46.3,standard,2026-07-19T20:40:15Z
102,23,15,46.3,standard,2026-07-19T20:40:15Z
102,23,16,46.3,standard,2026-07-19T20:40:15Z
102,23,17,46.3,standard,2026-07-19T20:40:15Z
102,23,18,46.3,standard,2026-07-19T20:40:15Z
102,23,19,46.3,standard,2026-07-19T20:40:15Z
102,23,20,46.3,standard,2026-07-19T20:40:15Z
102,23,3,46.3,standard,2026-07-19T20:40:15Z
102,23,4,46.3,standard,2026-07-19T20:40:15Z
102,23,5,46.3,standard,2026-07-19T20:40:15Z
102,23,6,46.3,standard,2026-07-19T20:40:15Z
102,23,7,46.3,standard,2026-07-19T20:40:15Z
102,23,8,46.3,standard,2026-07-19T20:40:15Z
102,23,9,46.3,standard,2026-07-19T20:40:15Z
102,24,10,46.3,standard,2026-07-19T20:40:15Z
102,24,11,46.3,standard,2026-07-19T20:40:15Z
102,24,12,46.3,standard,2026-07-19T20:40:15Z
102,24,13,46.3,standard,2026-07-19T20:40:15Z
102,24,14,46.3,standard,2026-07-19T20:40:15Z
102,24,15,46.3,standard,2026-07-19T20:40:15Z
102,24,16,46.3,standard,2026-07-19T20:40:15Z
102,24,17,46.3,standard,2026-07-19T20:40:15Z
102,24,18,46.3,standard,2026-07-19T20:40:15Z
102,24,19,46.3,standard,2026-07-19T20:40:15Z
102,24,4,46.3,standard,2026-07-19T20:40:15Z
102,24,5,46.3,standard,2026-07-19T20:40:15Z
102,24,6,46.3,standard,2026-07-19T20:40:15Z
102,24,7,46.3,standard,2026-07-19T20:40:15Z
102,24,8,46.3,standard,2026-07-19T20:40:15Z
102,24,9,46.3,standard,2026-07-19T20:40:15Z
102,25,10,46.3,standard,2026-07-19T20:40:15Z
102,25,11,46.3,standard,2026-07-19T20:40:15Z
102,25,12,46.3,standard,2026-07-19T20:40:15Z
102,25,13,46.3,standard,2026-07-19T20:40:15Z
102,25,14,46.3,standard,2026-07-19T20:40:15Z
102,25,15,46.3,standard,2026-07-19T20:40:15Z
102,25,16,46.3,standard,2026-07-19T20:40:15Z
102,25,17,46.3,standard,2026-07-19T20:40:15Z
102,25,18,46.3,standard,2026-07-19T20:40:15Z
102,25,19,46.3,standard,2026-07-19T20:40:15Z
102,25,20,46.3,standard,2026-07-19T20:40:15Z
102,25,3,46.3,standard,2026-07-19T20:40:15Z
102,25,4,46.3,standard,2026-07-19T20:40:15Z
102,25,5,46.3,standard,2026-07-19T20:40:15Z
102,25,6,46.3,standard,2026-07-19T20:40:15Z
102,25,7,46.3,standard,2026-07-19T20:40:15Z
102,25,8,46.3,standard,2026-07-19T20:40:15Z
102,25,9,46.3,standard,2026-07-19T20:40:15Z
102,26,10,46.3,standard,2026-07-19T20:40:15Z
102,26,11,46.3,standard,2026-07-19T20:40:15Z
102,26,12,46.3,standard,2026-07-19T20:40:15Z
102,26,13,46.3,standard,2026-07-19T20:40:15Z
102,26,14,46.3,standard,2026-07-19T20:40:15Z
102,26,15,46.3,standard,2026-07-19T20:40:15Z
102,26,16,46.3,standard,2026-07-19T20:40:15Z
102,26,17,46.3,standard,2026-07-19T20:40:15Z
102,26,18,46.3,standard,2026-07-19T20:40:15Z
102,26,19,46.3,standard,2026-07-19T20:40:15Z
102,26,20,46.3,standard,2026-07-19T20:40:15Z
102,26,5,46.3,standard,2026-07-19T20:40:15Z
102,26,6,46.3,standard,2026-07-19T20:40:15Z
102,26,7,46.3,standard,2026-07-19T20:40:15Z
102,26,8,46.3,standard,2026-07-19T20:40:15Z
102,26,9,46.3,standard,2026-07-19T20:40:15Z
102,28,10,46.3,standard,2026-07-19T20:40:15Z
102,28,11,46.3,standard,2026-07-19T20:40:15Z
102,28,12,46.3,standard,2026-07-19T20:40:15Z
102,28,13,46.3,standard,2026-07-19T20:40:15Z
102,28,14,46.3,standard,2026-07-19T20:40:15Z
102,28,15,46.3,standard,2026-07-19T20:40:15Z
102,28,16,46.3,standard,2026-07-19T20:40:15Z
