section,row,seat,price_usd,selection_type,scraped_at
100AW,1,10,18.1,standard,2026-07-22T18:42:12Z
100AW,1,15,18.1,standard,2026-07-22T18:42:12Z
100AW,1,24,18.1,standard,2026-07-22T18:42:12Z
100AW,1,27,18.1,standard,2026-07-22T18:42:12Z
100AW,1,28,18.1,standard,2026-07-22T18:42:12Z
100AW,1,42,18.1,standard,2026-07-22T18:42:12Z
100AW,1,7,18.1,standard,2026-07-22T18:42:12Z
100AW,1,16,18.1,standard,2026-07-22T18:42:12Z
100AW,1,17,18.1,standard,2026-07-22T18:42:12Z
100AW,1,18,18.1,standard,2026-07-22T18:42:12Z
100AW,1,20,18.1,standard,2026-07-22T18:42:12Z
100AW,1,21,18.1,standard,2026-07-22T18:42:12Z
100AW,1,25,18.1,standard,2026-07-22T18:42:12Z
100AW,1,26,18.1,standard,2026-07-22T18:42:12Z
100AW,1,29,18.1,standard,2026-07-22T18:42:12Z
100AW,1,30,18.1,standard,2026-07-22T18:42:12Z
100AW,1,33,18.1,standard,2026-07-22T18:42:12Z
100AW,1,4,18.1,standard,2026-07-22T18:42:12Z
100AW,1,43,18.1,standard,2026-07-22T18:42:12Z
100AW,1,44,18.1,standard,2026-07-22T18:42:12Z
100AW,1,8,18.1,standard,2026-07-22T18:42:12Z
100AW,1,9,18.1,standard,2026-07-22T18:42:12Z
100BW,1,53,18.1,standard,2026-07-22T18:42:12Z
100BW,1,58,18.1,standard,2026-07-22T18:42:12Z
100BW,1,59,18.1,standard,2026-07-22T18:42:12Z
100BW,1,62,18.1,standard,2026-07-22T18:42:12Z
100BW,1,63,18.1,standard,2026-07-22T18:42:12Z
100BW,1,66,18.1,standard,2026-07-22T18:42:12Z
100BW,1,67,18.1,standard,2026-07-22T18:42:12Z
100BW,1,70,18.1,standard,2026-07-22T18:42:12Z
100BW,1,71,18.1,standard,2026-07-22T18:42:12Z
100BW,1,73,18.1,standard,2026-07-22T18:42:12Z
100BW,1,57,18.1,standard,2026-07-22T18:42:12Z
100BW,1,60,18.1,standard,2026-07-22T18:42:12Z
100BW,1,61,18.1,standard,2026-07-22T18:42:12Z
100BW,1,64,18.1,standard,2026-07-22T18:42:12Z
100BW,1,65,18.1,standard,2026-07-22T18:42:12Z
100BW,1,68,18.1,standard,2026-07-22T18:42:12Z
100BW,1,69,18.1,standard,2026-07-22T18:42:12Z
100BW,1,72,18.1,standard,2026-07-22T18:42:12Z
101,27,13,33.05,standard,2026-07-22T18:42:12Z
101,27,14,33.05,standard,2026-07-22T18:42:12Z
101,27,15,33.05,standard,2026-07-22T18:42:12Z
101,27,16,33.05,standard,2026-07-22T18:42:12Z
101,27,17,33.05,standard,2026-07-22T18:42:12Z
101,27,18,33.05,standard,2026-07-22T18:42:12Z
101,27,19,33.05,standard,2026-07-22T18:42:12Z
101,27,20,33.05,standard,2026-07-22T18:42:12Z
101,27,21,33.05,standard,2026-07-22T18:42:12Z
101,27,22,33.05,standard,2026-07-22T18:42:12Z
101,23,10,33.05,standard,2026-07-22T18:42:12Z
101,23,11,33.05,standard,2026-07-22T18:42:12Z
101,23,12,33.05,standard,2026-07-22T18:42:12Z
101,23,15,33.05,standard,2026-07-22T18:42:12Z
101,23,16,33.05,standard,2026-07-22T18:42:12Z
101,23,5,33.05,standard,2026-07-22T18:42:12Z
101,23,6,33.05,standard,2026-07-22T18:42:12Z
101,23,7,33.05,standard,2026-07-22T18:42:12Z
101,23,8,33.05,standard,2026-07-22T18:42:12Z
101,23,9,33.05,standard,2026-07-22T18:42:12Z
101,24,10,33.05,standard,2026-07-22T18:42:12Z
101,24,11,33.05,standard,2026-07-22T18:42:12Z
101,24,12,33.05,standard,2026-07-22T18:42:12Z
101,24,13,33.05,standard,2026-07-22T18:42:12Z
101,24,14,33.05,standard,2026-07-22T18:42:12Z
101,24,21,33.05,standard,2026-07-22T18:42:12Z
101,24,22,33.05,standard,2026-07-22T18:42:12Z
101,24,7,33.05,standard,2026-07-22T18:42:12Z
101,24,8,33.05,standard,2026-07-22T18:42:12Z
101,24,9,33.05,standard,2026-07-22T18:42:12Z
101,25,10,33.05,standard,2026-07-22T18:42:12Z
101,25,11,33.05,standard,2026-07-22T18:42:12Z
101,25,12,33.05,standard,2026-07-22T18:42:12Z
101,25,13,33.05,standard,2026-07-22T18:42:12Z
101,25,14,33.05,standard,2026-07-22T18:42:12Z
101,25,15,33.05,standard,2026-07-22T18:42:12Z
101,25,16,33.05,standard,2026-07-22T18:42:12Z
101,25,17,33.05,standard,2026-07-22T18:42:12Z
101,25,18,33.05,standard,2026-07-22T18:42:12Z
101,25,19,33.05,standard,2026-07-22T18:42:12Z
101,25,20,33.05,standard,2026-07-22T18:42:12Z
