section,row,seat,price_usd,selection_type,scraped_at
39FD,R,7,,,2026-07-29T01:15:48Z
39FD,R,8,,,2026-07-29T01:15:48Z
39FD,R,1,,,2026-07-29T01:15:48Z
39FD,R,2,,,2026-07-29T01:15:48Z
39FD,R,3,,,2026-07-29T01:15:48Z
39FD,R,4,,,2026-07-29T01:15:48Z
39FD,L,5,,,2026-07-29T01:15:48Z
39FD,L,6,,,2026-07-29T01:15:48Z
39FD,L,7,,,2026-07-29T01:15:48Z
39FD,L,8,,,2026-07-29T01:15:48Z
37FD,L,3,,,2026-07-29T01:15:48Z
37FD,L,4,,,2026-07-29T01:15:48Z
37FD,H,7,,,2026-07-29T01:15:48Z
37FD,H,8,,,2026-07-29T01:15:48Z
37FD,S,5,,,2026-07-29T01:15:48Z
37FD,S,6,,,2026-07-29T01:15:48Z
37FD,S,7,,,2026-07-29T01:15:48Z
37FD,S,8,,,2026-07-29T01:15:48Z
308PR,J,5,,,2026-07-29T01:15:48Z
308PR,J,6,,,2026-07-29T01:15:48Z
308PR,J,7,,,2026-07-29T01:15:48Z
308PR,J,8,,,2026-07-29T01:15:48Z
308PR,J,9,,,2026-07-29T01:15:48Z
308PR,J,10,,,2026-07-29T01:15:48Z
308PR,J,11,,,2026-07-29T01:15:48Z
308PR,J,12,,,2026-07-29T01:15:48Z
149LG,T,3,,,2026-07-29T01:15:48Z
149LG,T,4,,,2026-07-29T01:15:48Z
149LG,C,1,,,2026-07-29T01:15:48Z
149LG,C,2,,,2026-07-29T01:15:48Z
31FD,N,5,,,2026-07-29T01:15:48Z
31FD,N,6,,,2026-07-29T01:15:48Z
31FD,N,7,,,2026-07-29T01:15:48Z
31FD,N,8,,,2026-07-29T01:15:48Z
31FD,M,5,,,2026-07-29T01:15:48Z
31FD,M,6,,,2026-07-29T01:15:48Z
3TD,H,3,,,2026-07-29T01:15:48Z
3TD,H,4,,,2026-07-29T01:15:48Z
3TD,H,5,,,2026-07-29T01:15:48Z
3TD,H,6,,,2026-07-29T01:15:48Z
3TD,H,7,,,2026-07-29T01:15:48Z
3TD,H,8,,,2026-07-29T01:15:48Z
3TD,H,9,,,2026-07-29T01:15:48Z
3TD,H,10,,,2026-07-29T01:15:48Z
3TD,J,14,,,2026-07-29T01:15:48Z
3TD,J,15,,,2026-07-29T01:15:48Z
3TD,J,16,,,2026-07-29T01:15:48Z
3TD,J,17,,,2026-07-29T01:15:48Z
3TD,B,9,,,2026-07-29T01:15:48Z
3TD,B,10,,,2026-07-29T01:15:48Z
3TD,B,11,,,2026-07-29T01:15:48Z
3TD,B,12,,,2026-07-29T01:15:48Z
137LG,O,5,,,2026-07-29T01:15:48Z
137LG,O,6,,,2026-07-29T01:15:48Z
137LG,N,5,,,2026-07-29T01:15:48Z
137LG,N,6,,,2026-07-29T01:15:48Z
137LG,P,1,,,2026-07-29T01:15:48Z
137LG,P,2,,,2026-07-29T01:15:48Z
137LG,B,5,,,2026-07-29T01:15:48Z
137LG,B,6,,,2026-07-29T01:15:48Z
112LG,P,3,,,2026-07-29T01:15:48Z
112LG,P,4,,,2026-07-29T01:15:48Z
112LG,S,5,,,2026-07-29T01:15:48Z
112LG,S,6,,,2026-07-29T01:15:48Z
128LG,R,5,,,2026-07-29T01:15:48Z
128LG,R,6,,,2026-07-29T01:15:48Z
128LG,H,7,,,2026-07-29T01:15:48Z
128LG,H,8,,,2026-07-29T01:15:48Z
128LG,P,5,,,2026-07-29T01:15:48Z
128LG,P,6,,,2026-07-29T01:15:48Z
4RS,D,13,,,2026-07-29T01:15:48Z
4RS,D,14,,,2026-07-29T01:15:48Z
4RS,H,18,,,2026-07-29T01:15:48Z
4RS,H,19,,,2026-07-29T01:15:48Z
4RS,P,18,,,2026-07-29T01:15:48Z
4RS,P,19,,,2026-07-29T01:15:48Z
4RS,C,11,,,2026-07-29T01:15:48Z
4RS,C,12,,,2026-07-29T01:15:48Z
9RS,E,3,,,2026-07-29T01:15:48Z
9RS,E,4,,,2026-07-29T01:15:48Z
9RS,E,5,,,2026-07-29T01:15:48Z
9RS,E,6,,,2026-07-29T01:15:48Z
9RS,E,7,,,2026-07-29T01:15:48Z
9RS,E,8,,,2026-07-29T01:15:48Z
9RS,C,11,,,2026-07-29T01:15:48Z
9RS,C,12,,,2026-07-29T01:15:48Z
9RS,B,7,,,2026-07-29T01:15:48Z
9RS,B,8,,,2026-07-29T01:15:48Z
9RS,B,9,,,2026-07-29T01:15:48Z
9RS,B,10,,,2026-07-29T01:15:48Z
9RS,B,11,,,2026-07-29T01:15:48Z
9RS,B,12,,,2026-07-29T01:15:48Z
9RS,K,11,,,2026-07-29T01:15:48Z
9RS,K,12,,,2026-07-29T01:15:48Z
9RS,K,13,,,2026-07-29T01:15:48Z
9RS,K,14,,,2026-07-29T01:15:48Z
9RS,K,15,,,2026-07-29T01:15:48Z
9RS,K,16,,,2026-07-29T01:15:48Z
9RS,O,7,,,2026-07-29T01:15:48Z
9RS,O,8,,,2026-07-29T01:15:48Z
9RS,O,9,,,2026-07-29T01:15:48Z
9RS,O,10,,,2026-07-29T01:15:48Z
9RS,O,11,,,2026-07-29T01:15:48Z
9RS,O,12,,,2026-07-29T01:15:48Z
9RS,O,13,,,2026-07-29T01:15:48Z
9RS,O,14,,,2026-07-29T01:15:48Z
9RS,U,11,,,2026-07-29T01:15:48Z
9RS,U,12,,,2026-07-29T01:15:48Z
9RS,U,13,,,2026-07-29T01:15:48Z
9RS,U,14,,,2026-07-29T01:15:48Z
9RS,U,15,,,2026-07-29T01:15:48Z
22FD,K,5,,,2026-07-29T01:15:48Z
22FD,K,6,,,2026-07-29T01:15:48Z
22FD,X,6,,,2026-07-29T01:15:48Z
22FD,X,7,,,2026-07-29T01:15:48Z
23RS,C,13,,,2026-07-29T01:15:48Z
23RS,C,14,,,2026-07-29T01:15:48Z
23RS,P,15,,,2026-07-29T01:15:48Z
23RS,P,16,,,2026-07-29T01:15:48Z
125LG,S,1,,,2026-07-29T01:15:48Z
125LG,S,2,,,2026-07-29T01:15:48Z
26FD,X,1,,,2026-07-29T01:15:48Z
26FD,X,2,,,2026-07-29T01:15:48Z
26FD,T,1,,,2026-07-29T01:15:48Z
26FD,T,2,,,2026-07-29T01:15:48Z
26FD,P,7,,,2026-07-29T01:15:48Z
26FD,P,8,,,2026-07-29T01:15:48Z
26FD,P,1,,,2026-07-29T01:15:48Z
26FD,P,2,,,2026-07-29T01:15:48Z
28FD,H,7,,,2026-07-29T01:15:48Z
28FD,H,8,,,2026-07-29T01:15:48Z
28FD,J,7,,,2026-07-29T01:15:48Z
28FD,J,8,,,2026-07-29T01:15:48Z
28FD,R,5,,,2026-07-29T01:15:48Z
28FD,R,6,,,2026-07-29T01:15:48Z
34FD,W,6,,,2026-07-29T01:15:48Z
34FD,W,7,,,2026-07-29T01:15:48Z
117LG,F,5,,,2026-07-29T01:15:48Z
117LG,F,6,,,2026-07-29T01:15:48Z
141LG,T,7,,,2026-07-29T01:15:48Z
141LG,T,8,,,2026-07-29T01:15:48Z
141LG,O,5,,,2026-07-29T01:15:48Z
141LG,O,6,,,2026-07-29T01:15:48Z
116LG,T,3,,,2026-07-29T01:15:48Z
116LG,T,4,,,2026-07-29T01:15:48Z
144LG,P,7,,,2026-07-29T01:15:48Z
144LG,P,8,,,2026-07-29T01:15:48Z
10TD,F,3,,,2026-07-29T01:15:48Z
10TD,F,4,,,2026-07-29T01:15:48Z
10TD,F,13,,,2026-07-29T01:15:48Z
10TD,F,14,,,2026-07-29T01:15:48Z
10TD,F,15,,,2026-07-29T01:15:48Z
10TD,F,16,,,2026-07-29T01:15:48Z
10TD,F,17,,,2026-07-29T01:15:48Z
10TD,C,11,,,2026-07-29T01:15:48Z
10TD,C,12,,,2026-07-29T01:15:48Z
10TD,C,10,,,2026-07-29T01:15:48Z
10TD,C,15,,,2026-07-29T01:15:48Z
10TD,C,16,,,2026-07-29T01:15:48Z
10TD,C,6,,,2026-07-29T01:15:48Z
10TD,C,7,,,2026-07-29T01:15:48Z
10TD,C,8,,,2026-07-29T01:15:48Z
10TD,C,9,,,2026-07-29T01:15:48Z
10TD,E,9,,,2026-07-29T01:15:48Z
10TD,E,10,,,2026-07-29T01:15:48Z
10TD,E,11,,,2026-07-29T01:15:48Z
10TD,E,12,,,2026-07-29T01:15:48Z
10TD,E,13,,,2026-07-29T01:15:48Z
10TD,E,14,,,2026-07-29T01:15:48Z
10TD,D,4,,,2026-07-29T01:15:48Z
10TD,D,5,,,2026-07-29T01:15:48Z
10TD,D,6,,,2026-07-29T01:15:48Z
10TD,D,7,,,2026-07-29T01:15:48Z
10TD,D,8,,,2026-07-29T01:15:48Z
10TD,D,9,,,2026-07-29T01:15:48Z
10TD,D,10,,,2026-07-29T01:15:48Z
10TD,D,11,,,2026-07-29T01:15:48Z
10TD,B,1,,,2026-07-29T01:15:48Z
10TD,B,2,,,2026-07-29T01:15:48Z
10TD,A,5,,,2026-07-29T01:15:48Z
10TD,A,6,,,2026-07-29T01:15:48Z
10TD,A,7,,,2026-07-29T01:15:48Z
10TD,A,8,,,2026-07-29T01:15:48Z
10TD,A,9,,,2026-07-29T01:15:48Z
10TD,A,10,,,2026-07-29T01:15:48Z
10TD,A,11,,,2026-07-29T01:15:48Z
10TD,A,12,,,2026-07-29T01:15:48Z
10TD,G,8,,,2026-07-29T01:15:48Z
10TD,G,9,,,2026-07-29T01:15:48Z
10TD,G,10,,,2026-07-29T01:15:48Z
10TD,G,11,,,2026-07-29T01:15:48Z
10TD,G,12,,,2026-07-29T01:15:48Z
10TD,G,13,,,2026-07-29T01:15:48Z
10TD,K,6,,,2026-07-29T01:15:48Z
10TD,K,7,,,2026-07-29T01:15:48Z
10TD,K,8,,,2026-07-29T01:15:48Z
10TD,K,9,,,2026-07-29T01:15:48Z
10TD,K,10,,,2026-07-29T01:15:48Z
13TD,H,8,,,2026-07-29T01:15:48Z
13TD,H,9,,,2026-07-29T01:15:48Z
13TD,B,15,,,2026-07-29T01:15:48Z
13TD,B,16,,,2026-07-29T01:15:48Z
13TD,A,14,,,2026-07-29T01:15:48Z
13TD,A,15,,,2026-07-29T01:15:48Z
13TD,C,6,,,2026-07-29T01:15:48Z
13TD,C,7,,,2026-07-29T01:15:48Z
13TD,C,8,,,2026-07-29T01:15:48Z
13TD,C,9,,,2026-07-29T01:15:48Z
13TD,C,10,,,2026-07-29T01:15:48Z
13TD,C,11,,,2026-07-29T01:15:48Z
13TD,D,5,,,2026-07-29T01:15:48Z
13TD,D,6,,,2026-07-29T01:15:48Z
13TD,D,7,,,2026-07-29T01:15:48Z
13TD,D,8,,,2026-07-29T01:15:48Z
13TD,D,9,,,2026-07-29T01:15:48Z
13TD,D,10,,,2026-07-29T01:15:48Z
13TD,D,11,,,2026-07-29T01:15:48Z
