section,row,seat,price_usd,selection_type,scraped_at
553,P,11,,,2026-07-18T22:17:40Z
553,P,12,,,2026-07-18T22:17:40Z
553,P,13,,,2026-07-18T22:17:40Z
553,P,14,,,2026-07-18T22:17:40Z
553,P,15,,,2026-07-18T22:17:40Z
553,P,16,,,2026-07-18T22:17:40Z
553,P,17,,,2026-07-18T22:17:40Z
553,P,18,,,2026-07-18T22:17:40Z
553,P,1,,,2026-07-18T22:17:40Z
553,P,2,,,2026-07-18T22:17:40Z
553,N,19,,,2026-07-18T22:17:40Z
553,N,10,,,2026-07-18T22:17:40Z
553,N,11,,,2026-07-18T22:17:40Z
553,N,12,,,2026-07-18T22:17:40Z
553,N,13,,,2026-07-18T22:17:40Z
553,N,14,,,2026-07-18T22:17:40Z
553,N,15,,,2026-07-18T22:17:40Z
553,N,16,,,2026-07-18T22:17:40Z
553,N,20,,,2026-07-18T22:17:40Z
553,N,21,,,2026-07-18T22:17:40Z
553,N,22,,,2026-07-18T22:17:40Z
553,N,9,,,2026-07-18T22:17:40Z
553,J,17,,,2026-07-18T22:17:40Z
553,J,18,,,2026-07-18T22:17:40Z
553,T,5,,,2026-07-18T22:17:40Z
553,T,6,,,2026-07-18T22:17:40Z
553,T,7,,,2026-07-18T22:17:40Z
553,T,8,,,2026-07-18T22:17:40Z
553,T,9,,,2026-07-18T22:17:40Z
553,T,10,,,2026-07-18T22:17:40Z
553,T,11,,,2026-07-18T22:17:40Z
553,T,12,,,2026-07-18T22:17:40Z
553,K,8,,,2026-07-18T22:17:40Z
553,K,9,,,2026-07-18T22:17:40Z
553,K,10,,,2026-07-18T22:17:40Z
553,K,11,,,2026-07-18T22:17:40Z
553,K,12,,,2026-07-18T22:17:40Z
553,K,13,,,2026-07-18T22:17:40Z
553,K,14,,,2026-07-18T22:17:40Z
553,K,15,,,2026-07-18T22:17:40Z
553,L,1,,,2026-07-18T22:17:40Z
553,L,2,,,2026-07-18T22:17:40Z
553,L,3,,,2026-07-18T22:17:40Z
553,L,4,,,2026-07-18T22:17:40Z
553,L,5,,,2026-07-18T22:17:40Z
175,N,10,,,2026-07-18T22:17:40Z
175,N,11,,,2026-07-18T22:17:40Z
175,P,13,,,2026-07-18T22:17:40Z
175,P,14,,,2026-07-18T22:17:40Z
175,P,8,,,2026-07-18T22:17:40Z
175,P,9,,,2026-07-18T22:17:40Z
525,K,1,,,2026-07-18T22:17:40Z
525,K,10,,,2026-07-18T22:17:40Z
525,K,11,,,2026-07-18T22:17:40Z
525,K,12,,,2026-07-18T22:17:40Z
525,K,13,,,2026-07-18T22:17:40Z
525,K,2,,,2026-07-18T22:17:40Z
525,K,3,,,2026-07-18T22:17:40Z
525,K,4,,,2026-07-18T22:17:40Z
525,K,5,,,2026-07-18T22:17:40Z
525,K,6,,,2026-07-18T22:17:40Z
525,K,7,,,2026-07-18T22:17:40Z
525,K,8,,,2026-07-18T22:17:40Z
525,K,9,,,2026-07-18T22:17:40Z
525,D,6,,,2026-07-18T22:17:40Z
525,D,7,,,2026-07-18T22:17:40Z
525,D,8,,,2026-07-18T22:17:40Z
525,D,9,,,2026-07-18T22:17:40Z
525,D,10,,,2026-07-18T22:17:40Z
525,D,11,,,2026-07-18T22:17:40Z
525,D,12,,,2026-07-18T22:17:40Z
525,D,13,,,2026-07-18T22:17:40Z
525,D,17,,,2026-07-18T22:17:40Z
525,D,18,,,2026-07-18T22:17:40Z
525,D,19,,,2026-07-18T22:17:40Z
525,D,20,,,2026-07-18T22:17:40Z
171,B,7,,,2026-07-18T22:17:40Z
171,B,8,,,2026-07-18T22:17:40Z
129,G,1,,,2026-07-18T22:17:40Z
129,G,2,,,2026-07-18T22:17:40Z
129,G,3,,,2026-07-18T22:17:40Z
129,G,4,,,2026-07-18T22:17:40Z
129,G,5,,,2026-07-18T22:17:40Z
129,G,6,,,2026-07-18T22:17:40Z
129,G,7,,,2026-07-18T22:17:40Z
129,G,8,,,2026-07-18T22:17:40Z
129,F,1,,,2026-07-18T22:17:40Z
129,F,2,,,2026-07-18T22:17:40Z
129,F,3,,,2026-07-18T22:17:40Z
129,F,4,,,2026-07-18T22:17:40Z
129,F,5,,,2026-07-18T22:17:40Z
129,F,6,,,2026-07-18T22:17:40Z
129,F,7,,,2026-07-18T22:17:40Z
129,F,8,,,2026-07-18T22:17:40Z
129,E,9,,,2026-07-18T22:17:40Z
129,E,10,,,2026-07-18T22:17:40Z
128,B,7,,,2026-07-18T22:17:40Z
128,B,8,,,2026-07-18T22:17:40Z
128,A,1,,,2026-07-18T22:17:40Z
128,A,2,,,2026-07-18T22:17:40Z
128,A,3,,,2026-07-18T22:17:40Z
128,A,4,,,2026-07-18T22:17:40Z
128,A,5,,,2026-07-18T22:17:40Z
128,A,6,,,2026-07-18T22:17:40Z
128,D,6,,,2026-07-18T22:17:40Z
128,D,7,,,2026-07-18T22:17:40Z
128,L,1,,,2026-07-18T22:17:40Z
128,L,2,,,2026-07-18T22:17:40Z
128,L,3,,,2026-07-18T22:17:40Z
128,L,4,,,2026-07-18T22:17:40Z
128,L,5,,,2026-07-18T22:17:40Z
128,L,6,,,2026-07-18T22:17:40Z
128,L,7,,,2026-07-18T22:17:40Z
128,L,8,,,2026-07-18T22:17:40Z
128,M,9,,,2026-07-18T22:17:40Z
128,M,10,,,2026-07-18T22:17:40Z
128,F,5,,,2026-07-18T22:17:40Z
128,F,4,,,2026-07-18T22:17:40Z
128,F,6,,,2026-07-18T22:17:40Z
128,F,7,,,2026-07-18T22:17:40Z
128,F,8,,,2026-07-18T22:17:40Z
128,F,1,,,2026-07-18T22:17:40Z
128,F,2,,,2026-07-18T22:17:40Z
128,F,3,,,2026-07-18T22:17:40Z
128,G,6,,,2026-07-18T22:17:40Z
128,G,7,,,2026-07-18T22:17:40Z
128,G,8,,,2026-07-18T22:17:40Z
128,G,9,,,2026-07-18T22:17:40Z
128,G,10,,,2026-07-18T22:17:40Z
174,K,3,,,2026-07-18T22:17:40Z
174,K,4,,,2026-07-18T22:17:40Z
174,K,5,,,2026-07-18T22:17:40Z
174,K,6,,,2026-07-18T22:17:40Z
174,B,6,,,2026-07-18T22:17:40Z
174,B,7,,,2026-07-18T22:17:40Z
174,C,5,,,2026-07-18T22:17:40Z
174,C,6,,,2026-07-18T22:17:40Z
174,D,3,,,2026-07-18T22:17:40Z
174,D,4,,,2026-07-18T22:17:40Z
174,D,5,,,2026-07-18T22:17:40Z
174,D,6,,,2026-07-18T22:17:40Z
174,J,4,,,2026-07-18T22:17:40Z
174,J,5,,,2026-07-18T22:17:40Z
174,J,6,,,2026-07-18T22:17:40Z
174,J,7,,,2026-07-18T22:17:40Z
174,J,8,,,2026-07-18T22:17:40Z
554,N,5,,,2026-07-18T22:17:40Z
554,N,6,,,2026-07-18T22:17:40Z
554,M,13,,,2026-07-18T22:17:40Z
554,M,14,,,2026-07-18T22:17:40Z
554,M,15,,,2026-07-18T22:17:40Z
554,M,16,,,2026-07-18T22:17:40Z
554,P,9,,,2026-07-18T22:17:40Z
554,P,8,,,2026-07-18T22:17:40Z
554,P,10,,,2026-07-18T22:17:40Z
554,P,18,,,2026-07-18T22:17:40Z
554,P,19,,,2026-07-18T22:17:40Z
554,P,4,,,2026-07-18T22:17:40Z
554,P,5,,,2026-07-18T22:17:40Z
554,P,6,,,2026-07-18T22:17:40Z
554,P,7,,,2026-07-18T22:17:40Z
554,P,20,,,2026-07-18T22:17:40Z
554,P,21,,,2026-07-18T22:17:40Z
554,P,22,,,2026-07-18T22:17:40Z
554,U,11,,,2026-07-18T22:17:40Z
554,U,12,,,2026-07-18T22:17:40Z
554,U,13,,,2026-07-18T22:17:40Z
554,U,14,,,2026-07-18T22:17:40Z
178,J,16,,,2026-07-18T22:17:40Z
178,J,17,,,2026-07-18T22:17:40Z
178,N,16,,,2026-07-18T22:17:40Z
178,N,17,,,2026-07-18T22:17:40Z
178,N,18,,,2026-07-18T22:17:40Z
178,N,19,,,2026-07-18T22:17:40Z
533,R,10,,,2026-07-18T22:17:40Z
533,R,11,,,2026-07-18T22:17:40Z
533,R,12,,,2026-07-18T22:17:40Z
533,R,13,,,2026-07-18T22:17:40Z
533,R,14,,,2026-07-18T22:17:40Z
533,R,15,,,2026-07-18T22:17:40Z
533,K,12,,,2026-07-18T22:17:40Z
533,K,13,,,2026-07-18T22:17:40Z
533,K,14,,,2026-07-18T22:17:40Z
533,K,15,,,2026-07-18T22:17:40Z
533,K,16,,,2026-07-18T22:17:40Z
533,K,17,,,2026-07-18T22:17:40Z
533,K,18,,,2026-07-18T22:17:40Z
533,K,19,,,2026-07-18T22:17:40Z
556,H,9,,,2026-07-18T22:17:40Z
556,H,10,,,2026-07-18T22:17:40Z
556,H,11,,,2026-07-18T22:17:40Z
556,H,12,,,2026-07-18T22:17:40Z
556,H,13,,,2026-07-18T22:17:40Z
556,H,14,,,2026-07-18T22:17:40Z
556,P,19,,,2026-07-18T22:17:40Z
556,P,10,,,2026-07-18T22:17:40Z
556,P,11,,,2026-07-18T22:17:40Z
556,P,20,,,2026-07-18T22:17:40Z
556,P,21,,,2026-07-18T22:17:40Z
556,P,22,,,2026-07-18T22:17:40Z
556,P,6,,,2026-07-18T22:17:40Z
556,P,7,,,2026-07-18T22:17:40Z
556,P,8,,,2026-07-18T22:17:40Z
556,P,9,,,2026-07-18T22:17:40Z
556,N,19,,,2026-07-18T22:17:40Z
556,N,20,,,2026-07-18T22:17:40Z
556,N,3,,,2026-07-18T22:17:40Z
556,N,4,,,2026-07-18T22:17:40Z
556,R,8,,,2026-07-18T22:17:40Z
556,R,9,,,2026-07-18T22:17:40Z
556,R,10,,,2026-07-18T22:17:40Z
