section,row,seat,price_usd,selection_type,scraped_at
102,24,5,91.05,standard,2026-07-19T00:09:23Z
103,36,6,91.05,standard,2026-07-19T00:09:23Z
103,36,7,91.05,standard,2026-07-19T00:09:23Z
103,36,8,91.05,standard,2026-07-19T00:09:23Z
103,38,10,91.05,standard,2026-07-19T00:09:23Z
103,38,13,91.05,standard,2026-07-19T00:09:23Z
103,38,14,91.05,standard,2026-07-19T00:09:23Z
103,38,9,91.05,standard,2026-07-19T00:09:23Z
105,34,4,93.0,standard,2026-07-19T00:09:23Z
105,34,5,93.0,standard,2026-07-19T00:09:23Z
105,34,6,93.0,standard,2026-07-19T00:09:23Z
106,25,3,93.0,standard,2026-07-19T00:09:23Z
106,40,11,93.0,standard,2026-07-19T00:09:23Z
106,41A,3,93.0,standard,2026-07-19T00:09:23Z
107,39,15,93.0,standard,2026-07-19T00:09:23Z
111,36,14,96.05,standard,2026-07-19T00:09:23Z
116,1,14,165.59,standard,2026-07-19T00:09:23Z
118,2,4,165.59,standard,2026-07-19T00:09:23Z
118,2,3,165.59,standard,2026-07-19T00:09:23Z
118,3,9,165.59,standard,2026-07-19T00:09:23Z
118,3,10,165.59,standard,2026-07-19T00:09:23Z
119,37,10,130.82,standard,2026-07-19T00:09:23Z
119,37,9,130.82,standard,2026-07-19T00:09:23Z
119,34,6,130.82,standard,2026-07-19T00:09:23Z
119,34,7,130.82,standard,2026-07-19T00:09:23Z
119,40,17,130.82,standard,2026-07-19T00:09:23Z
119,40,18,130.82,standard,2026-07-19T00:09:23Z
120,4,8,194.2,standard,2026-07-19T00:09:23Z
120,4,9,194.2,standard,2026-07-19T00:09:23Z
121,10,7,194.2,standard,2026-07-19T00:09:23Z
121,10,8,194.2,standard,2026-07-19T00:09:23Z
132,31,9,146.15,standard,2026-07-19T00:09:23Z
134,19,5,146.15,standard,2026-07-19T00:09:23Z
134,19,6,146.15,standard,2026-07-19T00:09:23Z
134,26,7,146.15,standard,2026-07-19T00:09:23Z
134,26,8,146.15,standard,2026-07-19T00:09:23Z
135,41A,1,130.82,standard,2026-07-19T00:09:23Z
136,28,5,146.15,standard,2026-07-19T00:09:23Z
136,28,6,146.15,standard,2026-07-19T00:09:23Z
137,17,10,158.43,standard,2026-07-19T00:09:23Z
137,17,9,158.43,standard,2026-07-19T00:09:23Z
138,11,10,146.15,standard,2026-07-19T00:09:23Z
138,11,9,146.15,standard,2026-07-19T00:09:23Z
138,6,4,146.15,standard,2026-07-19T00:09:23Z
138,6,3,146.15,standard,2026-07-19T00:09:23Z
138,24,10,146.15,standard,2026-07-19T00:09:23Z
138,24,9,146.15,standard,2026-07-19T00:09:23Z
