section,row,seat,price_usd,selection_type,scraped_at
102,30,3,79.67,standard,2026-07-19T19:12:32Z
102,30,4,79.67,standard,2026-07-19T19:12:32Z
102,31,1,79.67,standard,2026-07-19T19:12:32Z
102,31,2,79.67,standard,2026-07-19T19:12:32Z
102,35,1,79.67,standard,2026-07-19T19:12:32Z
102,35,2,79.67,standard,2026-07-19T19:12:32Z
102,35,3,79.67,standard,2026-07-19T19:12:32Z
102,35,4,79.67,standard,2026-07-19T19:12:32Z
102,35,5,79.67,standard,2026-07-19T19:12:32Z
102,35,6,79.67,standard,2026-07-19T19:12:32Z
102,35,7,79.67,standard,2026-07-19T19:12:32Z
102,35,8,79.67,standard,2026-07-19T19:12:32Z
102,36,1,79.67,standard,2026-07-19T19:12:32Z
102,36,2,79.67,standard,2026-07-19T19:12:32Z
102,36,3,79.67,standard,2026-07-19T19:12:32Z
102,36,4,79.67,standard,2026-07-19T19:12:32Z
102,36,5,79.67,standard,2026-07-19T19:12:32Z
102,36,6,79.67,standard,2026-07-19T19:12:32Z
102,36,7,79.67,standard,2026-07-19T19:12:32Z
102,36,8,79.67,standard,2026-07-19T19:12:32Z
102,37,1,79.67,standard,2026-07-19T19:12:32Z
102,37,2,79.67,standard,2026-07-19T19:12:32Z
102,38,1,79.67,standard,2026-07-19T19:12:32Z
102,38,2,79.67,standard,2026-07-19T19:12:32Z
103,32,5,79.67,standard,2026-07-19T19:12:32Z
103,32,6,79.67,standard,2026-07-19T19:12:32Z
103,32,7,79.67,standard,2026-07-19T19:12:32Z
103,32,17,79.67,standard,2026-07-19T19:12:32Z
103,33,3,79.67,standard,2026-07-19T19:12:32Z
103,33,4,79.67,standard,2026-07-19T19:12:32Z
103,33,5,79.67,standard,2026-07-19T19:12:32Z
103,33,6,79.67,standard,2026-07-19T19:12:32Z
103,33,7,79.67,standard,2026-07-19T19:12:32Z
103,33,8,79.67,standard,2026-07-19T19:12:32Z
103,33,9,79.67,standard,2026-07-19T19:12:32Z
103,33,10,79.67,standard,2026-07-19T19:12:32Z
103,33,11,79.67,standard,2026-07-19T19:12:32Z
103,33,12,79.67,standard,2026-07-19T19:12:32Z
103,33,13,79.67,standard,2026-07-19T19:12:32Z
103,33,14,79.67,standard,2026-07-19T19:12:32Z
103,33,15,79.67,standard,2026-07-19T19:12:32Z
103,33,16,79.67,standard,2026-07-19T19:12:32Z
103,34,4,79.67,standard,2026-07-19T19:12:32Z
103,34,5,79.67,standard,2026-07-19T19:12:32Z
103,34,6,79.67,standard,2026-07-19T19:12:32Z
103,34,7,79.67,standard,2026-07-19T19:12:32Z
103,34,8,79.67,standard,2026-07-19T19:12:32Z
103,34,9,79.67,standard,2026-07-19T19:12:32Z
103,34,10,79.67,standard,2026-07-19T19:12:32Z
103,34,11,79.67,standard,2026-07-19T19:12:32Z
103,34,12,79.67,standard,2026-07-19T19:12:32Z
103,34,13,79.67,standard,2026-07-19T19:12:32Z
103,34,14,79.67,standard,2026-07-19T19:12:32Z
103,34,15,79.67,standard,2026-07-19T19:12:32Z
103,35,2,79.67,standard,2026-07-19T19:12:32Z
103,35,3,79.67,standard,2026-07-19T19:12:32Z
103,35,4,79.67,standard,2026-07-19T19:12:32Z
103,35,5,79.67,standard,2026-07-19T19:12:32Z
103,35,6,79.67,standard,2026-07-19T19:12:32Z
103,35,7,79.67,standard,2026-07-19T19:12:32Z
103,35,8,79.67,standard,2026-07-19T19:12:32Z
103,35,9,79.67,standard,2026-07-19T19:12:32Z
103,35,10,79.67,standard,2026-07-19T19:12:32Z
103,35,11,79.67,standard,2026-07-19T19:12:32Z
103,35,12,79.67,standard,2026-07-19T19:12:32Z
103,35,13,79.67,standard,2026-07-19T19:12:32Z
103,35,14,79.67,standard,2026-07-19T19:12:32Z
103,35,15,79.67,standard,2026-07-19T19:12:32Z
103,35,16,79.67,standard,2026-07-19T19:12:32Z
103,35,17,79.67,standard,2026-07-19T19:12:32Z
103,36,2,79.67,standard,2026-07-19T19:12:32Z
103,36,3,79.67,standard,2026-07-19T19:12:32Z
103,36,4,79.67,standard,2026-07-19T19:12:32Z
103,36,5,79.67,standard,2026-07-19T19:12:32Z
103,36,6,79.67,standard,2026-07-19T19:12:32Z
103,36,7,79.67,standard,2026-07-19T19:12:32Z
103,36,8,79.67,standard,2026-07-19T19:12:32Z
103,36,9,79.67,standard,2026-07-19T19:12:32Z
103,36,10,79.67,standard,2026-07-19T19:12:32Z
103,36,11,79.67,standard,2026-07-19T19:12:32Z
103,36,12,79.67,standard,2026-07-19T19:12:32Z
103,36,13,79.67,standard,2026-07-19T19:12:32Z
103,36,14,79.67,standard,2026-07-19T19:12:32Z
103,36,15,79.67,standard,2026-07-19T19:12:32Z
103,37,3,79.67,standard,2026-07-19T19:12:32Z
103,37,4,79.67,standard,2026-07-19T19:12:32Z
103,37,5,79.67,standard,2026-07-19T19:12:32Z
103,37,6,79.67,standard,2026-07-19T19:12:32Z
103,37,7,79.67,standard,2026-07-19T19:12:32Z
103,37,8,79.67,standard,2026-07-19T19:12:32Z
103,37,9,79.67,standard,2026-07-19T19:12:32Z
103,37,10,79.67,standard,2026-07-19T19:12:32Z
103,37,11,79.67,standard,2026-07-19T19:12:32Z
103,37,12,79.67,standard,2026-07-19T19:12:32Z
103,37,13,79.67,standard,2026-07-19T19:12:32Z
103,37,14,79.67,standard,2026-07-19T19:12:32Z
103,37,15,79.67,standard,2026-07-19T19:12:32Z
103,37,16,79.67,standard,2026-07-19T19:12:32Z
103,37,17,79.67,standard,2026-07-19T19:12:32Z
103,37,18,79.67,standard,2026-07-19T19:12:32Z
103,38,4,79.67,standard,2026-07-19T19:12:32Z
103,38,5,79.67,standard,2026-07-19T19:12:32Z
103,38,6,79.67,standard,2026-07-19T19:12:32Z
103,38,7,79.67,standard,2026-07-19T19:12:32Z
103,38,8,79.67,standard,2026-07-19T19:12:32Z
103,38,9,79.67,standard,2026-07-19T19:12:32Z
103,38,10,79.67,standard,2026-07-19T19:12:32Z
103,38,11,79.67,standard,2026-07-19T19:12:32Z
103,38,12,79.67,standard,2026-07-19T19:12:32Z
103,38,13,79.67,standard,2026-07-19T19:12:32Z
103,38,14,79.67,standard,2026-07-19T19:12:32Z
103,38,15,79.67,standard,2026-07-19T19:12:32Z
103,38,16,79.67,standard,2026-07-19T19:12:32Z
104,23,8,79.67,standard,2026-07-19T19:12:32Z
104,32,3,79.67,standard,2026-07-19T19:12:32Z
104,32,4,79.67,standard,2026-07-19T19:12:32Z
104,32,5,79.67,standard,2026-07-19T19:12:32Z
104,32,6,79.67,standard,2026-07-19T19:12:32Z
104,33,1,79.67,standard,2026-07-19T19:12:32Z
104,33,2,79.67,standard,2026-07-19T19:12:32Z
104,33,3,79.67,standard,2026-07-19T19:12:32Z
104,34,1,79.67,standard,2026-07-19T19:12:32Z
104,34,2,79.67,standard,2026-07-19T19:12:32Z
