section,row,seat,price_usd,selection_type,scraped_at
212,B,7,,,2026-07-10T21:46:38Z
212,B,8,,,2026-07-10T21:46:38Z
212,B,9,,,2026-07-10T21:46:38Z
212,B,10,,,2026-07-10T21:46:38Z
212,J,12,,,2026-07-10T21:46:38Z
212,J,13,,,2026-07-10T21:46:38Z
212,J,14,,,2026-07-10T21:46:38Z
212,J,15,,,2026-07-10T21:46:38Z
212,E,9,,,2026-07-10T21:46:38Z
212,E,10,,,2026-07-10T21:46:38Z
212,E,11,,,2026-07-10T21:46:38Z
212,E,12,,,2026-07-10T21:46:38Z
212,H,11,,,2026-07-10T21:46:38Z
212,H,12,,,2026-07-10T21:46:38Z
128,F,7,,,2026-07-10T21:46:38Z
128,F,8,,,2026-07-10T21:46:38Z
128,M,5,,,2026-07-10T21:46:38Z
128,M,6,,,2026-07-10T21:46:38Z
128,MM,10,,,2026-07-10T21:46:38Z
128,MM,11,,,2026-07-10T21:46:38Z
128,MM,12,,,2026-07-10T21:46:38Z
128,MM,13,,,2026-07-10T21:46:38Z
128,J,11,,,2026-07-10T21:46:38Z
128,J,12,,,2026-07-10T21:46:38Z
128,JJ,3,,,2026-07-10T21:46:38Z
128,JJ,4,,,2026-07-10T21:46:38Z
128,JJ,5,,,2026-07-10T21:46:38Z
128,JJ,6,,,2026-07-10T21:46:38Z
129,V,7,,,2026-07-10T21:46:38Z
129,V,8,,,2026-07-10T21:46:38Z
129,DD,3,,,2026-07-10T21:46:38Z
129,DD,4,,,2026-07-10T21:46:38Z
129,W,3,,,2026-07-10T21:46:38Z
129,W,4,,,2026-07-10T21:46:38Z
129,R,3,,,2026-07-10T21:46:38Z
129,R,4,,,2026-07-10T21:46:38Z
129,J,11,,,2026-07-10T21:46:38Z
129,J,12,,,2026-07-10T21:46:38Z
129,JJ,12,,,2026-07-10T21:46:38Z
129,JJ,13,,,2026-07-10T21:46:38Z
129,JJ,14,,,2026-07-10T21:46:38Z
129,JJ,15,,,2026-07-10T21:46:38Z
129,HH,3,,,2026-07-10T21:46:38Z
129,HH,4,,,2026-07-10T21:46:38Z
129,HH,5,,,2026-07-10T21:46:38Z
129,HH,6,,,2026-07-10T21:46:38Z
129,EE,5,,,2026-07-10T21:46:38Z
129,EE,6,,,2026-07-10T21:46:38Z
DC123,K,5,,,2026-07-10T21:46:38Z
DC123,K,6,,,2026-07-10T21:46:38Z
110,FF,3,,,2026-07-10T21:46:38Z
110,FF,4,,,2026-07-10T21:46:38Z
110,FF,5,,,2026-07-10T21:46:38Z
110,FF,6,,,2026-07-10T21:46:38Z
110,FF,7,,,2026-07-10T21:46:38Z
110,FF,8,,,2026-07-10T21:46:38Z
110,FF,9,,,2026-07-10T21:46:38Z
110,FF,10,,,2026-07-10T21:46:38Z
110,T,5,,,2026-07-10T21:46:38Z
110,T,6,,,2026-07-10T21:46:38Z
110,T,7,,,2026-07-10T21:46:38Z
110,T,8,,,2026-07-10T21:46:38Z
110,KK,7,,,2026-07-10T21:46:38Z
110,KK,8,,,2026-07-10T21:46:38Z
110,KK,9,,,2026-07-10T21:46:38Z
110,KK,10,,,2026-07-10T21:46:38Z
110,KK,11,,,2026-07-10T21:46:38Z
110,KK,12,,,2026-07-10T21:46:38Z
110,KK,13,,,2026-07-10T21:46:38Z
110,KK,14,,,2026-07-10T21:46:38Z
