section,row,seat,price_usd,selection_type,scraped_at
128,H,13,,,2026-07-25T20:40:54Z
128,H,14,,,2026-07-25T20:40:54Z
128,JJ,11,,,2026-07-25T20:40:54Z
128,JJ,12,,,2026-07-25T20:40:54Z
128,BB,7,,,2026-07-25T20:40:54Z
128,BB,8,,,2026-07-25T20:40:54Z
128,FF,5,,,2026-07-25T20:40:54Z
128,FF,6,,,2026-07-25T20:40:54Z
128,PP,7,,,2026-07-25T20:40:54Z
128,PP,8,,,2026-07-25T20:40:54Z
DC125,G,5,,,2026-07-25T20:40:54Z
DC125,G,6,,,2026-07-25T20:40:54Z
110,A,5,,,2026-07-25T20:40:54Z
110,A,6,,,2026-07-25T20:40:54Z
110,AA,7,,,2026-07-25T20:40:54Z
110,AA,8,,,2026-07-25T20:40:54Z
110,E,9,,,2026-07-25T20:40:54Z
110,E,10,,,2026-07-25T20:40:54Z
110,E,11,,,2026-07-25T20:40:54Z
110,E,12,,,2026-07-25T20:40:54Z
110,EE,6,,,2026-07-25T20:40:54Z
110,EE,7,,,2026-07-25T20:40:54Z
110,EE,8,,,2026-07-25T20:40:54Z
110,EE,9,,,2026-07-25T20:40:54Z
110,C,1,,,2026-07-25T20:40:54Z
110,C,2,,,2026-07-25T20:40:54Z
110,U,1,,,2026-07-25T20:40:54Z
110,U,2,,,2026-07-25T20:40:54Z
110,J,7,,,2026-07-25T20:40:54Z
110,J,8,,,2026-07-25T20:40:54Z
110,J,9,,,2026-07-25T20:40:54Z
110,J,10,,,2026-07-25T20:40:54Z
227,A,3,,,2026-07-25T20:40:54Z
227,A,4,,,2026-07-25T20:40:54Z
227,B,5,,,2026-07-25T20:40:54Z
227,B,6,,,2026-07-25T20:40:54Z
115,D,11,,,2026-07-25T20:40:54Z
115,D,12,,,2026-07-25T20:40:54Z
115,U,9,,,2026-07-25T20:40:54Z
115,U,10,,,2026-07-25T20:40:54Z
115,N,15,,,2026-07-25T20:40:54Z
115,N,16,,,2026-07-25T20:40:54Z
115,H,5,,,2026-07-25T20:40:54Z
115,H,6,,,2026-07-25T20:40:54Z
115,H,7,,,2026-07-25T20:40:54Z
115,H,8,,,2026-07-25T20:40:54Z
115,J,11,,,2026-07-25T20:40:54Z
115,J,12,,,2026-07-25T20:40:54Z
115,CC,11,,,2026-07-25T20:40:54Z
115,CC,12,,,2026-07-25T20:40:54Z
115,Z,3,,,2026-07-25T20:40:54Z
115,Z,4,,,2026-07-25T20:40:54Z
A,G,4,,,2026-07-25T20:40:54Z
A,G,5,,,2026-07-25T20:40:54Z
220,A,8,,,2026-07-25T20:40:54Z
220,A,9,,,2026-07-25T20:40:54Z
220,C,17,,,2026-07-25T20:40:54Z
220,C,18,,,2026-07-25T20:40:54Z
220,B,7,,,2026-07-25T20:40:54Z
220,B,8,,,2026-07-25T20:40:54Z
117,E,9,,,2026-07-25T20:40:54Z
117,E,10,,,2026-07-25T20:40:54Z
117,L,9,,,2026-07-25T20:40:54Z
117,L,10,,,2026-07-25T20:40:54Z
117,KK,5,,,2026-07-25T20:40:54Z
117,KK,6,,,2026-07-25T20:40:54Z
117,NN,7,,,2026-07-25T20:40:54Z
117,NN,8,,,2026-07-25T20:40:54Z
131,E,6,,,2026-07-25T20:40:54Z
131,E,7,,,2026-07-25T20:40:54Z
131,BB,5,,,2026-07-25T20:40:54Z
131,BB,6,,,2026-07-25T20:40:54Z
131,Z,2,,,2026-07-25T20:40:54Z
131,Z,3,,,2026-07-25T20:40:54Z
131,Z,4,,,2026-07-25T20:40:54Z
131,Z,5,,,2026-07-25T20:40:54Z
131,T,4,,,2026-07-25T20:40:54Z
131,T,5,,,2026-07-25T20:40:54Z
131,G,6,,,2026-07-25T20:40:54Z
131,G,7,,,2026-07-25T20:40:54Z
131,K,9,,,2026-07-25T20:40:54Z
131,K,10,,,2026-07-25T20:40:54Z
240,A,5,,,2026-07-25T20:40:54Z
240,A,6,,,2026-07-25T20:40:54Z
240,B,11,,,2026-07-25T20:40:54Z
240,B,12,,,2026-07-25T20:40:54Z
229,G,13,,,2026-07-25T20:40:54Z
229,G,14,,,2026-07-25T20:40:54Z
DC122,P,5,,,2026-07-25T20:40:54Z
DC122,P,6,,,2026-07-25T20:40:54Z
203,B,17,,,2026-07-25T20:40:54Z
203,B,18,,,2026-07-25T20:40:54Z
203,K,21,,,2026-07-25T20:40:54Z
203,K,22,,,2026-07-25T20:40:54Z
203,K,23,,,2026-07-25T20:40:54Z
203,K,24,,,2026-07-25T20:40:54Z
203,P,15,,,2026-07-25T20:40:54Z
203,P,16,,,2026-07-25T20:40:54Z
203,P,17,,,2026-07-25T20:40:54Z
203,P,18,,,2026-07-25T20:40:54Z
203,P,19,,,2026-07-25T20:40:54Z
134,Y,13,,,2026-07-25T20:40:54Z
134,Y,14,,,2026-07-25T20:40:54Z
134,Y,15,,,2026-07-25T20:40:54Z
134,Y,16,,,2026-07-25T20:40:54Z
134,Y,17,,,2026-07-25T20:40:54Z
134,Y,18,,,2026-07-25T20:40:54Z
134,W,9,,,2026-07-25T20:40:54Z
134,W,10,,,2026-07-25T20:40:54Z
134,Z,17,,,2026-07-25T20:40:54Z
134,Z,18,,,2026-07-25T20:40:54Z
134,H,1,,,2026-07-25T20:40:54Z
134,H,2,,,2026-07-25T20:40:54Z
134,H,3,,,2026-07-25T20:40:54Z
134,H,4,,,2026-07-25T20:40:54Z
134,H,5,,,2026-07-25T20:40:54Z
134,H,6,,,2026-07-25T20:40:54Z
134,S,1,,,2026-07-25T20:40:54Z
134,S,2,,,2026-07-25T20:40:54Z
134,S,3,,,2026-07-25T20:40:54Z
134,S,4,,,2026-07-25T20:40:54Z
134,S,5,,,2026-07-25T20:40:54Z
134,S,6,,,2026-07-25T20:40:54Z
134,M,1,,,2026-07-25T20:40:54Z
134,M,2,,,2026-07-25T20:40:54Z
134,M,3,,,2026-07-25T20:40:54Z
134,M,4,,,2026-07-25T20:40:54Z
134,M,5,,,2026-07-25T20:40:54Z
219,A,12,,,2026-07-25T20:40:54Z
219,A,13,,,2026-07-25T20:40:54Z
219,C,11,,,2026-07-25T20:40:54Z
219,C,12,,,2026-07-25T20:40:54Z
219,C,13,,,2026-07-25T20:40:54Z
219,C,14,,,2026-07-25T20:40:54Z
211,D,7,,,2026-07-25T20:40:54Z
211,D,8,,,2026-07-25T20:40:54Z
202,D,9,,,2026-07-25T20:40:54Z
202,D,10,,,2026-07-25T20:40:54Z
202,D,11,,,2026-07-25T20:40:54Z
202,D,12,,,2026-07-25T20:40:54Z
202,D,13,,,2026-07-25T20:40:54Z
202,D,14,,,2026-07-25T20:40:54Z
202,D,15,,,2026-07-25T20:40:54Z
