section,row,seat,price_usd,selection_type,scraped_at
206,3,9,,,2026-07-25T22:09:31Z
206,3,10,,,2026-07-25T22:09:31Z
222,8,7,,,2026-07-25T22:09:31Z
222,8,8,,,2026-07-25T22:09:31Z
308,4,11,,,2026-07-25T22:09:31Z
308,4,12,,,2026-07-25T22:09:31Z
36,8,1,,,2026-07-25T22:09:31Z
36,8,2,,,2026-07-25T22:09:31Z
376,3,6,,,2026-07-25T22:09:31Z
376,3,7,,,2026-07-25T22:09:31Z
376,3,8,,,2026-07-25T22:09:31Z
376,3,9,,,2026-07-25T22:09:31Z
376,4,3,,,2026-07-25T22:09:31Z
376,4,4,,,2026-07-25T22:09:31Z
380,4,9,,,2026-07-25T22:09:31Z
380,4,10,,,2026-07-25T22:09:31Z
380,4,11,,,2026-07-25T22:09:31Z
380,4,12,,,2026-07-25T22:09:31Z
380,20,3,,,2026-07-25T22:09:31Z
380,20,4,,,2026-07-25T22:09:31Z
380,20,5,,,2026-07-25T22:09:31Z
380,20,6,,,2026-07-25T22:09:31Z
382,2,5,,,2026-07-25T22:09:31Z
382,2,6,,,2026-07-25T22:09:31Z
382,20,1,,,2026-07-25T22:09:31Z
382,20,2,,,2026-07-25T22:09:31Z
384,5,8,,,2026-07-25T22:09:31Z
384,5,9,,,2026-07-25T22:09:31Z
386,5,8,,,2026-07-25T22:09:31Z
386,5,9,,,2026-07-25T22:09:31Z
386,5,10,,,2026-07-25T22:09:31Z
386,5,11,,,2026-07-25T22:09:31Z
386,5,12,,,2026-07-25T22:09:31Z
386,5,13,,,2026-07-25T22:09:31Z
386,5,14,,,2026-07-25T22:09:31Z
386,5,15,,,2026-07-25T22:09:31Z
388,3,17,,,2026-07-25T22:09:31Z
388,3,18,,,2026-07-25T22:09:31Z
48,2,5,,,2026-07-25T22:09:31Z
48,2,6,,,2026-07-25T22:09:31Z
54,7,9,,,2026-07-25T22:09:31Z
54,7,10,,,2026-07-25T22:09:31Z
84,9,14,,,2026-07-25T22:09:31Z
84,9,15,,,2026-07-25T22:09:31Z
86,9,7,,,2026-07-25T22:09:31Z
86,9,8,,,2026-07-25T22:09:31Z
