section,row,seat,price_usd,selection_type,scraped_at
53,1,8,,,2026-07-25T22:09:31Z
53,1,9,,,2026-07-25T22:09:31Z
246,7,10,,,2026-07-25T22:09:31Z
246,7,11,,,2026-07-25T22:09:31Z
246,9,13,,,2026-07-25T22:09:31Z
246,9,14,,,2026-07-25T22:09:31Z
48,2,5,,,2026-07-25T22:09:31Z
48,2,6,,,2026-07-25T22:09:31Z
36,8,1,,,2026-07-25T22:09:31Z
36,8,2,,,2026-07-25T22:09:31Z
206,3,9,,,2026-07-25T22:09:31Z
206,3,10,,,2026-07-25T22:09:31Z
380,3,8,,,2026-07-25T22:09:31Z
380,3,9,,,2026-07-25T22:09:31Z
380,4,9,,,2026-07-25T22:09:31Z
380,4,10,,,2026-07-25T22:09:31Z
380,4,11,,,2026-07-25T22:09:31Z
380,4,12,,,2026-07-25T22:09:31Z
380,15,9,,,2026-07-25T22:09:31Z
380,15,10,,,2026-07-25T22:09:31Z
380,15,11,,,2026-07-25T22:09:31Z
380,15,12,,,2026-07-25T22:09:31Z
380,20,3,,,2026-07-25T22:09:31Z
380,20,4,,,2026-07-25T22:09:31Z
380,20,5,,,2026-07-25T22:09:31Z
380,20,6,,,2026-07-25T22:09:31Z
380,20,7,,,2026-07-25T22:09:31Z
380,20,8,,,2026-07-25T22:09:31Z
380,20,9,,,2026-07-25T22:09:31Z
380,20,10,,,2026-07-25T22:09:31Z
382,2,5,,,2026-07-25T22:09:31Z
382,2,6,,,2026-07-25T22:09:31Z
382,20,1,,,2026-07-25T22:09:31Z
382,20,2,,,2026-07-25T22:09:31Z
382,20,3,,,2026-07-25T22:09:31Z
382,20,4,,,2026-07-25T22:09:31Z
382,20,5,,,2026-07-25T22:09:31Z
382,20,6,,,2026-07-25T22:09:31Z
382,20,7,,,2026-07-25T22:09:31Z
382,20,8,,,2026-07-25T22:09:31Z
382,4,5,,,2026-07-25T22:09:31Z
382,4,6,,,2026-07-25T22:09:31Z
382,4,7,,,2026-07-25T22:09:31Z
382,4,8,,,2026-07-25T22:09:31Z
382,4,9,,,2026-07-25T22:09:31Z
382,8,4,,,2026-07-25T22:09:31Z
382,8,5,,,2026-07-25T22:09:31Z
382,8,6,,,2026-07-25T22:09:31Z
382,8,7,,,2026-07-25T22:09:31Z
382,8,8,,,2026-07-25T22:09:31Z
308,17,15,,,2026-07-25T22:09:31Z
308,17,16,,,2026-07-25T22:09:31Z
