section,row,seat,price_usd,selection_type,scraped_at
104,20,7,,,2026-07-07T02:20:47Z
104,20,8,,,2026-07-07T02:20:47Z
112,14,15,,,2026-07-07T02:20:47Z
112,14,16,,,2026-07-07T02:20:47Z
112,16,5,,,2026-07-07T02:20:47Z
112,16,6,,,2026-07-07T02:20:47Z
112,6,17,,,2026-07-07T02:20:47Z
112,6,18,,,2026-07-07T02:20:47Z
112,34,5,,,2026-07-07T02:20:47Z
112,34,6,,,2026-07-07T02:20:47Z
112,31,5,,,2026-07-07T02:20:47Z
112,31,6,,,2026-07-07T02:20:47Z
203,4,17,,,2026-07-07T02:20:47Z
203,4,18,,,2026-07-07T02:20:47Z
214,2,13,,,2026-07-07T02:20:47Z
214,2,14,,,2026-07-07T02:20:47Z
214,9,5,,,2026-07-07T02:20:47Z
214,9,6,,,2026-07-07T02:20:47Z
214,12,19,,,2026-07-07T02:20:47Z
214,12,20,,,2026-07-07T02:20:47Z
128,6,8,,,2026-07-07T02:20:47Z
128,6,9,,,2026-07-07T02:20:47Z
128,3,10,,,2026-07-07T02:20:47Z
128,3,11,,,2026-07-07T02:20:47Z
309,2,3,,,2026-07-07T02:20:47Z
309,2,4,,,2026-07-07T02:20:47Z
309,3,9,,,2026-07-07T02:20:47Z
309,3,10,,,2026-07-07T02:20:47Z
308,3,7,,,2026-07-07T02:20:47Z
308,3,8,,,2026-07-07T02:20:47Z
308,2,1,,,2026-07-07T02:20:47Z
308,2,2,,,2026-07-07T02:20:47Z
211,4,3,,,2026-07-07T02:20:47Z
211,4,4,,,2026-07-07T02:20:47Z
211,12,7,,,2026-07-07T02:20:47Z
211,12,8,,,2026-07-07T02:20:47Z
211,7,3,,,2026-07-07T02:20:47Z
211,7,4,,,2026-07-07T02:20:47Z
122,9,7,,,2026-07-07T02:20:47Z
122,9,8,,,2026-07-07T02:20:47Z
122,11,3,,,2026-07-07T02:20:47Z
122,11,4,,,2026-07-07T02:20:47Z
122,17,7,,,2026-07-07T02:20:47Z
122,17,8,,,2026-07-07T02:20:47Z
122,31,7,,,2026-07-07T02:20:47Z
122,31,8,,,2026-07-07T02:20:47Z
113,19,10,,,2026-07-07T02:20:47Z
113,19,11,,,2026-07-07T02:20:47Z
113,17,10,,,2026-07-07T02:20:47Z
113,17,11,,,2026-07-07T02:20:47Z
113,13,5,,,2026-07-07T02:20:47Z
113,13,6,,,2026-07-07T02:20:47Z
228,6,3,,,2026-07-07T02:20:47Z
228,6,4,,,2026-07-07T02:20:47Z
110,18,12,,,2026-07-07T02:20:47Z
110,18,13,,,2026-07-07T02:20:47Z
110,16,10,,,2026-07-07T02:20:47Z
110,16,11,,,2026-07-07T02:20:47Z
126,4,3,,,2026-07-07T02:20:47Z
126,4,4,,,2026-07-07T02:20:47Z
126,8,10,,,2026-07-07T02:20:47Z
126,8,11,,,2026-07-07T02:20:47Z
125,21,11,,,2026-07-07T02:20:47Z
125,21,12,,,2026-07-07T02:20:47Z
109,30,12,,,2026-07-07T02:20:47Z
109,30,13,,,2026-07-07T02:20:47Z
127,22,10,,,2026-07-07T02:20:47Z
127,22,11,,,2026-07-07T02:20:47Z
118,28,11,,,2026-07-07T02:20:47Z
