section,row,seat,price_usd,selection_type,scraped_at
109,20,5,,,2026-07-08T00:55:36Z
109,20,6,,,2026-07-08T00:55:36Z
109,17,14,,,2026-07-08T00:55:36Z
109,17,15,,,2026-07-08T00:55:36Z
109,30,10,,,2026-07-08T00:55:36Z
109,30,11,,,2026-07-08T00:55:36Z
PCJ,11,5,,,2026-07-08T00:55:36Z
PCJ,11,6,,,2026-07-08T00:55:36Z
214,2,13,,,2026-07-08T00:55:36Z
214,2,14,,,2026-07-08T00:55:36Z
214,13,5,,,2026-07-08T00:55:36Z
214,13,6,,,2026-07-08T00:55:36Z
214,8,15,,,2026-07-08T00:55:36Z
214,8,16,,,2026-07-08T00:55:36Z
214,3,3,,,2026-07-08T00:55:36Z
214,3,4,,,2026-07-08T00:55:36Z
205,9,5,,,2026-07-08T00:55:36Z
205,9,6,,,2026-07-08T00:55:36Z
125,25,3,,,2026-07-08T00:55:36Z
125,25,4,,,2026-07-08T00:55:36Z
125,35,11,,,2026-07-08T00:55:36Z
125,35,12,,,2026-07-08T00:55:36Z
124,21,3,,,2026-07-08T00:55:36Z
124,21,4,,,2026-07-08T00:55:36Z
124,25,1,,,2026-07-08T00:55:36Z
124,25,2,,,2026-07-08T00:55:36Z
208,2,11,,,2026-07-08T00:55:36Z
208,2,12,,,2026-07-08T00:55:36Z
208,9,11,,,2026-07-08T00:55:36Z
208,9,12,,,2026-07-08T00:55:36Z
208,3,16,,,2026-07-08T00:55:36Z
208,3,17,,,2026-07-08T00:55:36Z
208,7,1,,,2026-07-08T00:55:36Z
208,7,2,,,2026-07-08T00:55:36Z
110,17,7,,,2026-07-08T00:55:36Z
110,17,8,,,2026-07-08T00:55:36Z
110,15,7,,,2026-07-08T00:55:36Z
110,15,8,,,2026-07-08T00:55:36Z
110,13,4,,,2026-07-08T00:55:36Z
110,13,5,,,2026-07-08T00:55:36Z
207,5,16,,,2026-07-08T00:55:36Z
207,5,17,,,2026-07-08T00:55:36Z
PCG,17,7,,,2026-07-08T00:55:36Z
PCG,17,8,,,2026-07-08T00:55:36Z
215,4,15,,,2026-07-08T00:55:36Z
215,4,16,,,2026-07-08T00:55:36Z
215,7,4,,,2026-07-08T00:55:36Z
215,7,5,,,2026-07-08T00:55:36Z
217,1,7,,,2026-07-08T00:55:36Z
217,1,8,,,2026-07-08T00:55:36Z
113,12,10,,,2026-07-08T00:55:36Z
113,12,11,,,2026-07-08T00:55:36Z
134,9,5,,,2026-07-08T00:55:36Z
134,9,6,,,2026-07-08T00:55:36Z
132,7,23,,,2026-07-08T00:55:36Z
132,7,24,,,2026-07-08T00:55:36Z
206,5,5,,,2026-07-08T00:55:36Z
206,5,6,,,2026-07-08T00:55:36Z
219,1,9,,,2026-07-08T00:55:36Z
219,1,10,,,2026-07-08T00:55:36Z
216,3,9,,,2026-07-08T00:55:36Z
216,3,10,,,2026-07-08T00:55:36Z
216,4,7,,,2026-07-08T00:55:36Z
216,4,8,,,2026-07-08T00:55:36Z
120,19,3,,,2026-07-08T00:55:36Z
120,19,4,,,2026-07-08T00:55:36Z
120,33,14,,,2026-07-08T00:55:36Z
120,33,15,,,2026-07-08T00:55:36Z
116,6,3,,,2026-07-08T00:55:36Z
116,6,4,,,2026-07-08T00:55:36Z
116,4,5,,,2026-07-08T00:55:36Z
