section,row,seat,price_usd,selection_type,scraped_at
PCJ,11,5,,,2026-07-09T01:16:12Z
PCJ,11,6,,,2026-07-09T01:16:12Z
205,9,5,,,2026-07-09T01:16:12Z
205,9,6,,,2026-07-09T01:16:12Z
114,9,13,,,2026-07-09T01:16:12Z
114,9,14,,,2026-07-09T01:16:12Z
206,7,7,,,2026-07-09T01:16:12Z
206,7,8,,,2026-07-09T01:16:12Z
213,2,7,,,2026-07-09T01:16:12Z
213,2,8,,,2026-07-09T01:16:12Z
213,3,5,,,2026-07-09T01:16:12Z
213,3,6,,,2026-07-09T01:16:12Z
208,7,11,,,2026-07-09T01:16:12Z
208,7,12,,,2026-07-09T01:16:12Z
208,3,6,,,2026-07-09T01:16:12Z
208,3,7,,,2026-07-09T01:16:12Z
208,4,1,,,2026-07-09T01:16:12Z
208,4,2,,,2026-07-09T01:16:12Z
116,7,13,,,2026-07-09T01:16:12Z
116,7,14,,,2026-07-09T01:16:12Z
116,9,5,,,2026-07-09T01:16:12Z
116,9,6,,,2026-07-09T01:16:12Z
207,5,16,,,2026-07-09T01:16:12Z
207,5,17,,,2026-07-09T01:16:12Z
112,32,8,,,2026-07-09T01:16:12Z
112,32,9,,,2026-07-09T01:16:12Z
108,17,13,,,2026-07-09T01:16:12Z
108,17,14,,,2026-07-09T01:16:12Z
