section,row,seat,price_usd,selection_type,scraped_at
PCJ,11,5,,,2026-07-29T02:20:16Z
PCJ,11,6,,,2026-07-29T02:20:16Z
PCJ,10,4,,,2026-07-29T02:20:16Z
PCJ,10,5,,,2026-07-29T02:20:16Z
PCE,11,3,,,2026-07-29T02:20:16Z
PCE,11,4,,,2026-07-29T02:20:16Z
108,19,21,,,2026-07-29T02:20:16Z
108,19,22,,,2026-07-29T02:20:16Z
108,15,15,,,2026-07-29T02:20:16Z
108,15,16,,,2026-07-29T02:20:16Z
111,27,5,,,2026-07-29T02:20:16Z
111,27,6,,,2026-07-29T02:20:16Z
113,29,11,,,2026-07-29T02:20:16Z
113,29,12,,,2026-07-29T02:20:16Z
113,11,9,,,2026-07-29T02:20:16Z
113,11,10,,,2026-07-29T02:20:16Z
113,33,1,,,2026-07-29T02:20:16Z
113,33,2,,,2026-07-29T02:20:16Z
207,5,16,,,2026-07-29T02:20:16Z
207,5,17,,,2026-07-29T02:20:16Z
207,3,15,,,2026-07-29T02:20:16Z
207,3,16,,,2026-07-29T02:20:16Z
208,3,20,,,2026-07-29T02:20:16Z
208,3,21,,,2026-07-29T02:20:16Z
208,6,9,,,2026-07-29T02:20:16Z
208,6,10,,,2026-07-29T02:20:16Z
116,4,5,,,2026-07-29T02:20:16Z
116,4,6,,,2026-07-29T02:20:16Z
116,5,17,,,2026-07-29T02:20:16Z
116,5,18,,,2026-07-29T02:20:16Z
116,7,1,,,2026-07-29T02:20:16Z
116,7,2,,,2026-07-29T02:20:16Z
206,4,3,,,2026-07-29T02:20:16Z
206,4,4,,,2026-07-29T02:20:16Z
206,5,5,,,2026-07-29T02:20:16Z
206,5,6,,,2026-07-29T02:20:16Z
112,16,5,,,2026-07-29T02:20:16Z
112,16,6,,,2026-07-29T02:20:16Z
214,2,13,,,2026-07-29T02:20:16Z
214,2,14,,,2026-07-29T02:20:16Z
