section,row,seat,price_usd,selection_type,scraped_at
214,C,7,,,2026-07-10T21:49:45Z
214,C,8,,,2026-07-10T21:49:45Z
214,E,3,,,2026-07-10T21:49:45Z
214,E,4,,,2026-07-10T21:49:45Z
214,E,5,,,2026-07-10T21:49:45Z
214,E,6,,,2026-07-10T21:49:45Z
214,E,7,,,2026-07-10T21:49:45Z
214,E,8,,,2026-07-10T21:49:45Z
214,G,5,,,2026-07-10T21:49:45Z
214,G,6,,,2026-07-10T21:49:45Z
214,G,7,,,2026-07-10T21:49:45Z
214,G,8,,,2026-07-10T21:49:45Z
214,G,9,,,2026-07-10T21:49:45Z
105,G,7,,,2026-07-10T21:49:45Z
105,G,8,,,2026-07-10T21:49:45Z
105,N,3,,,2026-07-10T21:49:45Z
105,N,4,,,2026-07-10T21:49:45Z
105,N,5,,,2026-07-10T21:49:45Z
105,N,6,,,2026-07-10T21:49:45Z
105,N,7,,,2026-07-10T21:49:45Z
105,N,8,,,2026-07-10T21:49:45Z
105,N,9,,,2026-07-10T21:49:45Z
105,N,10,,,2026-07-10T21:49:45Z
105,V,1,,,2026-07-10T21:49:45Z
105,V,2,,,2026-07-10T21:49:45Z
32,J,1,,,2026-07-10T21:49:45Z
32,J,2,,,2026-07-10T21:49:45Z
32,K,1,,,2026-07-10T21:49:45Z
32,K,2,,,2026-07-10T21:49:45Z
32,K,3,,,2026-07-10T21:49:45Z
32,K,4,,,2026-07-10T21:49:45Z
32,L,5,,,2026-07-10T21:49:45Z
32,L,6,,,2026-07-10T21:49:45Z
32,L,1,,,2026-07-10T21:49:45Z
32,L,2,,,2026-07-10T21:49:45Z
32,L,3,,,2026-07-10T21:49:45Z
32,L,4,,,2026-07-10T21:49:45Z
313,J,5,,,2026-07-10T21:49:45Z
313,J,6,,,2026-07-10T21:49:45Z
313,J,7,,,2026-07-10T21:49:45Z
313,J,8,,,2026-07-10T21:49:45Z
313,J,9,,,2026-07-10T21:49:45Z
313,J,10,,,2026-07-10T21:49:45Z
313,L,3,,,2026-07-10T21:49:45Z
313,L,4,,,2026-07-10T21:49:45Z
313,L,5,,,2026-07-10T21:49:45Z
313,L,6,,,2026-07-10T21:49:45Z
