section,row,seat,price_usd,selection_type,scraped_at
212,K,10,,,2026-07-11T19:06:55Z
212,K,11,,,2026-07-11T19:06:55Z
212,K,12,,,2026-07-11T19:06:55Z
212,K,13,,,2026-07-11T19:06:55Z
212,B,7,,,2026-07-11T19:06:55Z
212,B,8,,,2026-07-11T19:06:55Z
212,B,9,,,2026-07-11T19:06:55Z
212,B,10,,,2026-07-11T19:06:55Z
212,B,11,,,2026-07-11T19:06:55Z
212,B,12,,,2026-07-11T19:06:55Z
212,A,12,,,2026-07-11T19:06:55Z
212,A,13,,,2026-07-11T19:06:55Z
211,C,8,,,2026-07-11T19:06:55Z
211,C,9,,,2026-07-11T19:06:55Z
211,C,10,,,2026-07-11T19:06:55Z
211,C,11,,,2026-07-11T19:06:55Z
211,C,12,,,2026-07-11T19:06:55Z
211,K,12,,,2026-07-11T19:06:55Z
211,K,13,,,2026-07-11T19:06:55Z
211,K,10,,,2026-07-11T19:06:55Z
211,K,11,,,2026-07-11T19:06:55Z
211,K,4,,,2026-07-11T19:06:55Z
211,K,5,,,2026-07-11T19:06:55Z
211,K,6,,,2026-07-11T19:06:55Z
211,K,7,,,2026-07-11T19:06:55Z
211,K,8,,,2026-07-11T19:06:55Z
211,K,9,,,2026-07-11T19:06:55Z
211,B,5,,,2026-07-11T19:06:55Z
211,B,6,,,2026-07-11T19:06:55Z
211,B,7,,,2026-07-11T19:06:55Z
211,B,8,,,2026-07-11T19:06:55Z
211,B,9,,,2026-07-11T19:06:55Z
211,B,10,,,2026-07-11T19:06:55Z
211,G,1,,,2026-07-11T19:06:55Z
211,G,2,,,2026-07-11T19:06:55Z
211,G,3,,,2026-07-11T19:06:55Z
211,G,4,,,2026-07-11T19:06:55Z
211,G,5,,,2026-07-11T19:06:55Z
211,G,6,,,2026-07-11T19:06:55Z
211,A,7,,,2026-07-11T19:06:55Z
211,A,8,,,2026-07-11T19:06:55Z
214,G,11,,,2026-07-11T19:06:55Z
214,G,12,,,2026-07-11T19:06:55Z
214,C,7,,,2026-07-11T19:06:55Z
214,C,8,,,2026-07-11T19:06:55Z
210,H,1,,,2026-07-11T19:06:55Z
210,H,2,,,2026-07-11T19:06:55Z
210,H,3,,,2026-07-11T19:06:55Z
210,H,4,,,2026-07-11T19:06:55Z
210,E,8,,,2026-07-11T19:06:55Z
210,E,9,,,2026-07-11T19:06:55Z
213,C,7,,,2026-07-11T19:06:55Z
213,C,8,,,2026-07-11T19:06:55Z
213,C,9,,,2026-07-11T19:06:55Z
213,C,10,,,2026-07-11T19:06:55Z
213,H,3,,,2026-07-11T19:06:55Z
213,H,4,,,2026-07-11T19:06:55Z
213,H,5,,,2026-07-11T19:06:55Z
213,H,6,,,2026-07-11T19:06:55Z
213,H,7,,,2026-07-11T19:06:55Z
213,H,8,,,2026-07-11T19:06:55Z
16,K,5,,,2026-07-11T19:06:55Z
16,K,6,,,2026-07-11T19:06:55Z
16,K,7,,,2026-07-11T19:06:55Z
16,K,8,,,2026-07-11T19:06:55Z
219,C,13,,,2026-07-11T19:06:55Z
219,C,14,,,2026-07-11T19:06:55Z
219,C,15,,,2026-07-11T19:06:55Z
219,C,16,,,2026-07-11T19:06:55Z
219,E,3,,,2026-07-11T19:06:55Z
219,E,4,,,2026-07-11T19:06:55Z
219,E,5,,,2026-07-11T19:06:55Z
