section,row,seat,price_usd,selection_type,scraped_at
214,C,7,,,2026-07-27T21:49:36Z
214,C,8,,,2026-07-27T21:49:36Z
214,E,3,,,2026-07-27T21:49:36Z
214,E,4,,,2026-07-27T21:49:36Z
214,E,5,,,2026-07-27T21:49:36Z
214,E,6,,,2026-07-27T21:49:36Z
214,E,7,,,2026-07-27T21:49:36Z
214,E,8,,,2026-07-27T21:49:36Z
214,G,10,,,2026-07-27T21:49:36Z
214,G,11,,,2026-07-27T21:49:36Z
214,G,12,,,2026-07-27T21:49:36Z
214,G,13,,,2026-07-27T21:49:36Z
214,G,14,,,2026-07-27T21:49:36Z
131,G,13,,,2026-07-27T21:49:36Z
131,G,14,,,2026-07-27T21:49:36Z
131,G,15,,,2026-07-27T21:49:36Z
131,G,16,,,2026-07-27T21:49:36Z
131,Y,3,,,2026-07-27T21:49:36Z
131,Y,4,,,2026-07-27T21:49:36Z
131,Y,5,,,2026-07-27T21:49:36Z
131,Y,6,,,2026-07-27T21:49:36Z
131,Y,7,,,2026-07-27T21:49:36Z
131,Y,8,,,2026-07-27T21:49:36Z
131,Y,9,,,2026-07-27T21:49:36Z
131,Y,10,,,2026-07-27T21:49:36Z
131,E,23,,,2026-07-27T21:49:36Z
131,E,24,,,2026-07-27T21:49:36Z
131,P,1,,,2026-07-27T21:49:36Z
131,P,2,,,2026-07-27T21:49:36Z
131,P,3,,,2026-07-27T21:49:36Z
131,P,4,,,2026-07-27T21:49:36Z
131,P,5,,,2026-07-27T21:49:36Z
131,W,1,,,2026-07-27T21:49:36Z
131,W,2,,,2026-07-27T21:49:36Z
131,W,3,,,2026-07-27T21:49:36Z
131,W,4,,,2026-07-27T21:49:36Z
131,H,15,,,2026-07-27T21:49:36Z
131,H,16,,,2026-07-27T21:49:36Z
131,H,17,,,2026-07-27T21:49:36Z
131,H,18,,,2026-07-27T21:49:36Z
131,H,19,,,2026-07-27T21:49:36Z
131,H,20,,,2026-07-27T21:49:36Z
131,U,3,,,2026-07-27T21:49:36Z
131,U,4,,,2026-07-27T21:49:36Z
131,U,5,,,2026-07-27T21:49:36Z
131,U,6,,,2026-07-27T21:49:36Z
131,U,7,,,2026-07-27T21:49:36Z
131,U,8,,,2026-07-27T21:49:36Z
131,U,9,,,2026-07-27T21:49:36Z
131,U,10,,,2026-07-27T21:49:36Z
227,A,12,,,2026-07-27T21:49:36Z
227,A,13,,,2026-07-27T21:49:36Z
227,B,2,,,2026-07-27T21:49:36Z
227,B,3,,,2026-07-27T21:49:36Z
227,B,4,,,2026-07-27T21:49:36Z
227,B,5,,,2026-07-27T21:49:36Z
227,B,6,,,2026-07-27T21:49:36Z
