section,row,seat,price_usd,selection_type,scraped_at
121,E,1,,,2026-07-07T23:24:40Z
121,E,2,,,2026-07-07T23:24:40Z
121,E,3,,,2026-07-07T23:24:40Z
121,E,4,,,2026-07-07T23:24:40Z
121,C,1,,,2026-07-07T23:24:40Z
121,C,2,,,2026-07-07T23:24:40Z
121,JJ,1,,,2026-07-07T23:24:40Z
121,JJ,2,,,2026-07-07T23:24:40Z
112,N,5,,,2026-07-07T23:24:40Z
112,N,6,,,2026-07-07T23:24:40Z
128,JJ,11,,,2026-07-07T23:24:40Z
128,JJ,12,,,2026-07-07T23:24:40Z
128,JJ,13,,,2026-07-07T23:24:40Z
128,JJ,14,,,2026-07-07T23:24:40Z
118,P,1,,,2026-07-07T23:24:40Z
118,P,2,,,2026-07-07T23:24:40Z
118,P,3,,,2026-07-07T23:24:40Z
118,P,4,,,2026-07-07T23:24:40Z
118,L,3,,,2026-07-07T23:24:40Z
118,L,4,,,2026-07-07T23:24:40Z
120,R,9,,,2026-07-07T23:24:40Z
120,R,10,,,2026-07-07T23:24:40Z
120,G,5,,,2026-07-07T23:24:40Z
120,G,6,,,2026-07-07T23:24:40Z
120,F,3,,,2026-07-07T23:24:40Z
120,F,4,,,2026-07-07T23:24:40Z
120,U,1,,,2026-07-07T23:24:40Z
120,U,2,,,2026-07-07T23:24:40Z
120,U,3,,,2026-07-07T23:24:40Z
120,U,4,,,2026-07-07T23:24:40Z
120,N,5,,,2026-07-07T23:24:40Z
120,N,6,,,2026-07-07T23:24:40Z
122,W,5,,,2026-07-07T23:24:40Z
122,W,6,,,2026-07-07T23:24:40Z
122,S,5,,,2026-07-07T23:24:40Z
122,S,6,,,2026-07-07T23:24:40Z
122,EE,3,,,2026-07-07T23:24:40Z
122,EE,4,,,2026-07-07T23:24:40Z
137,U,3,,,2026-07-07T23:24:40Z
137,U,4,,,2026-07-07T23:24:40Z
212,C,13,,,2026-07-07T23:24:40Z
212,C,14,,,2026-07-07T23:24:40Z
213,B,5,,,2026-07-07T23:24:40Z
213,B,6,,,2026-07-07T23:24:40Z
213,D,19,,,2026-07-07T23:24:40Z
213,D,20,,,2026-07-07T23:24:40Z
213,D,21,,,2026-07-07T23:24:40Z
213,D,22,,,2026-07-07T23:24:40Z
123,TT,7,,,2026-07-07T23:24:40Z
123,TT,8,,,2026-07-07T23:24:40Z
123,EE,1,,,2026-07-07T23:24:40Z
123,EE,2,,,2026-07-07T23:24:40Z
130,JJ,17,,,2026-07-07T23:24:40Z
130,JJ,18,,,2026-07-07T23:24:40Z
130,UU,19,,,2026-07-07T23:24:40Z
130,UU,20,,,2026-07-07T23:24:40Z
130,BB,5,,,2026-07-07T23:24:40Z
130,BB,6,,,2026-07-07T23:24:40Z
216,B,3,,,2026-07-07T23:24:40Z
216,B,4,,,2026-07-07T23:24:40Z
216,F,5,,,2026-07-07T23:24:40Z
216,F,6,,,2026-07-07T23:24:40Z
140,Z,9,,,2026-07-07T23:24:40Z
140,Z,10,,,2026-07-07T23:24:40Z
214,B,13,,,2026-07-07T23:24:40Z
214,B,14,,,2026-07-07T23:24:40Z
214,E,13,,,2026-07-07T23:24:40Z
214,E,14,,,2026-07-07T23:24:40Z
214,E,15,,,2026-07-07T23:24:40Z
214,E,16,,,2026-07-07T23:24:40Z
