section,row,seat,price_usd,selection_type,scraped_at
402,B,11,,,2026-07-04T22:17:07Z
402,B,12,,,2026-07-04T22:17:07Z
402,B,13,,,2026-07-04T22:17:07Z
402,B,14,,,2026-07-04T22:17:07Z
402,B,15,,,2026-07-04T22:17:07Z
402,B,16,,,2026-07-04T22:17:07Z
402,B,17,,,2026-07-04T22:17:07Z
402,B,18,,,2026-07-04T22:17:07Z
402,B,21,,,2026-07-04T22:17:07Z
402,B,22,,,2026-07-04T22:17:07Z
402,B,23,,,2026-07-04T22:17:07Z
402,B,24,,,2026-07-04T22:17:07Z
402,C,11,,,2026-07-04T22:17:07Z
402,C,12,,,2026-07-04T22:17:07Z
402,C,13,,,2026-07-04T22:17:07Z
402,C,14,,,2026-07-04T22:17:07Z
402,C,15,,,2026-07-04T22:17:07Z
402,C,16,,,2026-07-04T22:17:07Z
402,A,20,,,2026-07-04T22:17:07Z
402,A,21,,,2026-07-04T22:17:07Z
402,A,7,,,2026-07-04T22:17:07Z
402,A,8,,,2026-07-04T22:17:07Z
402,M,9,,,2026-07-04T22:17:07Z
402,M,10,,,2026-07-04T22:17:07Z
402,M,11,,,2026-07-04T22:17:07Z
402,M,12,,,2026-07-04T22:17:07Z
402,M,13,,,2026-07-04T22:17:07Z
402,M,14,,,2026-07-04T22:17:07Z
402,M,15,,,2026-07-04T22:17:07Z
402,O,15,,,2026-07-04T22:17:07Z
402,O,16,,,2026-07-04T22:17:07Z
402,O,17,,,2026-07-04T22:17:07Z
402,O,18,,,2026-07-04T22:17:07Z
402,O,19,,,2026-07-04T22:17:07Z
402,O,20,,,2026-07-04T22:17:07Z
402,T,11,,,2026-07-04T22:17:07Z
402,T,12,,,2026-07-04T22:17:07Z
402,T,13,,,2026-07-04T22:17:07Z
402,T,14,,,2026-07-04T22:17:07Z
402,T,15,,,2026-07-04T22:17:07Z
402,T,16,,,2026-07-04T22:17:07Z
402,T,17,,,2026-07-04T22:17:07Z
402,T,18,,,2026-07-04T22:17:07Z
528,M,11,,,2026-07-04T22:17:07Z
528,M,12,,,2026-07-04T22:17:07Z
528,M,13,,,2026-07-04T22:17:07Z
528,M,14,,,2026-07-04T22:17:07Z
528,M,15,,,2026-07-04T22:17:07Z
528,M,16,,,2026-07-04T22:17:07Z
528,M,17,,,2026-07-04T22:17:07Z
528,M,18,,,2026-07-04T22:17:07Z
528,T,11,,,2026-07-04T22:17:07Z
528,T,12,,,2026-07-04T22:17:07Z
528,T,13,,,2026-07-04T22:17:07Z
528,T,14,,,2026-07-04T22:17:07Z
528,T,15,,,2026-07-04T22:17:07Z
528,T,16,,,2026-07-04T22:17:07Z
528,T,17,,,2026-07-04T22:17:07Z
528,T,18,,,2026-07-04T22:17:07Z
528,H,5,,,2026-07-04T22:17:07Z
528,H,6,,,2026-07-04T22:17:07Z
143,O,8,,,2026-07-04T22:17:07Z
143,O,9,,,2026-07-04T22:17:07Z
143,O,10,,,2026-07-04T22:17:07Z
143,O,11,,,2026-07-04T22:17:07Z
143,O,12,,,2026-07-04T22:17:07Z
143,O,13,,,2026-07-04T22:17:07Z
143,O,14,,,2026-07-04T22:17:07Z
143,O,15,,,2026-07-04T22:17:07Z
143,G,7,,,2026-07-04T22:17:07Z
143,G,8,,,2026-07-04T22:17:07Z
143,G,9,,,2026-07-04T22:17:07Z
143,G,10,,,2026-07-04T22:17:07Z
143,F,8,,,2026-07-04T22:17:07Z
143,F,9,,,2026-07-04T22:17:07Z
143,E,12,,,2026-07-04T22:17:07Z
143,E,13,,,2026-07-04T22:17:07Z
143,D,9,,,2026-07-04T22:17:07Z
143,D,10,,,2026-07-04T22:17:07Z
143,K,6,,,2026-07-04T22:17:07Z
143,K,7,,,2026-07-04T22:17:07Z
143,K,8,,,2026-07-04T22:17:07Z
143,K,9,,,2026-07-04T22:17:07Z
143,K,10,,,2026-07-04T22:17:07Z
143,K,11,,,2026-07-04T22:17:07Z
143,K,12,,,2026-07-04T22:17:07Z
143,K,13,,,2026-07-04T22:17:07Z
405,B,11,,,2026-07-04T22:17:07Z
405,B,12,,,2026-07-04T22:17:07Z
405,C,3,,,2026-07-04T22:17:07Z
405,C,4,,,2026-07-04T22:17:07Z
405,C,5,,,2026-07-04T22:17:07Z
405,C,6,,,2026-07-04T22:17:07Z
405,C,7,,,2026-07-04T22:17:07Z
405,C,8,,,2026-07-04T22:17:07Z
404,F,9,,,2026-07-04T22:17:07Z
404,F,10,,,2026-07-04T22:17:07Z
404,U,21,,,2026-07-04T22:17:07Z
404,U,22,,,2026-07-04T22:17:07Z
404,D,5,,,2026-07-04T22:17:07Z
404,D,6,,,2026-07-04T22:17:07Z
404,V,19,,,2026-07-04T22:17:07Z
404,V,20,,,2026-07-04T22:17:07Z
404,V,21,,,2026-07-04T22:17:07Z
404,V,22,,,2026-07-04T22:17:07Z
404,C,19,,,2026-07-04T22:17:07Z
404,C,20,,,2026-07-04T22:17:07Z
404,B,2,,,2026-07-04T22:17:07Z
404,B,3,,,2026-07-04T22:17:07Z
404,B,15,,,2026-07-04T22:17:07Z
404,B,16,,,2026-07-04T22:17:07Z
404,T,3,,,2026-07-04T22:17:07Z
404,T,20,,,2026-07-04T22:17:07Z
404,T,21,,,2026-07-04T22:17:07Z
404,T,22,,,2026-07-04T22:17:07Z
404,T,4,,,2026-07-04T22:17:07Z
404,T,19,,,2026-07-04T22:17:07Z
404,A,15,,,2026-07-04T22:17:07Z
404,A,16,,,2026-07-04T22:17:07Z
