section,row,seat,price_usd,selection_type,scraped_at
24,B,5,,,2026-07-08T22:12:37Z
24,B,6,,,2026-07-08T22:12:37Z
23,F,6,,,2026-07-08T22:12:37Z
23,F,7,,,2026-07-08T22:12:37Z
227,B,7,,,2026-07-08T22:12:37Z
227,B,8,,,2026-07-08T22:12:37Z
227,B,9,,,2026-07-08T22:12:37Z
227,B,10,,,2026-07-08T22:12:37Z
115,F,11,,,2026-07-08T22:12:37Z
115,F,12,,,2026-07-08T22:12:37Z
115,F,13,,,2026-07-08T22:12:37Z
115,F,14,,,2026-07-08T22:12:37Z
115,F,15,,,2026-07-08T22:12:37Z
115,F,16,,,2026-07-08T22:12:37Z
115,G,11,,,2026-07-08T22:12:37Z
115,G,12,,,2026-07-08T22:12:37Z
115,G,13,,,2026-07-08T22:12:37Z
115,G,14,,,2026-07-08T22:12:37Z
115,X,5,,,2026-07-08T22:12:37Z
115,X,6,,,2026-07-08T22:12:37Z
115,Y,7,,,2026-07-08T22:12:37Z
115,Y,8,,,2026-07-08T22:12:37Z
115,Z,13,,,2026-07-08T22:12:37Z
115,Z,14,,,2026-07-08T22:12:37Z
115,Z,7,,,2026-07-08T22:12:37Z
115,Z,8,,,2026-07-08T22:12:37Z
124,B,3,,,2026-07-08T22:12:37Z
124,B,4,,,2026-07-08T22:12:37Z
124,B,5,,,2026-07-08T22:12:37Z
124,B,6,,,2026-07-08T22:12:37Z
124,F,3,,,2026-07-08T22:12:37Z
124,F,4,,,2026-07-08T22:12:37Z
124,F,5,,,2026-07-08T22:12:37Z
124,F,6,,,2026-07-08T22:12:37Z
124,F,7,,,2026-07-08T22:12:37Z
124,F,8,,,2026-07-08T22:12:37Z
124,C,5,,,2026-07-08T22:12:37Z
124,C,6,,,2026-07-08T22:12:37Z
222,A,5,,,2026-07-08T22:12:37Z
222,A,6,,,2026-07-08T22:12:37Z
25,B,8,,,2026-07-08T22:12:37Z
25,B,9,,,2026-07-08T22:12:37Z
25,B,10,,,2026-07-08T22:12:37Z
25,B,11,,,2026-07-08T22:12:37Z
122,E,3,,,2026-07-08T22:12:37Z
122,E,4,,,2026-07-08T22:12:37Z
133,B,3,,,2026-07-08T22:12:37Z
133,B,4,,,2026-07-08T22:12:37Z
133,F,5,,,2026-07-08T22:12:37Z
133,F,6,,,2026-07-08T22:12:37Z
133,F,7,,,2026-07-08T22:12:37Z
133,F,8,,,2026-07-08T22:12:37Z
133,II,8,,,2026-07-08T22:12:37Z
133,II,9,,,2026-07-08T22:12:37Z
133,LL,8,,,2026-07-08T22:12:37Z
133,LL,9,,,2026-07-08T22:12:37Z
133,LL,10,,,2026-07-08T22:12:37Z
133,LL,11,,,2026-07-08T22:12:37Z
301,E,9,,,2026-07-08T22:12:37Z
301,E,10,,,2026-07-08T22:12:37Z
301,G,11,,,2026-07-08T22:12:37Z
301,G,12,,,2026-07-08T22:12:37Z
301,D,9,,,2026-07-08T22:12:37Z
301,D,10,,,2026-07-08T22:12:37Z
135,D,7,,,2026-07-08T22:12:37Z
135,D,8,,,2026-07-08T22:12:37Z
130,L,9,,,2026-07-08T22:12:37Z
130,L,10,,,2026-07-08T22:12:37Z
117,G,9,,,2026-07-08T22:12:37Z
117,G,10,,,2026-07-08T22:12:37Z
117,I,3,,,2026-07-08T22:12:37Z
117,I,4,,,2026-07-08T22:12:37Z
117,X,1,,,2026-07-08T22:12:37Z
117,X,2,,,2026-07-08T22:12:37Z
117,X,3,,,2026-07-08T22:12:37Z
117,X,4,,,2026-07-08T22:12:37Z
128,M,7,,,2026-07-08T22:12:37Z
128,M,8,,,2026-07-08T22:12:37Z
113,B,3,,,2026-07-08T22:12:37Z
113,B,4,,,2026-07-08T22:12:37Z
113,O,13,,,2026-07-08T22:12:37Z
113,O,14,,,2026-07-08T22:12:37Z
113,E,10,,,2026-07-08T22:12:37Z
113,E,11,,,2026-07-08T22:12:37Z
113,EE,8,,,2026-07-08T22:12:37Z
113,EE,9,,,2026-07-08T22:12:37Z
113,EE,10,,,2026-07-08T22:12:37Z
113,EE,11,,,2026-07-08T22:12:37Z
113,K,12,,,2026-07-08T22:12:37Z
113,K,13,,,2026-07-08T22:12:37Z
113,Z,6,,,2026-07-08T22:12:37Z
113,Z,7,,,2026-07-08T22:12:37Z
225,A,9,,,2026-07-08T22:12:37Z
225,A,10,,,2026-07-08T22:12:37Z
116,J,1,,,2026-07-08T22:12:37Z
116,J,2,,,2026-07-08T22:12:37Z
116,J,3,,,2026-07-08T22:12:37Z
116,J,4,,,2026-07-08T22:12:37Z
116,R,11,,,2026-07-08T22:12:37Z
116,R,12,,,2026-07-08T22:12:37Z
116,R,13,,,2026-07-08T22:12:37Z
116,R,14,,,2026-07-08T22:12:37Z
134,R,9,,,2026-07-08T22:12:37Z
134,R,10,,,2026-07-08T22:12:37Z
134,G,11,,,2026-07-08T22:12:37Z
134,G,12,,,2026-07-08T22:12:37Z
134,G,13,,,2026-07-08T22:12:37Z
134,G,14,,,2026-07-08T22:12:37Z
120,W,5,,,2026-07-08T22:12:37Z
120,W,6,,,2026-07-08T22:12:37Z
120,W,7,,,2026-07-08T22:12:37Z
120,W,8,,,2026-07-08T22:12:37Z
120,V,5,,,2026-07-08T22:12:37Z
120,V,6,,,2026-07-08T22:12:37Z
120,V,7,,,2026-07-08T22:12:37Z
120,V,8,,,2026-07-08T22:12:37Z
120,U,5,,,2026-07-08T22:12:37Z
120,U,6,,,2026-07-08T22:12:37Z
111,FF,12,,,2026-07-08T22:12:37Z
111,FF,13,,,2026-07-08T22:12:37Z
111,FF,14,,,2026-07-08T22:12:37Z
111,FF,15,,,2026-07-08T22:12:37Z
111,FF,16,,,2026-07-08T22:12:37Z
111,FF,17,,,2026-07-08T22:12:37Z
111,FF,18,,,2026-07-08T22:12:37Z
111,FF,4,,,2026-07-08T22:12:37Z
111,FF,5,,,2026-07-08T22:12:37Z
111,FF,6,,,2026-07-08T22:12:37Z
111,FF,7,,,2026-07-08T22:12:37Z
111,FF,8,,,2026-07-08T22:12:37Z
111,JJ,12,,,2026-07-08T22:12:37Z
111,JJ,13,,,2026-07-08T22:12:37Z
111,JJ,14,,,2026-07-08T22:12:37Z
111,JJ,15,,,2026-07-08T22:12:37Z
111,JJ,16,,,2026-07-08T22:12:37Z
111,JJ,17,,,2026-07-08T22:12:37Z
111,JJ,18,,,2026-07-08T22:12:37Z
111,JJ,2,,,2026-07-08T22:12:37Z
111,JJ,3,,,2026-07-08T22:12:37Z
111,JJ,4,,,2026-07-08T22:12:37Z
111,JJ,5,,,2026-07-08T22:12:37Z
111,JJ,6,,,2026-07-08T22:12:37Z
111,JJ,7,,,2026-07-08T22:12:37Z
111,JJ,8,,,2026-07-08T22:12:37Z
111,DD,12,,,2026-07-08T22:12:37Z
111,DD,13,,,2026-07-08T22:12:37Z
111,DD,14,,,2026-07-08T22:12:37Z
111,DD,15,,,2026-07-08T22:12:37Z
111,DD,16,,,2026-07-08T22:12:37Z
111,DD,17,,,2026-07-08T22:12:37Z
111,DD,18,,,2026-07-08T22:12:37Z
111,DD,2,,,2026-07-08T22:12:37Z
111,DD,3,,,2026-07-08T22:12:37Z
111,DD,4,,,2026-07-08T22:12:37Z
111,DD,5,,,2026-07-08T22:12:37Z
111,DD,6,,,2026-07-08T22:12:37Z
111,DD,7,,,2026-07-08T22:12:37Z
111,DD,8,,,2026-07-08T22:12:37Z
111,KK,14,,,2026-07-08T22:12:37Z
111,KK,15,,,2026-07-08T22:12:37Z
111,KK,16,,,2026-07-08T22:12:37Z
111,KK,17,,,2026-07-08T22:12:37Z
111,KK,2,,,2026-07-08T22:12:37Z
111,KK,3,,,2026-07-08T22:12:37Z
111,KK,4,,,2026-07-08T22:12:37Z
111,KK,5,,,2026-07-08T22:12:37Z
111,KK,6,,,2026-07-08T22:12:37Z
111,KK,7,,,2026-07-08T22:12:37Z
111,KK,8,,,2026-07-08T22:12:37Z
111,EE,12,,,2026-07-08T22:12:37Z
111,EE,13,,,2026-07-08T22:12:37Z
111,EE,14,,,2026-07-08T22:12:37Z
111,EE,15,,,2026-07-08T22:12:37Z
111,EE,16,,,2026-07-08T22:12:37Z
111,EE,17,,,2026-07-08T22:12:37Z
111,EE,18,,,2026-07-08T22:12:37Z
111,EE,2,,,2026-07-08T22:12:37Z
111,EE,3,,,2026-07-08T22:12:37Z
111,EE,4,,,2026-07-08T22:12:37Z
111,EE,5,,,2026-07-08T22:12:37Z
111,EE,6,,,2026-07-08T22:12:37Z
111,EE,7,,,2026-07-08T22:12:37Z
111,EE,8,,,2026-07-08T22:12:37Z
111,GG,17,,,2026-07-08T22:12:37Z
111,GG,18,,,2026-07-08T22:12:37Z
111,GG,4,,,2026-07-08T22:12:37Z
111,GG,5,,,2026-07-08T22:12:37Z
111,GG,6,,,2026-07-08T22:12:37Z
111,GG,7,,,2026-07-08T22:12:37Z
111,GG,8,,,2026-07-08T22:12:37Z
111,CC,1,,,2026-07-08T22:12:37Z
111,CC,2,,,2026-07-08T22:12:37Z
111,CC,3,,,2026-07-08T22:12:37Z
111,CC,4,,,2026-07-08T22:12:37Z
111,CC,5,,,2026-07-08T22:12:37Z
111,CC,6,,,2026-07-08T22:12:37Z
111,CC,7,,,2026-07-08T22:12:37Z
111,CC,8,,,2026-07-08T22:12:37Z
111,HH,12,,,2026-07-08T22:12:37Z
111,HH,13,,,2026-07-08T22:12:37Z
111,HH,14,,,2026-07-08T22:12:37Z
111,HH,15,,,2026-07-08T22:12:37Z
111,HH,16,,,2026-07-08T22:12:37Z
111,HH,17,,,2026-07-08T22:12:37Z
111,HH,18,,,2026-07-08T22:12:37Z
111,HH,2,,,2026-07-08T22:12:37Z
111,HH,3,,,2026-07-08T22:12:37Z
111,HH,4,,,2026-07-08T22:12:37Z
111,HH,5,,,2026-07-08T22:12:37Z
111,HH,6,,,2026-07-08T22:12:37Z
111,HH,7,,,2026-07-08T22:12:37Z
111,HH,8,,,2026-07-08T22:12:37Z
111,II,1,,,2026-07-08T22:12:37Z
111,II,2,,,2026-07-08T22:12:37Z
111,II,3,,,2026-07-08T22:12:37Z
111,II,4,,,2026-07-08T22:12:37Z
111,II,5,,,2026-07-08T22:12:37Z
111,II,6,,,2026-07-08T22:12:37Z
111,II,7,,,2026-07-08T22:12:37Z
111,II,8,,,2026-07-08T22:12:37Z
111,BB,13,,,2026-07-08T22:12:37Z
111,BB,10,,,2026-07-08T22:12:37Z
111,BB,11,,,2026-07-08T22:12:37Z
111,BB,12,,,2026-07-08T22:12:37Z
111,BB,14,,,2026-07-08T22:12:37Z
111,BB,15,,,2026-07-08T22:12:37Z
111,BB,16,,,2026-07-08T22:12:37Z
111,BB,17,,,2026-07-08T22:12:37Z
111,BB,18,,,2026-07-08T22:12:37Z
111,BB,6,,,2026-07-08T22:12:37Z
111,BB,7,,,2026-07-08T22:12:37Z
111,BB,8,,,2026-07-08T22:12:37Z
111,BB,9,,,2026-07-08T22:12:37Z
114,C,7,,,2026-07-08T22:12:37Z
114,C,8,,,2026-07-08T22:12:37Z
114,J,5,,,2026-07-08T22:12:37Z
114,J,6,,,2026-07-08T22:12:37Z
114,I,5,,,2026-07-08T22:12:37Z
114,I,6,,,2026-07-08T22:12:37Z
114,EE,6,,,2026-07-08T22:12:37Z
114,EE,7,,,2026-07-08T22:12:37Z
114,AA,4,,,2026-07-08T22:12:37Z
114,AA,5,,,2026-07-08T22:12:37Z
305,A,10,,,2026-07-08T22:12:37Z
305,A,11,,,2026-07-08T22:12:37Z
305,A,12,,,2026-07-08T22:12:37Z
305,A,13,,,2026-07-08T22:12:37Z
428,A,7,,,2026-07-08T22:12:37Z
428,A,8,,,2026-07-08T22:12:37Z
132,E,10,,,2026-07-08T22:12:37Z
132,E,11,,,2026-07-08T22:12:37Z
132,B,7,,,2026-07-08T22:12:37Z
132,B,8,,,2026-07-08T22:12:37Z
132,KK,9,,,2026-07-08T22:12:37Z
132,KK,10,,,2026-07-08T22:12:37Z
132,KK,11,,,2026-07-08T22:12:37Z
132,KK,12,,,2026-07-08T22:12:37Z
132,NN,6,,,2026-07-08T22:12:37Z
132,NN,7,,,2026-07-08T22:12:37Z
132,NN,8,,,2026-07-08T22:12:37Z
132,NN,9,,,2026-07-08T22:12:37Z
132,V,5,,,2026-07-08T22:12:37Z
132,V,6,,,2026-07-08T22:12:37Z
132,V,7,,,2026-07-08T22:12:37Z
132,V,8,,,2026-07-08T22:12:37Z
132,C,11,,,2026-07-08T22:12:37Z
132,C,12,,,2026-07-08T22:12:37Z
132,W,3,,,2026-07-08T22:12:37Z
132,W,4,,,2026-07-08T22:12:37Z
132,W,5,,,2026-07-08T22:12:37Z
132,W,6,,,2026-07-08T22:12:37Z
132,Z,6,,,2026-07-08T22:12:37Z
132,Z,7,,,2026-07-08T22:12:37Z
304,A,1,,,2026-07-08T22:12:37Z
304,A,14,,,2026-07-08T22:12:37Z
304,A,15,,,2026-07-08T22:12:37Z
304,A,16,,,2026-07-08T22:12:37Z
304,A,17,,,2026-07-08T22:12:37Z
304,A,2,,,2026-07-08T22:12:37Z
304,A,3,,,2026-07-08T22:12:37Z
304,A,4,,,2026-07-08T22:12:37Z
121,W,7,,,2026-07-08T22:12:37Z
121,W,8,,,2026-07-08T22:12:37Z
121,W,9,,,2026-07-08T22:12:37Z
121,W,10,,,2026-07-08T22:12:37Z
126,B,1,,,2026-07-08T22:12:37Z
126,B,2,,,2026-07-08T22:12:37Z
119,W,7,,,2026-07-08T22:12:37Z
119,W,8,,,2026-07-08T22:12:37Z
131,J,3,,,2026-07-08T22:12:37Z
131,J,4,,,2026-07-08T22:12:37Z
221,A,6,,,2026-07-08T22:12:37Z
221,A,7,,,2026-07-08T22:12:37Z
221,A,8,,,2026-07-08T22:12:37Z
221,A,9,,,2026-07-08T22:12:37Z
221,A,10,,,2026-07-08T22:12:37Z
427,A,14,,,2026-07-08T22:12:37Z
427,A,15,,,2026-07-08T22:12:37Z
414,B,19,,,2026-07-08T22:12:37Z
414,B,20,,,2026-07-08T22:12:37Z
414,C,21,,,2026-07-08T22:12:37Z
414,C,22,,,2026-07-08T22:12:37Z
416,B,13,,,2026-07-08T22:12:37Z
416,B,14,,,2026-07-08T22:12:37Z
416,B,15,,,2026-07-08T22:12:37Z
416,B,16,,,2026-07-08T22:12:37Z
416,A,9,,,2026-07-08T22:12:37Z
416,A,10,,,2026-07-08T22:12:37Z
104,J,8,,,2026-07-08T22:12:37Z
104,J,9,,,2026-07-08T22:12:37Z
104,A,1,,,2026-07-08T22:12:37Z
104,A,2,,,2026-07-08T22:12:37Z
403,A,17,,,2026-07-08T22:12:37Z
403,A,18,,,2026-07-08T22:12:37Z
118,T,5,,,2026-07-08T22:12:37Z
118,T,6,,,2026-07-08T22:12:37Z
118,U,5,,,2026-07-08T22:12:37Z
118,U,6,,,2026-07-08T22:12:37Z
432,E,5,,,2026-07-08T22:12:37Z
432,E,6,,,2026-07-08T22:12:37Z
405,A,18,,,2026-07-08T22:12:37Z
405,A,19,,,2026-07-08T22:12:37Z
417,A,1,,,2026-07-08T22:12:37Z
417,A,2,,,2026-07-08T22:12:37Z
417,A,3,,,2026-07-08T22:12:37Z
417,A,4,,,2026-07-08T22:12:37Z
417,J,3,,,2026-07-08T22:12:37Z
417,J,4,,,2026-07-08T22:12:37Z
144,G,16,,,2026-07-08T22:12:37Z
144,G,17,,,2026-07-08T22:12:37Z
144,G,18,,,2026-07-08T22:12:37Z
144,G,19,,,2026-07-08T22:12:37Z
144,E,9,,,2026-07-08T22:12:37Z
144,E,10,,,2026-07-08T22:12:37Z
103,I,3,,,2026-07-08T22:12:37Z
103,I,4,,,2026-07-08T22:12:37Z
103,K,17,,,2026-07-08T22:12:37Z
103,K,18,,,2026-07-08T22:12:37Z
143,E,12,,,2026-07-08T22:12:37Z
143,E,13,,,2026-07-08T22:12:37Z
143,A,5,,,2026-07-08T22:12:37Z
143,A,6,,,2026-07-08T22:12:37Z
143,B,19,,,2026-07-08T22:12:37Z
143,B,20,,,2026-07-08T22:12:37Z
129,P,11,,,2026-07-08T22:12:37Z
129,P,12,,,2026-07-08T22:12:37Z
418,C,1,,,2026-07-08T22:12:37Z
418,C,2,,,2026-07-08T22:12:37Z
145,E,5,,,2026-07-08T22:12:37Z
145,E,6,,,2026-07-08T22:12:37Z
145,E,7,,,2026-07-08T22:12:37Z
145,E,8,,,2026-07-08T22:12:37Z
145,E,9,,,2026-07-08T22:12:37Z
145,E,10,,,2026-07-08T22:12:37Z
145,E,11,,,2026-07-08T22:12:37Z
136,EE,3,,,2026-07-08T22:12:37Z
136,EE,4,,,2026-07-08T22:12:37Z
136,EE,5,,,2026-07-08T22:12:37Z
136,EE,6,,,2026-07-08T22:12:37Z
136,II,15,,,2026-07-08T22:12:37Z
136,II,16,,,2026-07-08T22:12:37Z
136,II,17,,,2026-07-08T22:12:37Z
136,II,18,,,2026-07-08T22:12:37Z
