section,row,seat,price_usd,selection_type,scraped_at
414,B,5,,,2026-07-09T22:18:18Z
414,B,6,,,2026-07-09T22:18:18Z
414,E,8,,,2026-07-09T22:18:18Z
414,E,9,,,2026-07-09T22:18:18Z
404,F,5,,,2026-07-09T22:18:18Z
404,F,6,,,2026-07-09T22:18:18Z
404,A,5,,,2026-07-09T22:18:18Z
404,A,6,,,2026-07-09T22:18:18Z
404,A,7,,,2026-07-09T22:18:18Z
404,A,8,,,2026-07-09T22:18:18Z
128,K,5,,,2026-07-09T22:18:18Z
128,K,6,,,2026-07-09T22:18:18Z
128,DD,7,,,2026-07-09T22:18:18Z
128,DD,8,,,2026-07-09T22:18:18Z
128,FF,9,,,2026-07-09T22:18:18Z
128,FF,10,,,2026-07-09T22:18:18Z
128,J,7,,,2026-07-09T22:18:18Z
128,J,8,,,2026-07-09T22:18:18Z
128,EE,5,,,2026-07-09T22:18:18Z
128,EE,6,,,2026-07-09T22:18:18Z
128,EE,7,,,2026-07-09T22:18:18Z
128,EE,8,,,2026-07-09T22:18:18Z
128,EE,9,,,2026-07-09T22:18:18Z
128,EE,10,,,2026-07-09T22:18:18Z
128,EE,11,,,2026-07-09T22:18:18Z
128,EE,12,,,2026-07-09T22:18:18Z
120,V,7,,,2026-07-09T22:18:18Z
120,V,8,,,2026-07-09T22:18:18Z
120,U,7,,,2026-07-09T22:18:18Z
120,U,8,,,2026-07-09T22:18:18Z
114,O,3,,,2026-07-09T22:18:18Z
114,O,4,,,2026-07-09T22:18:18Z
114,O,5,,,2026-07-09T22:18:18Z
114,O,6,,,2026-07-09T22:18:18Z
114,O,7,,,2026-07-09T22:18:18Z
114,O,8,,,2026-07-09T22:18:18Z
114,O,9,,,2026-07-09T22:18:18Z
114,N,4,,,2026-07-09T22:18:18Z
114,N,5,,,2026-07-09T22:18:18Z
114,N,6,,,2026-07-09T22:18:18Z
114,N,7,,,2026-07-09T22:18:18Z
114,N,8,,,2026-07-09T22:18:18Z
114,N,9,,,2026-07-09T22:18:18Z
114,L,5,,,2026-07-09T22:18:18Z
114,L,6,,,2026-07-09T22:18:18Z
110,Q,1,,,2026-07-09T22:18:18Z
110,Q,2,,,2026-07-09T22:18:18Z
110,Q,23,,,2026-07-09T22:18:18Z
110,Q,24,,,2026-07-09T22:18:18Z
110,R,1,,,2026-07-09T22:18:18Z
110,R,2,,,2026-07-09T22:18:18Z
110,P,23,,,2026-07-09T22:18:18Z
110,P,24,,,2026-07-09T22:18:18Z
110,N,23,,,2026-07-09T22:18:18Z
110,N,24,,,2026-07-09T22:18:18Z
110,N,2,,,2026-07-09T22:18:18Z
110,N,1,,,2026-07-09T22:18:18Z
110,M,23,,,2026-07-09T22:18:18Z
110,M,24,,,2026-07-09T22:18:18Z
110,M,2,,,2026-07-09T22:18:18Z
110,M,1,,,2026-07-09T22:18:18Z
110,O,1,,,2026-07-09T22:18:18Z
110,O,2,,,2026-07-09T22:18:18Z
110,O,23,,,2026-07-09T22:18:18Z
110,O,24,,,2026-07-09T22:18:18Z
136,T,5,,,2026-07-09T22:18:18Z
136,T,6,,,2026-07-09T22:18:18Z
136,S,15,,,2026-07-09T22:18:18Z
136,S,16,,,2026-07-09T22:18:18Z
136,S,17,,,2026-07-09T22:18:18Z
136,S,18,,,2026-07-09T22:18:18Z
136,S,19,,,2026-07-09T22:18:18Z
136,S,10,,,2026-07-09T22:18:18Z
136,S,11,,,2026-07-09T22:18:18Z
136,S,12,,,2026-07-09T22:18:18Z
136,S,13,,,2026-07-09T22:18:18Z
136,S,14,,,2026-07-09T22:18:18Z
136,S,20,,,2026-07-09T22:18:18Z
136,S,3,,,2026-07-09T22:18:18Z
136,S,4,,,2026-07-09T22:18:18Z
136,S,5,,,2026-07-09T22:18:18Z
136,S,6,,,2026-07-09T22:18:18Z
136,S,7,,,2026-07-09T22:18:18Z
136,S,8,,,2026-07-09T22:18:18Z
136,S,9,,,2026-07-09T22:18:18Z
