section,row,seat,price_usd,selection_type,scraped_at
105,12,3,29.25,standard,2026-07-02T18:32:23Z
105,12,4,29.25,standard,2026-07-02T18:32:23Z
105,12,5,29.25,standard,2026-07-02T18:32:23Z
105,12,6,29.25,standard,2026-07-02T18:32:23Z
105,13,1,29.25,standard,2026-07-02T18:32:23Z
105,13,2,29.25,standard,2026-07-02T18:32:23Z
105,14,4,29.25,standard,2026-07-02T18:32:23Z
105,14,5,29.25,standard,2026-07-02T18:32:23Z
105,14,6,29.25,standard,2026-07-02T18:32:23Z
105,14,7,29.25,standard,2026-07-02T18:32:23Z
105,14,8,29.25,standard,2026-07-02T18:32:23Z
105,8,2,29.25,standard,2026-07-02T18:32:23Z
105W,W,3,29.25,standard,2026-07-02T18:32:23Z
105W,W,4,29.25,standard,2026-07-02T18:32:23Z
106,10,1,29.25,standard,2026-07-02T18:32:23Z
106,10,2,29.25,standard,2026-07-02T18:32:23Z
106,10,3,29.25,standard,2026-07-02T18:32:23Z
106,10,4,29.25,standard,2026-07-02T18:32:23Z
106,11,10,29.25,standard,2026-07-02T18:32:23Z
106,11,11,29.25,standard,2026-07-02T18:32:23Z
106,11,12,29.25,standard,2026-07-02T18:32:23Z
106,11,13,29.25,standard,2026-07-02T18:32:23Z
106,11,14,29.25,standard,2026-07-02T18:32:23Z
106,11,15,29.25,standard,2026-07-02T18:32:23Z
106,11,16,29.25,standard,2026-07-02T18:32:23Z
106,11,17,29.25,standard,2026-07-02T18:32:23Z
106,11,18,29.25,standard,2026-07-02T18:32:23Z
106,11,3,29.25,standard,2026-07-02T18:32:23Z
106,11,4,29.25,standard,2026-07-02T18:32:23Z
106,11,5,29.25,standard,2026-07-02T18:32:23Z
106,11,6,29.25,standard,2026-07-02T18:32:23Z
106,11,7,29.25,standard,2026-07-02T18:32:23Z
106,11,8,29.25,standard,2026-07-02T18:32:23Z
106,11,9,29.25,standard,2026-07-02T18:32:23Z
106,12,10,29.25,standard,2026-07-02T18:32:23Z
106,12,11,29.25,standard,2026-07-02T18:32:23Z
106,12,12,29.25,standard,2026-07-02T18:32:23Z
106,12,13,29.25,standard,2026-07-02T18:32:23Z
106,12,14,29.25,standard,2026-07-02T18:32:23Z
106,12,15,29.25,standard,2026-07-02T18:32:23Z
106,12,16,29.25,standard,2026-07-02T18:32:23Z
106,12,3,29.25,standard,2026-07-02T18:32:23Z
106,12,4,29.25,standard,2026-07-02T18:32:23Z
106,12,5,29.25,standard,2026-07-02T18:32:23Z
106,12,6,29.25,standard,2026-07-02T18:32:23Z
106,12,7,29.25,standard,2026-07-02T18:32:23Z
106,12,8,29.25,standard,2026-07-02T18:32:23Z
106,12,9,29.25,standard,2026-07-02T18:32:23Z
106,13,10,29.25,standard,2026-07-02T18:32:23Z
106,13,11,29.25,standard,2026-07-02T18:32:23Z
106,13,12,29.25,standard,2026-07-02T18:32:23Z
106,13,13,29.25,standard,2026-07-02T18:32:23Z
106,13,14,29.25,standard,2026-07-02T18:32:23Z
106,13,15,29.25,standard,2026-07-02T18:32:23Z
106,13,16,29.25,standard,2026-07-02T18:32:23Z
106,13,5,29.25,standard,2026-07-02T18:32:23Z
106,13,6,29.25,standard,2026-07-02T18:32:23Z
106,13,7,29.25,standard,2026-07-02T18:32:23Z
106,13,8,29.25,standard,2026-07-02T18:32:23Z
106,13,9,29.25,standard,2026-07-02T18:32:23Z
106,14,10,29.25,standard,2026-07-02T18:32:23Z
106,14,11,29.25,standard,2026-07-02T18:32:23Z
106,14,12,29.25,standard,2026-07-02T18:32:23Z
106,14,13,29.25,standard,2026-07-02T18:32:23Z
106,14,14,29.25,standard,2026-07-02T18:32:23Z
106,14,15,29.25,standard,2026-07-02T18:32:23Z
106,14,3,29.25,standard,2026-07-02T18:32:23Z
106,14,4,29.25,standard,2026-07-02T18:32:23Z
106,14,5,29.25,standard,2026-07-02T18:32:23Z
106,14,6,29.25,standard,2026-07-02T18:32:23Z
106,14,7,29.25,standard,2026-07-02T18:32:23Z
106,14,8,29.25,standard,2026-07-02T18:32:23Z
106,14,9,29.25,standard,2026-07-02T18:32:23Z
106,3,4,29.25,standard,2026-07-02T18:32:23Z
106,3,5,29.25,standard,2026-07-02T18:32:23Z
106,3,6,29.25,standard,2026-07-02T18:32:23Z
106,3,7,29.25,standard,2026-07-02T18:32:23Z
106,3,8,29.25,standard,2026-07-02T18:32:23Z
106,3,12,29.25,standard,2026-07-02T18:32:23Z
106,3,13,29.25,standard,2026-07-02T18:32:23Z
106,3,14,29.25,standard,2026-07-02T18:32:23Z
106,4,6,29.25,standard,2026-07-02T18:32:23Z
106,4,7,29.25,standard,2026-07-02T18:32:23Z
106,4,8,29.25,standard,2026-07-02T18:32:23Z
106,4,9,29.25,standard,2026-07-02T18:32:23Z
106,4,10,29.25,standard,2026-07-02T18:32:23Z
106,4,11,29.25,standard,2026-07-02T18:32:23Z
106,4,12,29.25,standard,2026-07-02T18:32:23Z
106,4,13,29.25,standard,2026-07-02T18:32:23Z
106,4,14,29.25,standard,2026-07-02T18:32:23Z
106,5,4,29.25,standard,2026-07-02T18:32:23Z
106,5,3,29.25,standard,2026-07-02T18:32:23Z
106,6,4,29.25,standard,2026-07-02T18:32:23Z
106,6,3,29.25,standard,2026-07-02T18:32:23Z
106W,W,5,29.25,standard,2026-07-02T18:32:23Z
106W,W,6,29.25,standard,2026-07-02T18:32:23Z
107,10,16,29.25,standard,2026-07-02T18:32:23Z
107,10,17,29.25,standard,2026-07-02T18:32:23Z
107,10,18,29.25,standard,2026-07-02T18:32:23Z
107,11,10,29.25,standard,2026-07-02T18:32:23Z
107,11,11,29.25,standard,2026-07-02T18:32:23Z
107,11,12,29.25,standard,2026-07-02T18:32:23Z
107,11,13,29.25,standard,2026-07-02T18:32:23Z
107,11,4,29.25,standard,2026-07-02T18:32:23Z
107,11,5,29.25,standard,2026-07-02T18:32:23Z
107,11,6,29.25,standard,2026-07-02T18:32:23Z
107,11,7,29.25,standard,2026-07-02T18:32:23Z
107,11,8,29.25,standard,2026-07-02T18:32:23Z
107,11,9,29.25,standard,2026-07-02T18:32:23Z
107,12,10,29.25,standard,2026-07-02T18:32:23Z
107,12,11,29.25,standard,2026-07-02T18:32:23Z
107,12,12,29.25,standard,2026-07-02T18:32:23Z
107,12,13,29.25,standard,2026-07-02T18:32:23Z
107,12,14,29.25,standard,2026-07-02T18:32:23Z
107,12,15,29.25,standard,2026-07-02T18:32:23Z
107,12,16,29.25,standard,2026-07-02T18:32:23Z
107,12,17,29.25,standard,2026-07-02T18:32:23Z
107,12,18,29.25,standard,2026-07-02T18:32:23Z
107,12,2,29.25,standard,2026-07-02T18:32:23Z
107,12,3,29.25,standard,2026-07-02T18:32:23Z
107,12,4,29.25,standard,2026-07-02T18:32:23Z
107,12,5,29.25,standard,2026-07-02T18:32:23Z
107,12,6,29.25,standard,2026-07-02T18:32:23Z
107,12,7,29.25,standard,2026-07-02T18:32:23Z
107,12,8,29.25,standard,2026-07-02T18:32:23Z
107,12,9,29.25,standard,2026-07-02T18:32:23Z
107,13,10,29.25,standard,2026-07-02T18:32:23Z
107,13,11,29.25,standard,2026-07-02T18:32:23Z
107,13,12,29.25,standard,2026-07-02T18:32:23Z
107,13,13,29.25,standard,2026-07-02T18:32:23Z
107,13,14,29.25,standard,2026-07-02T18:32:23Z
107,13,15,29.25,standard,2026-07-02T18:32:23Z
107,13,16,29.25,standard,2026-07-02T18:32:23Z
107,13,17,29.25,standard,2026-07-02T18:32:23Z
107,13,18,29.25,standard,2026-07-02T18:32:23Z
107,13,3,29.25,standard,2026-07-02T18:32:23Z
107,13,4,29.25,standard,2026-07-02T18:32:23Z
107,13,5,29.25,standard,2026-07-02T18:32:23Z
107,13,6,29.25,standard,2026-07-02T18:32:23Z
107,13,7,29.25,standard,2026-07-02T18:32:23Z
107,13,8,29.25,standard,2026-07-02T18:32:23Z
107,13,9,29.25,standard,2026-07-02T18:32:23Z
107,14,10,29.25,standard,2026-07-02T18:32:23Z
107,14,11,29.25,standard,2026-07-02T18:32:23Z
107,14,12,29.25,standard,2026-07-02T18:32:23Z
107,14,13,29.25,standard,2026-07-02T18:32:23Z
107,14,14,29.25,standard,2026-07-02T18:32:23Z
107,14,15,29.25,standard,2026-07-02T18:32:23Z
107,14,16,29.25,standard,2026-07-02T18:32:23Z
107,14,5,29.25,standard,2026-07-02T18:32:23Z
107,14,6,29.25,standard,2026-07-02T18:32:23Z
107,14,7,29.25,standard,2026-07-02T18:32:23Z
107,14,8,29.25,standard,2026-07-02T18:32:23Z
107,14,9,29.25,standard,2026-07-02T18:32:23Z
107,3,8,29.25,standard,2026-07-02T18:32:23Z
107,3,9,29.25,standard,2026-07-02T18:32:23Z
107,5,4,29.25,standard,2026-07-02T18:32:23Z
107,5,3,29.25,standard,2026-07-02T18:32:23Z
107,6,4,29.25,standard,2026-07-02T18:32:23Z
107,6,1,29.25,standard,2026-07-02T18:32:23Z
107,6,2,29.25,standard,2026-07-02T18:32:23Z
107,6,3,29.25,standard,2026-07-02T18:32:23Z
107,7,4,29.25,standard,2026-07-02T18:32:23Z
107,7,3,29.25,standard,2026-07-02T18:32:23Z
108,10,10,29.25,standard,2026-07-02T18:32:23Z
108,10,11,29.25,standard,2026-07-02T18:32:23Z
108,10,12,29.25,standard,2026-07-02T18:32:23Z
108,10,13,29.25,standard,2026-07-02T18:32:23Z
108,10,14,29.25,standard,2026-07-02T18:32:23Z
108,10,15,29.25,standard,2026-07-02T18:32:23Z
108,10,16,29.25,standard,2026-07-02T18:32:23Z
108,10,17,29.25,standard,2026-07-02T18:32:23Z
108,10,18,29.25,standard,2026-07-02T18:32:23Z
108,10,2,29.25,standard,2026-07-02T18:32:23Z
108,10,3,29.25,standard,2026-07-02T18:32:23Z
108,10,4,29.25,standard,2026-07-02T18:32:23Z
108,10,5,29.25,standard,2026-07-02T18:32:23Z
108,10,6,29.25,standard,2026-07-02T18:32:23Z
108,10,7,29.25,standard,2026-07-02T18:32:23Z
108,10,8,29.25,standard,2026-07-02T18:32:23Z
108,10,9,29.25,standard,2026-07-02T18:32:23Z
108,11,10,29.25,standard,2026-07-02T18:32:23Z
108,11,11,29.25,standard,2026-07-02T18:32:23Z
108,11,12,29.25,standard,2026-07-02T18:32:23Z
108,11,13,29.25,standard,2026-07-02T18:32:23Z
108,11,14,29.25,standard,2026-07-02T18:32:23Z
108,11,15,29.25,standard,2026-07-02T18:32:23Z
108,11,16,29.25,standard,2026-07-02T18:32:23Z
108,11,17,29.25,standard,2026-07-02T18:32:23Z
108,11,18,29.25,standard,2026-07-02T18:32:23Z
108,11,2,29.25,standard,2026-07-02T18:32:23Z
108,11,3,29.25,standard,2026-07-02T18:32:23Z
108,11,4,29.25,standard,2026-07-02T18:32:23Z
108,11,5,29.25,standard,2026-07-02T18:32:23Z
108,11,6,29.25,standard,2026-07-02T18:32:23Z
108,11,7,29.25,standard,2026-07-02T18:32:23Z
108,11,8,29.25,standard,2026-07-02T18:32:23Z
108,11,9,29.25,standard,2026-07-02T18:32:23Z
108,12,10,29.25,standard,2026-07-02T18:32:23Z
108,12,11,29.25,standard,2026-07-02T18:32:23Z
108,12,12,29.25,standard,2026-07-02T18:32:23Z
108,12,13,29.25,standard,2026-07-02T18:32:23Z
108,12,14,29.25,standard,2026-07-02T18:32:23Z
108,12,15,29.25,standard,2026-07-02T18:32:23Z
108,12,16,29.25,standard,2026-07-02T18:32:23Z
108,12,3,29.25,standard,2026-07-02T18:32:23Z
108,12,4,29.25,standard,2026-07-02T18:32:23Z
108,12,5,29.25,standard,2026-07-02T18:32:23Z
108,12,6,29.25,standard,2026-07-02T18:32:23Z
108,12,7,29.25,standard,2026-07-02T18:32:23Z
108,12,8,29.25,standard,2026-07-02T18:32:23Z
108,12,9,29.25,standard,2026-07-02T18:32:23Z
108,13,10,29.25,standard,2026-07-02T18:32:23Z
108,13,11,29.25,standard,2026-07-02T18:32:23Z
108,13,12,29.25,standard,2026-07-02T18:32:23Z
108,13,13,29.25,standard,2026-07-02T18:32:23Z
108,13,14,29.25,standard,2026-07-02T18:32:23Z
108,13,15,29.25,standard,2026-07-02T18:32:23Z
108,13,16,29.25,standard,2026-07-02T18:32:23Z
108,13,17,29.25,standard,2026-07-02T18:32:23Z
108,13,18,29.25,standard,2026-07-02T18:32:23Z
108,13,3,29.25,standard,2026-07-02T18:32:23Z
108,13,4,29.25,standard,2026-07-02T18:32:23Z
108,13,5,29.25,standard,2026-07-02T18:32:23Z
108,13,6,29.25,standard,2026-07-02T18:32:23Z
108,13,7,29.25,standard,2026-07-02T18:32:23Z
108,13,8,29.25,standard,2026-07-02T18:32:23Z
108,13,9,29.25,standard,2026-07-02T18:32:23Z
108,14,10,29.25,standard,2026-07-02T18:32:23Z
108,14,11,29.25,standard,2026-07-02T18:32:23Z
108,14,12,29.25,standard,2026-07-02T18:32:23Z
108,14,13,29.25,standard,2026-07-02T18:32:23Z
108,14,14,29.25,standard,2026-07-02T18:32:23Z
108,14,15,29.25,standard,2026-07-02T18:32:23Z
108,14,16,29.25,standard,2026-07-02T18:32:23Z
108,14,7,29.25,standard,2026-07-02T18:32:23Z
108,14,8,29.25,standard,2026-07-02T18:32:23Z
108,14,9,29.25,standard,2026-07-02T18:32:23Z
108,3,4,29.25,standard,2026-07-02T18:32:23Z
108,3,5,29.25,standard,2026-07-02T18:32:23Z
108,3,6,29.25,standard,2026-07-02T18:32:23Z
108,3,7,29.25,standard,2026-07-02T18:32:23Z
108,3,8,29.25,standard,2026-07-02T18:32:23Z
108,3,9,29.25,standard,2026-07-02T18:32:23Z
108,3,10,29.25,standard,2026-07-02T18:32:23Z
108,3,11,29.25,standard,2026-07-02T18:32:23Z
108,3,12,29.25,standard,2026-07-02T18:32:23Z
108,3,13,29.25,standard,2026-07-02T18:32:23Z
108,3,14,29.25,standard,2026-07-02T18:32:23Z
108,3,15,29.25,standard,2026-07-02T18:32:23Z
108,3,16,29.25,standard,2026-07-02T18:32:23Z
108,3,3,29.25,standard,2026-07-02T18:32:23Z
108,4,1,29.25,standard,2026-07-02T18:32:23Z
108,4,2,29.25,standard,2026-07-02T18:32:23Z
108,4,3,29.25,standard,2026-07-02T18:32:23Z
108,5,15,29.25,standard,2026-07-02T18:32:23Z
108,5,16,29.25,standard,2026-07-02T18:32:23Z
108,5,17,29.25,standard,2026-07-02T18:32:23Z
108,5,18,29.25,standard,2026-07-02T18:32:23Z
108,8,4,29.25,standard,2026-07-02T18:32:23Z
108,8,5,29.25,standard,2026-07-02T18:32:23Z
108,8,6,29.25,standard,2026-07-02T18:32:23Z
108,8,7,29.25,standard,2026-07-02T18:32:23Z
108,8,8,29.25,standard,2026-07-02T18:32:23Z
108,8,9,29.25,standard,2026-07-02T18:32:23Z
108,8,1,29.25,standard,2026-07-02T18:32:23Z
108,8,10,29.25,standard,2026-07-02T18:32:23Z
108,8,11,29.25,standard,2026-07-02T18:32:23Z
108,8,12,29.25,standard,2026-07-02T18:32:23Z
108,8,13,29.25,standard,2026-07-02T18:32:23Z
108,8,14,29.25,standard,2026-07-02T18:32:23Z
108,8,15,29.25,standard,2026-07-02T18:32:23Z
108,8,16,29.25,standard,2026-07-02T18:32:23Z
108,8,17,29.25,standard,2026-07-02T18:32:23Z
108,8,18,29.25,standard,2026-07-02T18:32:23Z
108,8,2,29.25,standard,2026-07-02T18:32:23Z
108,8,3,29.25,standard,2026-07-02T18:32:23Z
108,9,4,29.25,standard,2026-07-02T18:32:23Z
108,9,5,29.25,standard,2026-07-02T18:32:23Z
108,9,6,29.25,standard,2026-07-02T18:32:23Z
108,9,7,29.25,standard,2026-07-02T18:32:23Z
108,9,8,29.25,standard,2026-07-02T18:32:23Z
108,9,9,29.25,standard,2026-07-02T18:32:23Z
108,9,1,29.25,standard,2026-07-02T18:32:23Z
108,9,10,29.25,standard,2026-07-02T18:32:23Z
108,9,11,29.25,standard,2026-07-02T18:32:23Z
108,9,12,29.25,standard,2026-07-02T18:32:23Z
108,9,13,29.25,standard,2026-07-02T18:32:23Z
108,9,14,29.25,standard,2026-07-02T18:32:23Z
108,9,15,29.25,standard,2026-07-02T18:32:23Z
108,9,16,29.25,standard,2026-07-02T18:32:23Z
108,9,17,29.25,standard,2026-07-02T18:32:23Z
108,9,18,29.25,standard,2026-07-02T18:32:23Z
108,9,2,29.25,standard,2026-07-02T18:32:23Z
108,9,3,29.25,standard,2026-07-02T18:32:23Z
108W,W,1,29.25,standard,2026-07-02T18:32:23Z
108W,W,2,29.25,standard,2026-07-02T18:32:23Z
108W,W,3,29.25,standard,2026-07-02T18:32:23Z
108W,W,4,29.25,standard,2026-07-02T18:32:23Z
108W,W,5,29.25,standard,2026-07-02T18:32:23Z
108W,W,6,29.25,standard,2026-07-02T18:32:23Z
109,10,10,29.25,standard,2026-07-02T18:32:23Z
109,10,11,29.25,standard,2026-07-02T18:32:23Z
109,10,12,29.25,standard,2026-07-02T18:32:23Z
109,10,2,29.25,standard,2026-07-02T18:32:23Z
109,10,3,29.25,standard,2026-07-02T18:32:23Z
109,10,9,29.25,standard,2026-07-02T18:32:23Z
109,11,10,29.25,standard,2026-07-02T18:32:23Z
