section,row,seat,price_usd,selection_type,scraped_at
105,8,1,153.75,standard,2026-07-04T23:12:59Z
106W,W,1,153.75,standard,2026-07-04T23:12:59Z
106W,W,2,153.75,standard,2026-07-04T23:12:59Z
107W,W,6,153.75,standard,2026-07-04T23:12:59Z
107W,W,7,153.75,standard,2026-07-04T23:12:59Z
108W,W,6,153.75,standard,2026-07-04T23:12:59Z
109W,W,6,153.75,standard,2026-07-04T23:12:59Z
109W,W,7,153.75,standard,2026-07-04T23:12:59Z
109W,W,8,153.75,standard,2026-07-04T23:12:59Z
114W,W,5,143.75,standard,2026-07-04T23:12:59Z
114W,W,9,143.75,standard,2026-07-04T23:12:59Z
118W,W,4,160.25,standard,2026-07-04T23:12:59Z
119,5,11,181.75,standard,2026-07-04T23:12:59Z
119,5,12,181.75,standard,2026-07-04T23:12:59Z
119,5,13,181.75,standard,2026-07-04T23:12:59Z
119,5,14,181.75,standard,2026-07-04T23:12:59Z
119W,W,1,160.25,standard,2026-07-04T23:12:59Z
119W,W,2,160.25,standard,2026-07-04T23:12:59Z
119W,W,3,160.25,standard,2026-07-04T23:12:59Z
119W,W,4,160.25,standard,2026-07-04T23:12:59Z
119W,W,5,160.25,standard,2026-07-04T23:12:59Z
119W,W,6,160.25,standard,2026-07-04T23:12:59Z
119W,W,7,160.25,standard,2026-07-04T23:12:59Z
120W,W,5,137.25,standard,2026-07-04T23:12:59Z
120W,W,6,137.25,standard,2026-07-04T23:12:59Z
122W,W,4,137.25,standard,2026-07-04T23:12:59Z
122W,W,5,137.25,standard,2026-07-04T23:12:59Z
123,17,11,193.25,standard,2026-07-04T23:12:59Z
123,17,12,193.25,standard,2026-07-04T23:12:59Z
124W,W,4,137.25,standard,2026-07-04T23:12:59Z
124W,W,5,137.25,standard,2026-07-04T23:12:59Z
124W,W,6,137.25,standard,2026-07-04T23:12:59Z
124W,W,7,137.25,standard,2026-07-04T23:12:59Z
125W,W,5,137.25,standard,2026-07-04T23:12:59Z
125W,W,6,137.25,standard,2026-07-04T23:12:59Z
125W,W,7,137.25,standard,2026-07-04T23:12:59Z
125W,W,8,137.25,standard,2026-07-04T23:12:59Z
126W,W,1,137.25,standard,2026-07-04T23:12:59Z
126W,W,7,137.25,standard,2026-07-04T23:12:59Z
126W,W,8,137.25,standard,2026-07-04T23:12:59Z
127,37,6,81.75,standard,2026-07-04T23:12:59Z
127,37,7,81.75,standard,2026-07-04T23:12:59Z
128,36,6,137.25,standard,2026-07-04T23:12:59Z
128,38,3,137.25,standard,2026-07-04T23:12:59Z
129,26,5,137.25,standard,2026-07-04T23:12:59Z
129,26,6,137.25,standard,2026-07-04T23:12:59Z
130,22,3,137.25,standard,2026-07-04T23:12:59Z
130,22,4,137.25,standard,2026-07-04T23:12:59Z
133W,W,3,137.25,standard,2026-07-04T23:12:59Z
133W,W,7,137.25,standard,2026-07-04T23:12:59Z
133W,W,8,137.25,standard,2026-07-04T23:12:59Z
134W,W,1,137.25,standard,2026-07-04T23:12:59Z
134W,W,2,137.25,standard,2026-07-04T23:12:59Z
134W,W,3,137.25,standard,2026-07-04T23:12:59Z
134W,W,4,137.25,standard,2026-07-04T23:12:59Z
134W,W,6,137.25,standard,2026-07-04T23:12:59Z
134W,W,7,137.25,standard,2026-07-04T23:12:59Z
134W,W,8,137.25,standard,2026-07-04T23:12:59Z
134W,W,9,137.25,standard,2026-07-04T23:12:59Z
135W,W,1,137.25,standard,2026-07-04T23:12:59Z
135W,W,2,137.25,standard,2026-07-04T23:12:59Z
135W,W,3,137.25,standard,2026-07-04T23:12:59Z
135W,W,4,137.25,standard,2026-07-04T23:12:59Z
135W,W,6,137.25,standard,2026-07-04T23:12:59Z
135W,W,7,137.25,standard,2026-07-04T23:12:59Z
135W,W,8,137.25,standard,2026-07-04T23:12:59Z
137W,W,1,137.25,standard,2026-07-04T23:12:59Z
137W,W,2,137.25,standard,2026-07-04T23:12:59Z
137W,W,3,137.25,standard,2026-07-04T23:12:59Z
137W,W,4,137.25,standard,2026-07-04T23:12:59Z
137W,W,5,137.25,standard,2026-07-04T23:12:59Z
137W,W,6,137.25,standard,2026-07-04T23:12:59Z
137W,W,7,137.25,standard,2026-07-04T23:12:59Z
138W,W,1,137.25,standard,2026-07-04T23:12:59Z
138W,W,2,137.25,standard,2026-07-04T23:12:59Z
138W,W,3,137.25,standard,2026-07-04T23:12:59Z
138W,W,4,137.25,standard,2026-07-04T23:12:59Z
139W,W,3,137.25,standard,2026-07-04T23:12:59Z
139W,W,4,137.25,standard,2026-07-04T23:12:59Z
139W,W,5,137.25,standard,2026-07-04T23:12:59Z
139W,W,6,137.25,standard,2026-07-04T23:12:59Z
139W,W,7,137.25,standard,2026-07-04T23:12:59Z
141,15,7,193.25,standard,2026-07-04T23:12:59Z
141,18,1,193.25,standard,2026-07-04T23:12:59Z
141,18,3,193.25,standard,2026-07-04T23:12:59Z
141W,W,3,137.25,standard,2026-07-04T23:12:59Z
141W,W,4,137.25,standard,2026-07-04T23:12:59Z
141W,W,5,137.25,standard,2026-07-04T23:12:59Z
141W,W,6,137.25,standard,2026-07-04T23:12:59Z
141W,W,7,137.25,standard,2026-07-04T23:12:59Z
142W,W,6,160.25,standard,2026-07-04T23:12:59Z
142W,W,7,160.25,standard,2026-07-04T23:12:59Z
