section,row,seat,price_usd,selection_type,scraped_at
133,12,5,,,2026-07-10T21:41:45Z
133,12,6,,,2026-07-10T21:41:45Z
337,B,5,,,2026-07-10T21:41:45Z
337,B,6,,,2026-07-10T21:41:45Z
324,5,9,,,2026-07-10T21:41:45Z
324,5,10,,,2026-07-10T21:41:45Z
324,11,21,,,2026-07-10T21:41:45Z
324,11,22,,,2026-07-10T21:41:45Z
324,14,5,,,2026-07-10T21:41:45Z
324,14,6,,,2026-07-10T21:41:45Z
324,B,14,,,2026-07-10T21:41:45Z
324,B,15,,,2026-07-10T21:41:45Z
326,C,3,,,2026-07-10T21:41:45Z
326,C,4,,,2026-07-10T21:41:45Z
326,D,3,,,2026-07-10T21:41:45Z
326,D,4,,,2026-07-10T21:41:45Z
326,13,19,,,2026-07-10T21:41:45Z
326,13,20,,,2026-07-10T21:41:45Z
136,31,5,,,2026-07-10T21:41:45Z
136,31,6,,,2026-07-10T21:41:45Z
136,7,3,,,2026-07-10T21:41:45Z
136,7,4,,,2026-07-10T21:41:45Z
136,17,7,,,2026-07-10T21:41:45Z
136,17,8,,,2026-07-10T21:41:45Z
321,3,6,,,2026-07-10T21:41:45Z
321,3,7,,,2026-07-10T21:41:45Z
321,1,7,,,2026-07-10T21:41:45Z
321,1,8,,,2026-07-10T21:41:45Z
321,12,9,,,2026-07-10T21:41:45Z
321,12,10,,,2026-07-10T21:41:45Z
PRESS,C,4,,,2026-07-10T21:41:45Z
PRESS,C,5,,,2026-07-10T21:41:45Z
PRESS,C,6,,,2026-07-10T21:41:45Z
PRESS,C,7,,,2026-07-10T21:41:45Z
130,31,12,,,2026-07-10T21:41:45Z
130,31,13,,,2026-07-10T21:41:45Z
331,D,13,,,2026-07-10T21:41:45Z
331,D,14,,,2026-07-10T21:41:45Z
331,B,7,,,2026-07-10T21:41:45Z
331,B,8,,,2026-07-10T21:41:45Z
135,11,3,,,2026-07-10T21:41:45Z
135,11,4,,,2026-07-10T21:41:45Z
215,E,1,,,2026-07-10T21:41:45Z
215,E,2,,,2026-07-10T21:41:45Z
215,11,1,,,2026-07-10T21:41:45Z
215,11,2,,,2026-07-10T21:41:45Z
215,11,3,,,2026-07-10T21:41:45Z
215,11,4,,,2026-07-10T21:41:45Z
212,C,1,,,2026-07-10T21:41:45Z
212,C,2,,,2026-07-10T21:41:45Z
212,11,17,,,2026-07-10T21:41:45Z
212,11,18,,,2026-07-10T21:41:45Z
212,11,19,,,2026-07-10T21:41:45Z
212,11,20,,,2026-07-10T21:41:45Z
212,11,21,,,2026-07-10T21:41:45Z
212,11,22,,,2026-07-10T21:41:45Z
212,11,23,,,2026-07-10T21:41:45Z
212,11,24,,,2026-07-10T21:41:45Z
212,12,7,,,2026-07-10T21:41:45Z
212,12,8,,,2026-07-10T21:41:45Z
118,3,13,,,2026-07-10T21:41:45Z
118,3,14,,,2026-07-10T21:41:45Z
118,2,6,,,2026-07-10T21:41:45Z
118,2,7,,,2026-07-10T21:41:45Z
118,1,15,,,2026-07-10T21:41:45Z
118,1,16,,,2026-07-10T21:41:45Z
118,1,17,,,2026-07-10T21:41:45Z
118,1,18,,,2026-07-10T21:41:45Z
102,F,9,,,2026-07-10T21:41:45Z
102,F,10,,,2026-07-10T21:41:45Z
119,27,3,,,2026-07-10T21:41:45Z
119,27,4,,,2026-07-10T21:41:45Z
119,7,5,,,2026-07-10T21:41:45Z
119,7,6,,,2026-07-10T21:41:45Z
218,F,14,,,2026-07-10T21:41:45Z
218,F,15,,,2026-07-10T21:41:45Z
218,15,7,,,2026-07-10T21:41:45Z
218,15,8,,,2026-07-10T21:41:45Z
218,22,1,,,2026-07-10T21:41:45Z
218,22,2,,,2026-07-10T21:41:45Z
137,4,5,,,2026-07-10T21:41:45Z
137,4,6,,,2026-07-10T21:41:45Z
137,4,7,,,2026-07-10T21:41:45Z
137,4,8,,,2026-07-10T21:41:45Z
137,5,15,,,2026-07-10T21:41:45Z
137,5,16,,,2026-07-10T21:41:45Z
137,5,17,,,2026-07-10T21:41:45Z
137,5,18,,,2026-07-10T21:41:45Z
325,C,3,,,2026-07-10T21:41:45Z
325,C,4,,,2026-07-10T21:41:45Z
325,14,7,,,2026-07-10T21:41:45Z
325,14,8,,,2026-07-10T21:41:45Z
121,20,9,,,2026-07-10T21:41:45Z
121,20,10,,,2026-07-10T21:41:45Z
336,11,11,,,2026-07-10T21:41:45Z
336,11,12,,,2026-07-10T21:41:45Z
342,C,1,,,2026-07-10T21:41:45Z
342,C,2,,,2026-07-10T21:41:45Z
342,11,9,,,2026-07-10T21:41:45Z
342,11,10,,,2026-07-10T21:41:45Z
116,4,17,,,2026-07-10T21:41:45Z
116,4,18,,,2026-07-10T21:41:45Z
116,23,6,,,2026-07-10T21:41:45Z
116,23,7,,,2026-07-10T21:41:45Z
116,16,8,,,2026-07-10T21:41:45Z
116,16,9,,,2026-07-10T21:41:45Z
340,1,16,,,2026-07-10T21:41:45Z
340,1,17,,,2026-07-10T21:41:45Z
340,5,10,,,2026-07-10T21:41:45Z
340,5,11,,,2026-07-10T21:41:45Z
111,25,1,,,2026-07-10T21:41:45Z
111,25,2,,,2026-07-10T21:41:45Z
111,31,1,,,2026-07-10T21:41:45Z
111,31,2,,,2026-07-10T21:41:45Z
113,29,8,,,2026-07-10T21:41:45Z
113,29,9,,,2026-07-10T21:41:45Z
113,21,15,,,2026-07-10T21:41:45Z
113,21,16,,,2026-07-10T21:41:45Z
338,5,14,,,2026-07-10T21:41:45Z
338,5,15,,,2026-07-10T21:41:45Z
338,12,1,,,2026-07-10T21:41:45Z
338,12,2,,,2026-07-10T21:41:45Z
338,12,3,,,2026-07-10T21:41:45Z
338,12,4,,,2026-07-10T21:41:45Z
338,C,9,,,2026-07-10T21:41:45Z
338,C,10,,,2026-07-10T21:41:45Z
131,22,12,,,2026-07-10T21:41:45Z
131,22,13,,,2026-07-10T21:41:45Z
217,12,13,,,2026-07-10T21:41:45Z
217,12,14,,,2026-07-10T21:41:45Z
333,13,5,,,2026-07-10T21:41:45Z
333,13,6,,,2026-07-10T21:41:45Z
334,8,16,,,2026-07-10T21:41:45Z
334,8,17,,,2026-07-10T21:41:45Z
334,12,13,,,2026-07-10T21:41:45Z
334,12,14,,,2026-07-10T21:41:45Z
334,13,7,,,2026-07-10T21:41:45Z
334,13,8,,,2026-07-10T21:41:45Z
334,13,9,,,2026-07-10T21:41:45Z
334,13,10,,,2026-07-10T21:41:45Z
341,3,13,,,2026-07-10T21:41:45Z
341,3,14,,,2026-07-10T21:41:45Z
344,5,7,,,2026-07-10T21:41:45Z
344,5,8,,,2026-07-10T21:41:45Z
344,A,3,,,2026-07-10T21:41:45Z
344,A,4,,,2026-07-10T21:41:45Z
329,11,4,,,2026-07-10T21:41:45Z
329,11,5,,,2026-07-10T21:41:45Z
329,A,3,,,2026-07-10T21:41:45Z
329,A,4,,,2026-07-10T21:41:45Z
129,25,11,,,2026-07-10T21:41:45Z
129,25,12,,,2026-07-10T21:41:45Z
146,GG,1,,,2026-07-10T21:41:45Z
146,GG,2,,,2026-07-10T21:41:45Z
146,DD,1,,,2026-07-10T21:41:45Z
146,DD,2,,,2026-07-10T21:41:45Z
112,32,11,,,2026-07-10T21:41:45Z
112,32,12,,,2026-07-10T21:41:45Z
112,27,16,,,2026-07-10T21:41:45Z
112,27,17,,,2026-07-10T21:41:45Z
108,43,1,,,2026-07-10T21:41:45Z
108,43,2,,,2026-07-10T21:41:45Z
108,43,3,,,2026-07-10T21:41:45Z
108,43,4,,,2026-07-10T21:41:45Z
108,46,1,,,2026-07-10T21:41:45Z
108,46,2,,,2026-07-10T21:41:45Z
108,46,3,,,2026-07-10T21:41:45Z
108,46,4,,,2026-07-10T21:41:45Z
108,46,5,,,2026-07-10T21:41:45Z
108,46,6,,,2026-07-10T21:41:45Z
107,39,8,,,2026-07-10T21:41:45Z
107,39,9,,,2026-07-10T21:41:45Z
147,N,19,,,2026-07-10T21:41:45Z
147,N,20,,,2026-07-10T21:41:45Z
216,14,9,,,2026-07-10T21:41:45Z
216,14,10,,,2026-07-10T21:41:45Z
216,14,11,,,2026-07-10T21:41:45Z
216,14,12,,,2026-07-10T21:41:45Z
216,6,23,,,2026-07-10T21:41:45Z
216,6,24,,,2026-07-10T21:41:45Z
216,3,18,,,2026-07-10T21:41:45Z
216,3,19,,,2026-07-10T21:41:45Z
211,7,6,,,2026-07-10T21:41:45Z
211,7,7,,,2026-07-10T21:41:45Z
211,7,8,,,2026-07-10T21:41:45Z
211,7,9,,,2026-07-10T21:41:45Z
211,10,9,,,2026-07-10T21:41:45Z
211,10,10,,,2026-07-10T21:41:45Z
211,10,11,,,2026-07-10T21:41:45Z
211,10,12,,,2026-07-10T21:41:45Z
211,10,13,,,2026-07-10T21:41:45Z
211,10,14,,,2026-07-10T21:41:45Z
211,10,15,,,2026-07-10T21:41:45Z
211,10,16,,,2026-07-10T21:41:45Z
322,19,20,,,2026-07-10T21:41:45Z
322,19,21,,,2026-07-10T21:41:45Z
322,14,11,,,2026-07-10T21:41:45Z
322,14,12,,,2026-07-10T21:41:45Z
322,14,13,,,2026-07-10T21:41:45Z
322,14,14,,,2026-07-10T21:41:45Z
322,14,15,,,2026-07-10T21:41:45Z
322,14,16,,,2026-07-10T21:41:45Z
322,14,17,,,2026-07-10T21:41:45Z
214,12,1,,,2026-07-10T21:41:45Z
214,12,2,,,2026-07-10T21:41:45Z
214,12,3,,,2026-07-10T21:41:45Z
214,12,4,,,2026-07-10T21:41:45Z
214,12,5,,,2026-07-10T21:41:45Z
214,12,6,,,2026-07-10T21:41:45Z
214,12,7,,,2026-07-10T21:41:45Z
214,12,8,,,2026-07-10T21:41:45Z
214,10,1,,,2026-07-10T21:41:45Z
214,10,2,,,2026-07-10T21:41:45Z
330,14,22,,,2026-07-10T21:41:45Z
330,14,23,,,2026-07-10T21:41:45Z
143,21,3,,,2026-07-10T21:41:45Z
143,21,4,,,2026-07-10T21:41:45Z
143,25,7,,,2026-07-10T21:41:45Z
143,25,8,,,2026-07-10T21:41:45Z
143,29,9,,,2026-07-10T21:41:45Z
143,29,10,,,2026-07-10T21:41:45Z
143,43,11,,,2026-07-10T21:41:45Z
143,43,12,,,2026-07-10T21:41:45Z
327,8,7,,,2026-07-10T21:41:45Z
327,8,8,,,2026-07-10T21:41:45Z
139,A,1,,,2026-07-10T21:41:45Z
139,A,2,,,2026-07-10T21:41:45Z
145,R,1,,,2026-07-10T21:41:45Z
145,R,2,,,2026-07-10T21:41:45Z
145,DD,3,,,2026-07-10T21:41:45Z
145,DD,4,,,2026-07-10T21:41:45Z
145,DD,5,,,2026-07-10T21:41:45Z
145,DD,6,,,2026-07-10T21:41:45Z
144,S,11,,,2026-07-10T21:41:45Z
144,S,12,,,2026-07-10T21:41:45Z
144,K,13,,,2026-07-10T21:41:45Z
144,K,14,,,2026-07-10T21:41:45Z
332,16,1,,,2026-07-10T21:41:45Z
332,16,2,,,2026-07-10T21:41:45Z
332,16,3,,,2026-07-10T21:41:45Z
332,16,4,,,2026-07-10T21:41:45Z
332,16,5,,,2026-07-10T21:41:45Z
332,16,6,,,2026-07-10T21:41:45Z
332,16,7,,,2026-07-10T21:41:45Z
332,16,8,,,2026-07-10T21:41:45Z
343,7,1,,,2026-07-10T21:41:45Z
343,7,2,,,2026-07-10T21:41:45Z
142,23,15,,,2026-07-10T21:41:45Z
142,23,16,,,2026-07-10T21:41:45Z
110,34,7,,,2026-07-10T21:41:45Z
110,34,8,,,2026-07-10T21:41:45Z
110,34,9,,,2026-07-10T21:41:45Z
110,34,10,,,2026-07-10T21:41:45Z
109,43,9,,,2026-07-10T21:41:45Z
109,43,10,,,2026-07-10T21:41:45Z
127,20,1,,,2026-07-10T21:41:45Z
127,20,2,,,2026-07-10T21:41:45Z
127,21,9,,,2026-07-10T21:41:45Z
127,21,10,,,2026-07-10T21:41:45Z
127,25,9,,,2026-07-10T21:41:45Z
127,25,10,,,2026-07-10T21:41:45Z
328,15,8,,,2026-07-10T21:41:45Z
328,15,9,,,2026-07-10T21:41:45Z
328,15,10,,,2026-07-10T21:41:45Z
328,15,11,,,2026-07-10T21:41:45Z
328,15,12,,,2026-07-10T21:41:45Z
345,11,6,,,2026-07-10T21:41:45Z
345,11,7,,,2026-07-10T21:41:45Z
345,11,8,,,2026-07-10T21:41:45Z
345,11,9,,,2026-07-10T21:41:45Z
345,11,10,,,2026-07-10T21:41:45Z
345,11,11,,,2026-07-10T21:41:45Z
345,11,12,,,2026-07-10T21:41:45Z
