section,row,seat,price_usd,selection_type,scraped_at
323,16,15,1011.5,resale,2026-09-18T01:09:03Z
141,35,21,993.65,resale,2026-09-18T01:09:03Z
141,35,22,993.65,resale,2026-09-18T01:09:03Z
124,10,19,1011.5,resale,2026-09-18T01:09:03Z
124,10,20,1011.5,resale,2026-09-18T01:09:03Z
149,3,3,952.0,resale,2026-09-18T01:09:03Z
149,3,4,952.0,resale,2026-09-18T01:09:03Z
123,16,22,1190.0,resale,2026-09-18T01:09:03Z
401,5,13,655.69,resale,2026-09-18T01:09:03Z
401,5,14,655.69,resale,2026-09-18T01:09:03Z
314,1,7,952.0,resale,2026-09-18T01:09:03Z
314,1,8,952.0,resale,2026-09-18T01:09:03Z
403,11,8,714.0,resale,2026-09-18T01:09:03Z
403,11,9,714.0,resale,2026-09-18T01:09:03Z
145,24,7,952.0,resale,2026-09-18T01:09:03Z
145,24,8,952.0,resale,2026-09-18T01:09:03Z
145,36W,29,952.0,resale,2026-09-18T01:09:03Z
145,36W,30,952.0,resale,2026-09-18T01:09:03Z
321,22W,11,743.75,resale,2026-09-18T01:09:03Z
321,22W,12,743.75,resale,2026-09-18T01:09:03Z
249,3,16,827.05,resale,2026-09-18T01:09:03Z
323,15,15,714.0,resale,2026-09-18T01:09:03Z
136,29,17,534.31,resale,2026-09-18T01:09:03Z
136,29,18,534.31,resale,2026-09-18T01:09:03Z
436,20,5,431.97,resale,2026-09-18T01:09:03Z
436,20,6,431.97,resale,2026-09-18T01:09:03Z
149,2,3,427.21,resale,2026-09-18T01:09:03Z
149,2,4,427.21,resale,2026-09-18T01:09:03Z
133,18,10,1204.28,resale,2026-09-18T01:09:03Z
133,18,11,1204.28,resale,2026-09-18T01:09:03Z
114,14,7,833.0,resale,2026-09-18T01:09:03Z
132,25,15,952.0,resale,2026-09-18T01:09:03Z
132,25,16,952.0,resale,2026-09-18T01:09:03Z
114,25,17,1071.0,resale,2026-09-18T01:09:03Z
413,1,17,487.9,resale,2026-09-18T01:09:03Z
413,1,18,487.9,resale,2026-09-18T01:09:03Z
311SR,SRO,1,565.25,resale,2026-09-18T01:09:03Z
311SR,SRO,2,565.25,resale,2026-09-18T01:09:03Z
