section,row,seat,price_usd,selection_type,scraped_at
111,30,17,181.5,resale,2026-09-21T01:17:39Z
111,30,18,181.5,resale,2026-09-21T01:17:39Z
111,20,20,211.75,resale,2026-09-21T01:17:39Z
111,20,21,211.75,resale,2026-09-21T01:17:39Z
111,20,22,211.75,resale,2026-09-21T01:17:39Z
111,20,23,211.75,resale,2026-09-21T01:17:39Z
119,30,3,181.5,resale,2026-09-21T01:17:39Z
119,30,4,181.5,resale,2026-09-21T01:17:39Z
112,19,11,338.8,resale,2026-09-21T01:17:39Z
112,19,12,338.8,resale,2026-09-21T01:17:39Z
320,34,22,199.65,resale,2026-09-21T01:17:39Z
320,34,23,199.65,resale,2026-09-21T01:17:39Z
342,28,8,121.0,resale,2026-09-21T01:17:39Z
342,28,9,121.0,resale,2026-09-21T01:17:39Z
342,28,10,121.0,resale,2026-09-21T01:17:39Z
342,28,11,121.0,resale,2026-09-21T01:17:39Z
342,28,12,121.0,resale,2026-09-21T01:17:39Z
342,28,13,121.0,resale,2026-09-21T01:17:39Z
342,28,14,121.0,resale,2026-09-21T01:17:39Z
301,8,12,133.1,resale,2026-09-21T01:17:39Z
301,8,13,133.1,resale,2026-09-21T01:17:39Z
136,4,9,289.19,resale,2026-09-21T01:17:39Z
136,4,10,289.19,resale,2026-09-21T01:17:39Z
136,4,11,289.19,resale,2026-09-21T01:17:39Z
324,6,7,242.0,resale,2026-09-21T01:17:39Z
324,6,8,242.0,resale,2026-09-21T01:17:39Z
324,6,9,242.0,resale,2026-09-21T01:17:39Z
113,37,8,185.13,resale,2026-09-21T01:17:39Z
104,19,24,181.5,resale,2026-09-21T01:17:39Z
104,19,25,181.5,resale,2026-09-21T01:17:39Z
306,8,15,151.25,resale,2026-09-21T01:17:39Z
306,8,16,151.25,resale,2026-09-21T01:17:39Z
306,8,17,151.25,resale,2026-09-21T01:17:39Z
306,8,18,151.25,resale,2026-09-21T01:17:39Z
243,8,15,332.75,resale,2026-09-21T01:17:39Z
243,8,16,332.75,resale,2026-09-21T01:17:39Z
343,19,13,119.79,resale,2026-09-21T01:17:39Z
343,19,14,119.79,resale,2026-09-21T01:17:39Z
132,14,19,242.0,resale,2026-09-21T01:17:39Z
132,14,20,242.0,resale,2026-09-21T01:17:39Z
115,14,3,242.0,resale,2026-09-21T01:17:39Z
115,14,4,242.0,resale,2026-09-21T01:17:39Z
115,14,1,242.0,resale,2026-09-21T01:17:39Z
115,14,2,242.0,resale,2026-09-21T01:17:39Z
131,29,13,121.0,resale,2026-09-21T01:17:39Z
131,29,14,121.0,resale,2026-09-21T01:17:39Z
324,42,17,121.0,resale,2026-09-21T01:17:39Z
324,42,18,121.0,resale,2026-09-21T01:17:39Z
324,43,21,121.0,resale,2026-09-21T01:17:39Z
324,43,22,121.0,resale,2026-09-21T01:17:39Z
102,25,19,121.0,resale,2026-09-21T01:17:39Z
102,25,20,121.0,resale,2026-09-21T01:17:39Z
135,17,3,480.37,resale,2026-09-21T01:17:39Z
135,17,4,480.37,resale,2026-09-21T01:17:39Z
135,17,5,480.37,resale,2026-09-21T01:17:39Z
135,17,6,480.37,resale,2026-09-21T01:17:39Z
101,5,22,308.55,resale,2026-09-21T01:17:39Z
101,5,23,308.55,resale,2026-09-21T01:17:39Z
101,5,24,308.55,resale,2026-09-21T01:17:39Z
129,13,22,157.3,resale,2026-09-21T01:17:39Z
129,13,23,157.3,resale,2026-09-21T01:17:39Z
327,29,3,193.6,resale,2026-09-21T01:17:39Z
327,29,4,193.6,resale,2026-09-21T01:17:39Z
315,14,21,67.76,resale,2026-09-21T01:17:39Z
315,14,22,67.76,resale,2026-09-21T01:17:39Z
309,11,1,202.07,resale,2026-09-21T01:17:39Z
309,11,2,202.07,resale,2026-09-21T01:17:39Z
325,24,1,95.59,resale,2026-09-21T01:17:39Z
325,24,2,95.59,resale,2026-09-21T01:17:39Z
325,24,3,95.59,resale,2026-09-21T01:17:39Z
325,24,4,95.59,resale,2026-09-21T01:17:39Z
115,32,11,181.5,resale,2026-09-21T01:17:39Z
115,32,12,181.5,resale,2026-09-21T01:17:39Z
115,32,13,181.5,resale,2026-09-21T01:17:39Z
105,38,1,393.25,resale,2026-09-21T01:17:39Z
