offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVHAZDCMJYGUYHYMJYGA2TCMBZGNSDK,104,2,,resale,2026-04-04T19:52:12Z
GN6DCMJTGE4DCMZUHE3HYMJXMNTGIMJYGRRDK,104,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVHE4TQOJRHEYHYMJYGA2TMZBRGUYDK,106,2,,resale,2026-04-04T19:52:12Z
GN6DCMBZGAYDKNBTG4ZHYMJXGVTDCYZQHE4DK,110,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVHE4DOMBWGUZHYMJYGA2GCNBYMI2DK,110,1,,resale,2026-04-04T19:52:12Z
GN6DCMJVHEZTQNBRHA3XYMJYGAZGGZDGMRRDK,116,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVHE2TINZXGQ4XYMJYGA2TMZTEME4DK,118,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVHA4DQOJTGM4HYMJYGAYTCMRZGNQTK,122,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVHA3DONZZHE4XYMJYGAYDIMJQGY4DK,124,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVHE3DSOBWHAZXYMJYGA2TONLEMJQTK,124,4,,resale,2026-04-04T19:52:12Z
GN6DCMJUGQ3DSMJVGE3XYMJXMQZTOZRRGM3TK,126,2,,resale,2026-04-04T19:52:12Z
GN6DCMJVGY3DONZZGI4HYMJXMY4WMNZRG5QTK,128,2,,resale,2026-04-04T19:52:12Z
GN6DCMBYGA2TCOJQGM4HYMJXGVTDCYRYG42DK,134,2,,resale,2026-04-04T19:52:12Z
GN6DCMJUGU4TKNJYGEYXYMJYGAZWMNZYG4ZDK,134,1,,resale,2026-04-04T19:52:12Z
GJ6DKOBUGAYDAMBQGAYDS7BWG4,134,3,,standard,2026-04-04T19:52:12Z
GN6DCMJUGU2TGNRSGQ4HYMJYGA2TMMRTMEYDK,140,2,,resale,2026-04-04T19:52:12Z
GJ6DKOBUGAYDAMBQGAYDS7BWG4,140,2,,standard,2026-04-04T19:52:12Z
GN6DCMJWGAYTAMJZGIYXYMJYGA2TOMBTHBSTK,142,2,,resale,2026-04-04T19:52:12Z
GN6DCMJWGAYDKMZRGAZHYMJYGA2TIMJYGFRDK,146,2,,resale,2026-04-04T19:52:12Z
GJ6DKOBUGAYDAMBQGAYDS7BXGE,216,6,,standard,2026-04-04T19:52:12Z
GN6DCMJWGAYDMNJVGM4HYMJYGA2TIZJRGZTDK,232,3,,resale,2026-04-04T19:52:12Z
GJ6DKOBUGAYDAMBQGAYDS7BXGA,236,4,,standard,2026-04-04T19:52:12Z
GN6DCMJVHE4TQMBRGY2XYMJYGA2GMN3DGVRDK,240,2,,resale,2026-04-04T19:52:12Z
GJ6DKOBUGAYDAMBQGAYDS7BXGA,256,2,,standard,2026-04-04T19:52:12Z
GN6DCMJUHA2DONZWGY2HYMJYGA2TCM3FMVSTK,258,2,,resale,2026-04-04T19:52:12Z
GN6DCMJSGU2TAMRSHE4HYMJXMNTGCMJWG5RTK,303,2,,resale,2026-04-04T19:52:12Z
