section,row,seat,price_usd,selection_type,scraped_at
104,22,11,147.3,standard,2026-04-09T01:52:25Z
104,22,12,147.3,standard,2026-04-09T01:52:25Z
104,BB,7,147.3,standard,2026-04-09T01:52:25Z
104,BB,8,147.3,standard,2026-04-09T01:52:25Z
108,10,4,76.05,resale,2026-04-09T01:52:25Z
108,10,5,76.05,resale,2026-04-09T01:52:25Z
108,19,18,76.05,resale,2026-04-09T01:52:25Z
108,19,19,76.05,resale,2026-04-09T01:52:25Z
110,21,10,78.3,standard,2026-04-09T01:52:25Z
110,21,9,78.3,standard,2026-04-09T01:52:25Z
110,FF,11,78.3,standard,2026-04-09T01:52:25Z
110,FF,12,78.3,standard,2026-04-09T01:52:25Z
112,21,7,64.35,resale,2026-04-09T01:52:25Z
112,21,8,64.35,resale,2026-04-09T01:52:25Z
114,8,6,69.03,resale,2026-04-09T01:52:25Z
114,8,7,69.03,resale,2026-04-09T01:52:25Z
116,GG,13,115.83,resale,2026-04-09T01:52:25Z
116,GG,14,115.83,resale,2026-04-09T01:52:25Z
120,13,8,57.33,resale,2026-04-09T01:52:25Z
120,13,9,57.33,resale,2026-04-09T01:52:25Z
120,9,14,57.33,resale,2026-04-09T01:52:25Z
120,9,15,57.33,resale,2026-04-09T01:52:25Z
120,SRO,17,57.33,resale,2026-04-09T01:52:25Z
120,SRO,18,57.33,resale,2026-04-09T01:52:25Z
124,3,11,235.35,standard,2026-04-09T01:52:25Z
124,3,12,235.35,standard,2026-04-09T01:52:25Z
126,11,13,117.0,resale,2026-04-09T01:52:25Z
126,11,14,117.0,resale,2026-04-09T01:52:25Z
126,11,15,117.0,resale,2026-04-09T01:52:25Z
126,11,16,117.0,resale,2026-04-09T01:52:25Z
126,11,17,117.0,resale,2026-04-09T01:52:25Z
126,11,18,117.0,resale,2026-04-09T01:52:25Z
126,1,15,117.0,resale,2026-04-09T01:52:25Z
126,1,16,117.0,resale,2026-04-09T01:52:25Z
