section,row,seat,price_usd,selection_type,scraped_at
102,15,15,252.89,resale,2026-04-11T00:03:57Z
102,15,16,252.89,resale,2026-04-11T00:03:57Z
104,2,15,198.44,resale,2026-04-11T00:03:57Z
104,2,16,198.44,resale,2026-04-11T00:03:57Z
104,3,9,198.44,resale,2026-04-11T00:03:57Z
104,3,10,198.44,resale,2026-04-11T00:03:57Z
106,7,1,211.75,resale,2026-04-11T00:03:57Z
106,7,2,211.75,resale,2026-04-11T00:03:57Z
106,16,20,211.75,resale,2026-04-11T00:03:57Z
106,16,21,211.75,resale,2026-04-11T00:03:57Z
106,16,22,211.75,resale,2026-04-11T00:03:57Z
106,16,23,211.75,resale,2026-04-11T00:03:57Z
108,10,4,142.15,standard,2026-04-11T00:03:57Z
108,10,5,142.15,standard,2026-04-11T00:03:57Z
108,12,10,142.15,standard,2026-04-11T00:03:57Z
108,12,11,142.15,standard,2026-04-11T00:03:57Z
108,19,8,142.15,standard,2026-04-11T00:03:57Z
108,19,9,142.15,standard,2026-04-11T00:03:57Z
110,5,3,163.35,resale,2026-04-11T00:03:57Z
110,5,4,163.35,resale,2026-04-11T00:03:57Z
110,21,9,163.35,resale,2026-04-11T00:03:57Z
110,21,10,163.35,resale,2026-04-11T00:03:57Z
110,II,3,163.35,resale,2026-04-11T00:03:57Z
110,II,4,163.35,resale,2026-04-11T00:03:57Z
120,9,14,181.5,resale,2026-04-11T00:03:57Z
120,9,15,181.5,resale,2026-04-11T00:03:57Z
122,4,13,198.44,resale,2026-04-11T00:03:57Z
122,4,14,198.44,resale,2026-04-11T00:03:57Z
122,14,17,198.44,resale,2026-04-11T00:03:57Z
122,14,18,198.44,resale,2026-04-11T00:03:57Z
122,21,5,198.44,resale,2026-04-11T00:03:57Z
122,21,6,198.44,resale,2026-04-11T00:03:57Z
122,21,7,198.44,resale,2026-04-11T00:03:57Z
122,21,8,198.44,resale,2026-04-11T00:03:57Z
126,8,5,311.55,standard,2026-04-11T00:03:57Z
126,8,6,311.55,standard,2026-04-11T00:03:57Z
126,11,15,311.55,standard,2026-04-11T00:03:57Z
126,11,16,311.55,standard,2026-04-11T00:03:57Z
126,11,17,311.55,standard,2026-04-11T00:03:57Z
126,11,18,311.55,standard,2026-04-11T00:03:57Z
126,15,9,311.55,standard,2026-04-11T00:03:57Z
126,15,10,311.55,standard,2026-04-11T00:03:57Z
130,8,11,239.45,standard,2026-04-11T00:03:57Z
130,8,12,239.45,standard,2026-04-11T00:03:57Z
134,5,17,180.29,resale,2026-04-11T00:03:57Z
134,5,18,180.29,resale,2026-04-11T00:03:57Z
140,23W,5,108.9,resale,2026-04-11T00:03:57Z
140,23W,6,108.9,resale,2026-04-11T00:03:57Z
