section,row,seat,price_usd,selection_type,scraped_at
101,14,7,175.5,resale,2026-05-05T23:52:09Z
101,14,8,175.5,resale,2026-05-05T23:52:09Z
101,7,4,175.5,resale,2026-05-05T23:52:09Z
101,7,3,175.5,resale,2026-05-05T23:52:09Z
102,21,2,142.74,resale,2026-05-05T23:52:09Z
102,21,3,142.74,resale,2026-05-05T23:52:09Z
103,1,5,187.2,resale,2026-05-05T23:52:09Z
103,1,6,187.2,resale,2026-05-05T23:52:09Z
103,1,10,187.2,resale,2026-05-05T23:52:09Z
103,1,11,187.2,resale,2026-05-05T23:52:09Z
103,8,14,187.2,resale,2026-05-05T23:52:09Z
103,8,15,187.2,resale,2026-05-05T23:52:09Z
104,14,14,168.48,resale,2026-05-05T23:52:09Z
104,14,15,168.48,resale,2026-05-05T23:52:09Z
105,21,10,150.93,resale,2026-05-05T23:52:09Z
105,21,11,150.93,resale,2026-05-05T23:52:09Z
105,21,12,150.93,resale,2026-05-05T23:52:09Z
105,21,13,150.93,resale,2026-05-05T23:52:09Z
105,21,17,150.93,resale,2026-05-05T23:52:09Z
105,21,18,150.93,resale,2026-05-05T23:52:09Z
105,21,2,150.93,resale,2026-05-05T23:52:09Z
105,21,3,150.93,resale,2026-05-05T23:52:09Z
105,21,4,150.93,resale,2026-05-05T23:52:09Z
105,21,9,150.93,resale,2026-05-05T23:52:09Z
105,22,10,150.93,resale,2026-05-05T23:52:09Z
105,22,11,150.93,resale,2026-05-05T23:52:09Z
105,22,12,150.93,resale,2026-05-05T23:52:09Z
105,22,13,150.93,resale,2026-05-05T23:52:09Z
105,22,14,150.93,resale,2026-05-05T23:52:09Z
105,22,16,150.93,resale,2026-05-05T23:52:09Z
105,22,17,150.93,resale,2026-05-05T23:52:09Z
105,22,3,150.93,resale,2026-05-05T23:52:09Z
105,22,4,150.93,resale,2026-05-05T23:52:09Z
105,22,5,150.93,resale,2026-05-05T23:52:09Z
105,22,6,150.93,resale,2026-05-05T23:52:09Z
105,22,7,150.93,resale,2026-05-05T23:52:09Z
105,22,8,150.93,resale,2026-05-05T23:52:09Z
105,22,9,150.93,resale,2026-05-05T23:52:09Z
105,23,17,150.93,resale,2026-05-05T23:52:09Z
105,23,18,150.93,resale,2026-05-05T23:52:09Z
105,23,19,150.93,resale,2026-05-05T23:52:09Z
105,23,20,150.93,resale,2026-05-05T23:52:09Z
105,23,21,150.93,resale,2026-05-05T23:52:09Z
105,23,22,150.93,resale,2026-05-05T23:52:09Z
105,23,3,150.93,resale,2026-05-05T23:52:09Z
105,23,4,150.93,resale,2026-05-05T23:52:09Z
105,23,5,150.93,resale,2026-05-05T23:52:09Z
105,23,6,150.93,resale,2026-05-05T23:52:09Z
105,23,7,150.93,resale,2026-05-05T23:52:09Z
105,24,13,150.93,resale,2026-05-05T23:52:09Z
105,24,14,150.93,resale,2026-05-05T23:52:09Z
105,24,6,150.93,resale,2026-05-05T23:52:09Z
105,24,7,150.93,resale,2026-05-05T23:52:09Z
106,5,14,162.63,resale,2026-05-05T23:52:09Z
106,5,15,162.63,resale,2026-05-05T23:52:09Z
107,22,1,269.1,resale,2026-05-05T23:52:09Z
