section,row,seat,price_usd,selection_type,scraped_at
101,14,7,182.04,resale,2026-05-05T22:03:11Z
101,14,8,182.04,resale,2026-05-05T22:03:11Z
101,15,4,182.04,resale,2026-05-05T22:03:11Z
101,15,5,182.04,resale,2026-05-05T22:03:11Z
101,1,4,182.04,resale,2026-05-05T22:03:11Z
101,1,3,182.04,resale,2026-05-05T22:03:11Z
101,24,24,182.04,resale,2026-05-05T22:03:11Z
101,24,25,182.04,resale,2026-05-05T22:03:11Z
101,7,4,182.04,resale,2026-05-05T22:03:11Z
101,7,3,182.04,resale,2026-05-05T22:03:11Z
102,1,7,157.44,resale,2026-05-05T22:03:11Z
102,1,8,157.44,resale,2026-05-05T22:03:11Z
102,21,1,157.44,resale,2026-05-05T22:03:11Z
102,21,2,157.44,resale,2026-05-05T22:03:11Z
102,21,3,157.44,resale,2026-05-05T22:03:11Z
102,21,4,157.44,resale,2026-05-05T22:03:11Z
102,3,4,157.44,resale,2026-05-05T22:03:11Z
102,3,1,157.44,resale,2026-05-05T22:03:11Z
102,3,2,157.44,resale,2026-05-05T22:03:11Z
102,3,3,157.44,resale,2026-05-05T22:03:11Z
102,8,14,157.44,resale,2026-05-05T22:03:11Z
102,8,15,157.44,resale,2026-05-05T22:03:11Z
103,11,15,166.05,resale,2026-05-05T22:03:11Z
103,11,16,166.05,resale,2026-05-05T22:03:11Z
103,14,4,166.05,resale,2026-05-05T22:03:11Z
103,14,5,166.05,resale,2026-05-05T22:03:11Z
103,1,4,166.05,resale,2026-05-05T22:03:11Z
103,1,5,166.05,resale,2026-05-05T22:03:11Z
103,1,6,166.05,resale,2026-05-05T22:03:11Z
103,1,1,166.05,resale,2026-05-05T22:03:11Z
103,1,10,166.05,resale,2026-05-05T22:03:11Z
103,1,11,166.05,resale,2026-05-05T22:03:11Z
103,1,2,166.05,resale,2026-05-05T22:03:11Z
103,1,3,166.05,resale,2026-05-05T22:03:11Z
103,2,10,166.05,resale,2026-05-05T22:03:11Z
103,2,11,166.05,resale,2026-05-05T22:03:11Z
103,8,14,166.05,resale,2026-05-05T22:03:11Z
103,8,15,166.05,resale,2026-05-05T22:03:11Z
104,10,1,147.6,resale,2026-05-05T22:03:11Z
104,10,2,147.6,resale,2026-05-05T22:03:11Z
104,10,8,147.6,resale,2026-05-05T22:03:11Z
104,10,9,147.6,resale,2026-05-05T22:03:11Z
104,12,1,147.6,resale,2026-05-05T22:03:11Z
104,12,2,147.6,resale,2026-05-05T22:03:11Z
