section,row,seat,price_usd,selection_type,scraped_at
112,7,5,166.98,resale,2026-04-10T23:01:04Z
112,7,6,166.98,resale,2026-04-10T23:01:04Z
113,23,7,,,2026-04-10T23:01:04Z
113,23,8,,,2026-04-10T23:01:04Z
113,23,9,,,2026-04-10T23:01:04Z
113,23,10,,,2026-04-10T23:01:04Z
113,23,11,,,2026-04-10T23:01:04Z
113,23,12,,,2026-04-10T23:01:04Z
113,23,13,,,2026-04-10T23:01:04Z
113,23,14,,,2026-04-10T23:01:04Z
110,14,5,169.4,resale,2026-04-10T23:01:04Z
110,14,6,169.4,resale,2026-04-10T23:01:04Z
105,22,2,203.28,resale,2026-04-10T23:01:04Z
105,22,3,203.28,resale,2026-04-10T23:01:04Z
105,12,2,203.28,resale,2026-04-10T23:01:04Z
105,12,3,203.28,resale,2026-04-10T23:01:04Z
123,16,5,171.82,resale,2026-04-10T23:01:04Z
123,16,6,171.82,resale,2026-04-10T23:01:04Z
123,16,7,171.82,resale,2026-04-10T23:01:04Z
123,16,8,171.82,resale,2026-04-10T23:01:04Z
123,11,1,171.82,resale,2026-04-10T23:01:04Z
123,11,2,171.82,resale,2026-04-10T23:01:04Z
408,9,9,,,2026-04-10T23:01:04Z
408,9,10,,,2026-04-10T23:01:04Z
408,9,11,,,2026-04-10T23:01:04Z
408,9,12,,,2026-04-10T23:01:04Z
408,9,13,,,2026-04-10T23:01:04Z
408,9,14,,,2026-04-10T23:01:04Z
125,23,9,,,2026-04-10T23:01:04Z
125,23,10,,,2026-04-10T23:01:04Z
430,5,9,,,2026-04-10T23:01:04Z
430,5,10,,,2026-04-10T23:01:04Z
428,5,5,,,2026-04-10T23:01:04Z
428,5,6,,,2026-04-10T23:01:04Z
428,5,7,,,2026-04-10T23:01:04Z
428,5,8,,,2026-04-10T23:01:04Z
428,7,7,,,2026-04-10T23:01:04Z
428,7,8,,,2026-04-10T23:01:04Z
428,7,9,,,2026-04-10T23:01:04Z
428,7,10,,,2026-04-10T23:01:04Z
406,3,5,,,2026-04-10T23:01:04Z
406,3,6,,,2026-04-10T23:01:04Z
126,18,5,,,2026-04-10T23:01:04Z
126,18,6,,,2026-04-10T23:01:04Z
417,9,5,,,2026-04-10T23:01:04Z
417,9,6,,,2026-04-10T23:01:04Z
101,18,11,,,2026-04-10T23:01:04Z
101,18,12,,,2026-04-10T23:01:04Z
433,8,11,33.88,resale,2026-04-10T23:01:04Z
433,8,12,33.88,resale,2026-04-10T23:01:04Z
