section,row,seat,price_usd,selection_type,scraped_at
10,6,3,489.54,resale,2026-04-12T23:31:42Z
10,6,4,489.54,resale,2026-04-12T23:31:42Z
10,8,11,489.54,resale,2026-04-12T23:31:42Z
10,8,12,489.54,resale,2026-04-12T23:31:42Z
101,14,3,217.71,resale,2026-04-12T23:31:42Z
101,14,4,217.71,resale,2026-04-12T23:31:42Z
101,14,5,217.71,resale,2026-04-12T23:31:42Z
101,14,6,217.71,resale,2026-04-12T23:31:42Z
101,15,10,217.71,resale,2026-04-12T23:31:42Z
101,15,9,217.71,resale,2026-04-12T23:31:42Z
104,22,1,169.74,resale,2026-04-12T23:31:42Z
104,22,2,169.74,resale,2026-04-12T23:31:42Z
106,21,12,276.75,resale,2026-04-12T23:31:42Z
106,21,13,276.75,resale,2026-04-12T23:31:42Z
106,21,8,276.75,resale,2026-04-12T23:31:42Z
106,21,9,276.75,resale,2026-04-12T23:31:42Z
107,34,3,268.14,resale,2026-04-12T23:31:42Z
107,34,4,268.14,resale,2026-04-12T23:31:42Z
108,22,7,291.51,resale,2026-04-12T23:31:42Z
108,22,8,291.51,resale,2026-04-12T23:31:42Z
108,24,11,291.51,resale,2026-04-12T23:31:42Z
108,24,12,291.51,resale,2026-04-12T23:31:42Z
109,21,3,255.84,resale,2026-04-12T23:31:42Z
109,21,4,255.84,resale,2026-04-12T23:31:42Z
109,32,15,255.84,resale,2026-04-12T23:31:42Z
109,32,16,255.84,resale,2026-04-12T23:31:42Z
110,25,10,252.15,resale,2026-04-12T23:31:42Z
110,25,11,252.15,resale,2026-04-12T23:31:42Z
110,25,12,252.15,resale,2026-04-12T23:31:42Z
110,25,13,252.15,resale,2026-04-12T23:31:42Z
110,25,8,252.15,resale,2026-04-12T23:31:42Z
110,25,9,252.15,resale,2026-04-12T23:31:42Z
112,24,1,215.25,resale,2026-04-12T23:31:42Z
112,24,2,215.25,resale,2026-04-12T23:31:42Z
112,34,10,215.25,resale,2026-04-12T23:31:42Z
112,34,11,215.25,resale,2026-04-12T23:31:42Z
112,34,12,215.25,resale,2026-04-12T23:31:42Z
112,34,9,215.25,resale,2026-04-12T23:31:42Z
113,18,1,268.31,standard,2026-04-12T23:31:42Z
113,18,2,268.31,standard,2026-04-12T23:31:42Z
114,22,15,224.09,standard,2026-04-12T23:31:42Z
114,22,16,224.09,standard,2026-04-12T23:31:42Z
115,22,10,186.96,resale,2026-04-12T23:31:42Z
115,22,9,186.96,resale,2026-04-12T23:31:42Z
118,21,11,180.81,resale,2026-04-12T23:31:42Z
