section,row,seat,price_usd,selection_type,scraped_at
10,12,14,750.2,resale,2026-05-05T00:45:53Z
10,12,15,750.2,resale,2026-05-05T00:45:53Z
101,14,1,375.1,resale,2026-05-05T00:45:53Z
101,14,2,375.1,resale,2026-05-05T00:45:53Z
101,14,3,375.1,resale,2026-05-05T00:45:53Z
101,14,4,375.1,resale,2026-05-05T00:45:53Z
101,27,13,375.1,resale,2026-05-05T00:45:53Z
101,27,14,375.1,resale,2026-05-05T00:45:53Z
101,27,15,375.1,resale,2026-05-05T00:45:53Z
101,27,16,375.1,resale,2026-05-05T00:45:53Z
102,25,10,302.5,resale,2026-05-05T00:45:53Z
102,25,11,302.5,resale,2026-05-05T00:45:53Z
103,22,11,423.5,resale,2026-05-05T00:45:53Z
103,22,12,423.5,resale,2026-05-05T00:45:53Z
104,25,3,298.87,resale,2026-05-05T00:45:53Z
104,25,4,298.87,resale,2026-05-05T00:45:53Z
104,25,5,298.87,resale,2026-05-05T00:45:53Z
104,25,6,298.87,resale,2026-05-05T00:45:53Z
105,23,1,447.7,resale,2026-05-05T00:45:53Z
105,23,2,447.7,resale,2026-05-05T00:45:53Z
105,25,5,447.7,resale,2026-05-05T00:45:53Z
105,25,6,447.7,resale,2026-05-05T00:45:53Z
105,25,7,447.7,resale,2026-05-05T00:45:53Z
105,25,8,447.7,resale,2026-05-05T00:45:53Z
105,27,3,447.7,resale,2026-05-05T00:45:53Z
105,27,4,447.7,resale,2026-05-05T00:45:53Z
107,23,1,332.75,resale,2026-05-05T00:45:53Z
107,23,2,332.75,resale,2026-05-05T00:45:53Z
107,25,3,332.75,resale,2026-05-05T00:45:53Z
107,25,4,332.75,resale,2026-05-05T00:45:53Z
108,24,3,363.0,resale,2026-05-05T00:45:53Z
108,24,4,363.0,resale,2026-05-05T00:45:53Z
109,24,11,294.03,resale,2026-05-05T00:45:53Z
109,24,12,294.03,resale,2026-05-05T00:45:53Z
109,25,13,294.03,resale,2026-05-05T00:45:53Z
109,25,14,294.03,resale,2026-05-05T00:45:53Z
109,25,15,294.03,resale,2026-05-05T00:45:53Z
109,25,16,294.03,resale,2026-05-05T00:45:53Z
111,25,5,281.93,resale,2026-05-05T00:45:53Z
