section,row,seat,price_usd,selection_type,scraped_at
102,J,5,97.2,resale,2026-04-05T22:24:15Z
102,J,6,97.2,resale,2026-04-05T22:24:15Z
102,M,18,97.2,resale,2026-04-05T22:24:15Z
102,M,19,97.2,resale,2026-04-05T22:24:15Z
102,P,11,97.2,resale,2026-04-05T22:24:15Z
102,P,12,97.2,resale,2026-04-05T22:24:15Z
102,R,12,97.2,resale,2026-04-05T22:24:15Z
102,R,13,97.2,resale,2026-04-05T22:24:15Z
105,D,1,217.49,resale,2026-04-05T22:24:15Z
105,D,2,217.49,resale,2026-04-05T22:24:15Z
106,A,17,206.55,resale,2026-04-05T22:24:15Z
106,A,18,206.55,resale,2026-04-05T22:24:15Z
106,J,9,206.55,resale,2026-04-05T22:24:15Z
106,J,10,206.55,resale,2026-04-05T22:24:15Z
107,F,1,194.7,standard,2026-04-05T22:24:15Z
107,F,2,194.7,standard,2026-04-05T22:24:15Z
107,F,3,194.7,standard,2026-04-05T22:24:15Z
107,F,4,194.7,standard,2026-04-05T22:24:15Z
109,NN,7,126.36,resale,2026-04-05T22:24:15Z
109,NN,8,126.36,resale,2026-04-05T22:24:15Z
109,RR,8,126.36,resale,2026-04-05T22:24:15Z
109,RR,9,126.36,resale,2026-04-05T22:24:15Z
112,J,8,92.34,resale,2026-04-05T22:24:15Z
112,J,9,92.34,resale,2026-04-05T22:24:15Z
112,MM,10,92.34,resale,2026-04-05T22:24:15Z
112,MM,11,92.34,resale,2026-04-05T22:24:15Z
112,P,13,92.34,resale,2026-04-05T22:24:15Z
112,P,14,92.34,resale,2026-04-05T22:24:15Z
113,K,9,97.2,resale,2026-04-05T22:24:15Z
113,K,10,97.2,resale,2026-04-05T22:24:15Z
113,K,11,97.2,resale,2026-04-05T22:24:15Z
113,K,12,97.2,resale,2026-04-05T22:24:15Z
114,D,9,206.55,resale,2026-04-05T22:24:15Z
114,D,10,206.55,resale,2026-04-05T22:24:15Z
114,J,3,206.55,resale,2026-04-05T22:24:15Z
114,J,4,206.55,resale,2026-04-05T22:24:15Z
114,L,12,206.55,resale,2026-04-05T22:24:15Z
114,L,13,206.55,resale,2026-04-05T22:24:15Z
115,N,7,182.25,resale,2026-04-05T22:24:15Z
115,N,8,182.25,resale,2026-04-05T22:24:15Z
116,M,1,218.7,resale,2026-04-05T22:24:15Z
116,M,2,218.7,resale,2026-04-05T22:24:15Z
116,M,3,218.7,resale,2026-04-05T22:24:15Z
116,M,4,218.7,resale,2026-04-05T22:24:15Z
116,N,3,218.7,resale,2026-04-05T22:24:15Z
116,N,4,218.7,resale,2026-04-05T22:24:15Z
119,K,5,128.79,resale,2026-04-05T22:24:15Z
119,K,6,128.79,resale,2026-04-05T22:24:15Z
120,BB,5,66.83,resale,2026-04-05T22:24:15Z
120,BB,6,66.83,resale,2026-04-05T22:24:15Z
120,LL,7,66.83,resale,2026-04-05T22:24:15Z
120,LL,8,66.83,resale,2026-04-05T22:24:15Z
120,P,15,66.83,resale,2026-04-05T22:24:15Z
120,P,16,66.83,resale,2026-04-05T22:24:15Z
120,R,6,66.83,resale,2026-04-05T22:24:15Z
120,R,7,66.83,resale,2026-04-05T22:24:15Z
206,A,6,97.2,resale,2026-04-05T22:24:15Z
206,A,7,97.2,resale,2026-04-05T22:24:15Z
207,B,3,194.7,standard,2026-04-05T22:24:15Z
207,B,4,194.7,standard,2026-04-05T22:24:15Z
207,B,13,194.7,standard,2026-04-05T22:24:15Z
207,B,14,194.7,standard,2026-04-05T22:24:15Z
209,C,1,121.5,resale,2026-04-05T22:24:15Z
209,C,2,121.5,resale,2026-04-05T22:24:15Z
209,C,17,121.5,resale,2026-04-05T22:24:15Z
209,C,18,121.5,resale,2026-04-05T22:24:15Z
209,G,13,121.5,resale,2026-04-05T22:24:15Z
209,G,14,121.5,resale,2026-04-05T22:24:15Z
209,G,15,121.5,resale,2026-04-05T22:24:15Z
209,G,16,121.5,resale,2026-04-05T22:24:15Z
210,D,15,133.7,standard,2026-04-05T22:24:15Z
210,D,16,133.7,standard,2026-04-05T22:24:15Z
210,H,16,133.7,standard,2026-04-05T22:24:15Z
210,H,17,133.7,standard,2026-04-05T22:24:15Z
211,B,1,97.2,resale,2026-04-05T22:24:15Z
211,B,2,97.2,resale,2026-04-05T22:24:15Z
211,C,5,97.2,resale,2026-04-05T22:24:15Z
211,C,6,97.2,resale,2026-04-05T22:24:15Z
